,name of course,embedding_path
0,Aerodynamics_1,Aerodynamics_1.pt
1,Aerodynamics_2,Aerodynamics_2.pt
2,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics,Aerospace-Introduction to Helicopter Aerodynamics & Dynamics.pt
3,Aircraft Maintenance/Technician,Aircraft MaintenanceTechnician.pt
4,Aviation,Aviation.pt
5,Basic Aeronautical Knowledge,Basic Aeronautical Knowledge.pt
6,Cabin Crew Essentials,Cabin Crew Essentials.pt
7,Rocket Propulsion,Rocket Propulsion.pt
8,Introduction to Aircraft Design,Introduction to Aircraft Design.pt
9,State Space Analysis in Control System and Control Engineering,State Space Analysis in Control System and Control Engineering.pt
10,Crop Cultivation Essentials,Crop Cultivation Essentials.pt
11,Crop Production Fundamentals,Crop Production Fundamentals.pt
12,Dairy Farmer,Dairy Farmer.pt
13,Geographic Information Systems(GIS) in Ag-Essentials and Applications,Geographic Information Systems(GIS) in Ag-Essentials and Applications.pt
14,Integrated Pest Management (IPM) Essentials,Integrated Pest Management (IPM) Essentials.pt
15,Organic Farming for Sustainable Agricultural Production,Organic Farming for Sustainable Agricultural Production.pt
16,Soil Testing and Crop Technician,Soil Testing and Crop Technician.pt
17,Garment Construction,Garment Construction.pt
18,Pattern making classes for beginners,Pattern making classes for beginners.pt
19,Sewing Technology (Urdu),Sewing Technology (Urdu).pt
20,Sewing Technology,Sewing Technology.pt
21,Automobile Engineering Video Lectures,Automobile Engineering Video Lectures.pt
22,AUTOMOTIVE ELECTRONICS,AUTOMOTIVE ELECTRONICS.pt
23,Automotive Systems Fundamentals,Automotive Systems Fundamentals.pt
24,"Electric, Hybrid And Fuel Cell Vehicles","Electric, Hybrid And Fuel Cell Vehicles.pt"
25,Engineering Design - Vehicle Dynamics,Engineering Design - Vehicle Dynamics.pt
26,Fundamentals of Automotive Systems,Fundamentals of Automotive Systems.pt
27,Fundamentals of Electric Vehicles: Technology & Economics,Fundamentals of Electric Vehicles: Technology & Economics.pt
28,Mechanic Auto Body Repair,Mechanic Auto Body Repair.pt
29,Suspension Design Series,Suspension Design Series.pt
30,Vehicle Testing and Homologation,Vehicle Testing and Homologation.pt
31,Beauty Therapist,Beauty Therapist.pt
32,Digital Fashion Design Course,Digital Fashion Design Course.pt
33,Fashion Communication,Fashion Communication.pt
34,Fashion Accessories Design 3D Modeling,Fashion Accessories Design 3D Modeling.pt
35,Fashion Forecasting,Fashion Forecasting.pt
36,Mastering the Art of Hair,Mastering the Art of Hair.pt
37,Nail Technology,Nail Technology.pt
38,Professional Makeup Artist,Professional Makeup Artist.pt
39,Thai Massage Practioner,Thai Massage Practioner.pt
40,Yoga Instructor,Yoga Instructor.pt
41,FINANCE EXECUTIVE,FINANCE EXECUTIVE.pt
42,Finance Theory,Finance Theory.pt
43,CNC Programming,CNC Programming.pt
44,Machine Design,Machine Design.pt
45,Product Design and Development,Product Design and Development.pt
46,Architectural Theory,Architectural Theory.pt
47,AutoCAD Mastery,AutoCAD Mastery.pt
