"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
1,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
2,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
3,"Zari Silk Embroidery_DPR","Apparel, Made-Ups & Home Furnishing","Embroidery","1085000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ZariSilkEmbroideryDPR.pdf"
4,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
5,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
6,"Yogurt","Food Processing","Dairy","3179000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Yogurt.pdf"
7,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
8,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
9,"Yarn Twisting","Textile","Textiles","650000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/YarnTwisting.pdf"
10,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
11,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
12,"Wrought Iron Furniture","Furniture & Fittings","Furniture","2381000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WroughtIronFurniture.pdf"
13,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
14,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
15,"Woolen Dari_DPR","Apparel, Made-Ups & Home Furnishing","Textiles","1112000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoolenDariDPR.pdf"
16,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
17,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
18,"Wood Recycling","Other Sectors","Recycling","3867000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodRecycling.pdf"
19,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
20,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
21,"Wooden Toy making","Other Sectors","Toys","1173000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenToymaking.pdf"
22,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
23,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
24,"Wooden Furniture_DPR","Furniture & Fittings","Furniture","1366000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/WoodenFurnitureDPR.pdf"
25,"Wood cutting unit final","Furniture & Fittings","Woodworking","1199000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Woodcuttingunitfinal.pdf"
26,"Wood cutting unit final","Furniture & Fittings","Woodworking","1199000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Woodcuttingunitfinal.pdf"
