S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Accounting,Accounting Information System,62hrs 4min,12th,English/Hindi,Module 1: Introduction to Information Systems,Information System Overview,https://www.youtube.com/watch?v=oqGzq6kkhQQ
2,Accounting,Accounting Information System,,12th,English/Hindi,Module 1: Introduction to Information Systems,Accounting Information System vs Management Information System,https://www.youtube.com/watch?v=Lax3qzJedRQ
3,Accounting,Accounting Information System,,12th,English/Hindi,Module 1: Introduction to Information Systems,"The  AIS Subsystems | GL/FRS, TPS, MRS",https://www.youtube.com/watch?v=xIcM78zeLjg
4,Accounting,Accounting Information System,,12th,English/Hindi,Module 1: Introduction to Information Systems,A General Model for Accounting Information System,https://www.youtube.com/watch?v=iuHoAhmf1Vw
5,Accounting,Accounting Information System,,12th,English/Hindi,Module 2: AIS Model & Acquisition,Acquisition of Information System | Build or Buy,https://www.youtube.com/watch?v=LLAylxL5BTY
6,Accounting,Accounting Information System,,12th,English/Hindi,Module 2: AIS Model & Acquisition,Organizational Structure & Functional Segmentation,https://www.youtube.com/watch?v=dVqdHHjSNkQ
7,Accounting,Accounting Information System,,12th,English/Hindi,Module 2: AIS Model & Acquisition,Information System Models,https://www.youtube.com/watch?v=_wyf0LOhPlE
8,Accounting,Accounting Information System,,12th,English/Hindi,Module 2: AIS Model & Acquisition,"Transaction Processing System | Revenue Cycle, Expenditure Cycle, Conversion Cycle",https://www.youtube.com/watch?v=NKV8hac87iQ
9,Accounting,Accounting Information System,,12th,English/Hindi,Module 3: Transaction Processing Systems,Accounting Records,https://www.youtube.com/watch?v=KmKvpGq9Y34
10,Accounting,Accounting Information System,,12th,English/Hindi,Module 3: Transaction Processing Systems,Documentation Techniques,https://www.youtube.com/watch?v=xdXEn-k_8KI
11,Accounting,Accounting Information System,,12th,English/Hindi,Module 3: Transaction Processing Systems,Computer Based Accounting System | Batch Processing vs Real-time Processing,https://www.youtube.com/watch?v=-gNqrxgjzXs
12,Accounting,Accounting Information System,,12th,English/Hindi,Module 3: Transaction Processing Systems,How to Prepare a Flowchart | Flowchart Illustration,https://www.youtube.com/watch?v=XfHc6NeTuHg
13,Accounting,Accounting Information System,,12th,English/Hindi,Module 4: Accounting Records & Documentation,Data Coding Schemes,https://www.youtube.com/watch?v=9ixMnYxRkDM
14,Accounting,Accounting Information System,,12th,English/Hindi,Module 4: Accounting Records & Documentation,Ethical Issues in the Business,https://www.youtube.com/watch?v=i_nOZ3hWv5c
15,Accounting,Accounting Information System,,12th,English/Hindi,Module 4: Accounting Records & Documentation,Fraud & Fraud Schemes,https://www.youtube.com/watch?v=f6TedG9J7Xc
16,Accounting,Accounting Information System,,12th,English/Hindi,Module 4: Accounting Records & Documentation,Internal Control Concepts & Techniques,https://www.youtube.com/watch?v=zBM73VLectU
17,Accounting,Accounting Information System,,12th,English/Hindi,Module 5: Flowcharting in AIS,What is Internal Control? | v2020 (Ep. 47),https://www.youtube.com/watch?v=bCXba1srwrg
18,Accounting,Accounting Information System,,12th,English/Hindi,Module 5: Flowcharting in AIS,COSO Framework for Internal Controls | v2020 (Ep. 47.1),https://www.youtube.com/watch?v=zRe8x3VBr40
19,Accounting,Accounting Information System,,12th,English/Hindi,Module 5: Flowcharting in AIS,Sales Order Processing | The Revenue Cycle,https://www.youtube.com/watch?v=nlBzcpDw9hI
20,Accounting,Accounting Information System,,12th,English/Hindi,Module 5: Flowcharting in AIS,Sales Return Procedures | The Revenue Cycle,https://www.youtube.com/watch?v=vxd1uEDKk-I
21,Accounting,Accounting Information System,,12th,English/Hindi,Module 6: Fraud and Fraud Schemes,Cash Receipts Procedures | The Revenue Cycle,https://www.youtube.com/watch?v=jFLfui_jgeA
22,Accounting,Accounting Information System,,12th,English/Hindi,Module 6: Fraud and Fraud Schemes,Revenue Cycle Accounting Records,https://www.youtube.com/watch?v=d5qmT7-O2cE
23,Accounting,Accounting Information System,,12th,English/Hindi,Module 6: Fraud and Fraud Schemes,Revenue Cycle Controls,https://www.youtube.com/watch?v=SdUnK2xtBNk
24,Accounting,Accounting Information System,,12th,English/Hindi,Module 6: Fraud and Fraud Schemes,Special Journals | v2020 (Ep. 46),https://www.youtube.com/watch?v=8BAywnXh3xQ
25,Accounting,Accounting Information System,,12th,English/Hindi,Module 7: COSO Framework,Sales Journal vs. Cash Receipts Journal | v2020 (Ep. 46.1),https://www.youtube.com/watch?v=FjkLGXba5_E
26,Accounting,Accounting Information System,,12th,English/Hindi,Module 7: COSO Framework,Purchase Processing | The Expenditure Cycle,https://www.youtube.com/watch?v=IdzTCKTrWNs
27,Accounting,Accounting Information System,,12th,English/Hindi,Module 7: COSO Framework,Cash Disbursement Procedures | The Expenditure Cycle,https://www.youtube.com/watch?v=K7JERZ54GMg
28,Accounting,Accounting Information System,,12th,English/Hindi,Module 7: COSO Framework,Purchases & Cash Disbursement Accounting Records,https://www.youtube.com/watch?v=gmv7BR8R1LU
29,Accounting,Accounting Information System,,12th,English/Hindi,Module 8: Revenue Cycle Accounting Records,Purchases & Cash Disbursement Controls,https://www.youtube.com/watch?v=s-3nwl3hTaM
30,Accounting,Accounting Information System,,12th,English/Hindi,Module 8: Revenue Cycle Accounting Records,Purchases Journal vs. Cash Disbursement Journal | v2020 (Ep. 46.2),https://www.youtube.com/watch?v=B-vwGBU99F8
31,Accounting,Accounting Information System,,12th,English/Hindi,Module 8: Revenue Cycle Accounting Records,Payroll Processing | The Expenditure Cycle,https://www.youtube.com/watch?v=YuAlcVIjDBI
32,Accounting,Accounting Information System,,12th,English/Hindi,Module 8: Revenue Cycle Accounting Records,Payroll Processing Records,https://www.youtube.com/watch?v=6-qVT1MRKPE
33,Accounting,Accounting Information System,,12th,English/Hindi,Module 9: Purchase Processing,Payroll Processing Controls,https://www.youtube.com/watch?v=nJEKFccjaXQ
34,Accounting,Accounting Information System,,12th,English/Hindi,Module 9: Purchase Processing,Fixed Asset System | The Expenditure Cycle,https://www.youtube.com/watch?v=dVVmPtbejG4
35,Accounting,Accounting Information System,,12th,English/Hindi,Module 9: Purchase Processing,Fixed Asset System Records,https://www.youtube.com/watch?v=tG-u2E5KQ3g
36,Accounting,Accounting Information System,,12th,English/Hindi,Module 9: Purchase Processing,Fixed Asset System Controls,https://www.youtube.com/watch?v=2cppyAfGIzg
37,Accounting,Accounting Information System,,12th,English/Hindi,Module 9: Purchase Processing,The Conversion Cycle,https://www.youtube.com/watch?v=8EJrM2IJIYE
38,Accounting,Accounting Information System,,12th,English/Hindi,Module 10: Payroll Processing,Documents in a Batch Processing System,https://www.youtube.com/watch?v=TAdArqhQmhs
39,Accounting,Accounting Information System,,12th,English/Hindi,Module 10: Payroll Processing,Conversion Cycle Controls,https://www.youtube.com/watch?v=44Wwzzz5DzY
40,Accounting,Accounting Information System,,12th,English/Hindi,Module 10: Payroll Processing,The EOQ Model | Conceptual Discussion,https://www.youtube.com/watch?v=qMHuEVwtqLU
41,Accounting,Accounting Information System,,12th,English/Hindi,Module 10: Payroll Processing,Lean Manufacturing,https://www.youtube.com/watch?v=4VCxu8nxD2c
42,Accounting,Accounting Information System,,12th,English/Hindi,Module 11: The Conversion Cycle in Detail,Techniques & Technologies that Promote Lean Manufacturing,https://www.youtube.com/watch?v=EpGrHm9B7wM
43,Accounting,Accounting Information System,,12th,English/Hindi,Module 11: The Conversion Cycle in Detail,Accounting in a Lean Manufacturing Environment,https://www.youtube.com/watch?v=Iip5m8QSYls
44,Accounting,Accounting Information System,,12th,English/Hindi,Module 11: The Conversion Cycle in Detail,Activity Based Costing | Conceptual Discussion Only,https://www.youtube.com/watch?v=rbicrxof8Yc
45,Accounting,Accounting Information System,,12th,English/Hindi,Module 11: The Conversion Cycle in Detail,Value Stream Accounting | Conceptual Discussion Only,https://www.youtube.com/watch?v=RJJpx__n1jE
46,Accounting,Accounting Information System,,12th,English/Hindi,Module 12: Lean Manufacturing & Accounting,Information Systems That Support Lean Manufacturing,https://www.youtube.com/watch?v=MSaIx8jHUAg
47,Accounting,Accounting Information System,,12th,English/Hindi,Module 12: Lean Manufacturing & Accounting,Chapter 9 Part 1 | Database Management,https://www.youtube.com/watch?v=G7nTYKE-rVs
48,Accounting,Accounting Information System,,12th,English/Hindi,Module 12: Lean Manufacturing & Accounting,Chapter 9 Part 2 | Database Management,https://www.youtube.com/watch?v=F_5MN9EspPk
