S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Accounting,Auditing,50hrs 8min,12th,English/Hindi,Module 1: Introduction to Auditing,1. Auditing Subject - Introduction Class,https://www.youtube.com/watch?v=6noTz7sA9xk
2,Accounting,Auditing,,12th,English/Hindi,Module 1: Introduction to Auditing,"2. ""Objects Of An Audit"" from Auditing Subject - Important Topic",https://www.youtube.com/watch?v=iIlbFAdbwOI
3,Accounting,Auditing,,12th,English/Hindi,Module 1: Introduction to Auditing,"3. ""Auditor is a Watch Dog - But not Blood Hound"" Explain? Important Concept From Auditing Subject",https://www.youtube.com/watch?v=p7m9h5JnoTc
4,Accounting,Auditing,,12th,English/Hindi,Module 1: Introduction to Auditing,4. Qualities Of An Auditor from Auditing Subject,https://www.youtube.com/watch?v=3fki55k3Hms
5,Accounting,Auditing,,12th,English/Hindi,Module 2: Objectives and Principles of Auditing,"5. ""Basic Principles Governing An Audit"" from Auditing Subject",https://www.youtube.com/watch?v=JGjc-zUS5XM
6,Accounting,Auditing,,12th,English/Hindi,Module 2: Objectives and Principles of Auditing,6. Advantages of an Audit from Auditing Subject,https://www.youtube.com/watch?v=-IV28nF3hzw
7,Accounting,Auditing,,12th,English/Hindi,Module 2: Objectives and Principles of Auditing,"7. "" Limitations Of An Audit"" from Auditing Subject",https://www.youtube.com/watch?v=PaL4D61SJs0
8,Accounting,Auditing,,12th,English/Hindi,Module 3: Auditor's Role and Responsibilities,"8. ""Types Of Audit - 100% Expected Question"" from Auditing Subject",https://www.youtube.com/watch?v=lidCD2nWcTM
9,Accounting,Auditing,,12th,English/Hindi,Module 3: Auditor's Role and Responsibilities,"9. ""Appointment Of An Auditor"" - Most Expected Question from Auditing Subject",https://www.youtube.com/watch?v=K7NPq8erz1g
10,Accounting,Auditing,,12th,English/Hindi,Module 3: Auditor's Role and Responsibilities,"10. ""Removal & Resignation Of an Auditor"" - Most Expected Question from Auditing",https://www.youtube.com/watch?v=1saVkZIaGio
11,Accounting,Auditing,,12th,English/Hindi,Module 4: Types and Appointment of Auditors,"11. "" Rights  Of The Company Auditor"" - Most Expected Question from Auditing Subject",https://www.youtube.com/watch?v=o-NMiSdEzwY
12,Accounting,Auditing,,12th,English/Hindi,Module 4: Types and Appointment of Auditors,"12. ""Duties Of The Company Auditor"" - Most Expected Question From Auditing Subject",https://www.youtube.com/watch?v=odHySxKDPrU
13,Accounting,Auditing,,12th,English/Hindi,Module 4: Types and Appointment of Auditors,"13. ""Civil & Criminal Liabilities Of An  Auditor"" - Most Important Question from Auditing Subject",https://www.youtube.com/watch?v=1BXy2nGsHqM
14,Accounting,Auditing,,12th,English/Hindi,"Module 5: Rights, Duties, and Liabilities of Auditors","14. Qualification, Disqualification & Remuneration Of An Auditor from Auditing Subject",https://www.youtube.com/watch?v=bl9TCdmKxfU
15,Accounting,Auditing,,12th,English/Hindi,"Module 5: Rights, Duties, and Liabilities of Auditors","15. ""Preparation Before The Commencement Of An Audit"" from Auditing Subject",https://www.youtube.com/watch?v=-1iWaPW9hmY
16,Accounting,Auditing,,12th,English/Hindi,"Module 5: Rights, Duties, and Liabilities of Auditors","16. ""Audit Programme, Features, Advantages &Disadvantages"" from Auditing Subject",https://www.youtube.com/watch?v=4rPDxxNll4w
17,Accounting,Auditing,,12th,English/Hindi,Module 6: Audit Planning and Preparation,"17. ""Types of Audit Programme With Examples Of Audit Programme"" from Auditing Subject",https://www.youtube.com/watch?v=bEvJ94ugLCQ
18,Accounting,Auditing,,12th,English/Hindi,Module 6: Audit Planning and Preparation,"18. ""Audit Note Book - Full & Detailed Explanation"" From Auditing Subject",https://www.youtube.com/watch?v=Cgu9isBoeCA
19,Accounting,Auditing,,12th,English/Hindi,Module 6: Audit Planning and Preparation,19. Audit Working Papers - Detailed Information from Auditing Subject,https://www.youtube.com/watch?v=FNzQbHgiT60
20,Accounting,Auditing,,12th,English/Hindi,Module 7: Audit Programs and Working Papers,"20. ""Procedure of Auditing"" from Auditing Subject - Most Important Topic",https://www.youtube.com/watch?v=OnszrbRiz34
21,Accounting,Auditing,,12th,English/Hindi,Module 7: Audit Programs and Working Papers,"21. ""Internal Control Detailed Explanation"" from Auditing Subject",https://www.youtube.com/watch?v=XmbvTONuUgc
22,Accounting,Auditing,,12th,English/Hindi,Module 7: Audit Programs and Working Papers,"22. ""Internal Check/ Objectives/ Principles/ Advantages"" from Auditing Subject",https://www.youtube.com/watch?v=IyY_nXHdA8I
23,Accounting,Auditing,,12th,English/Hindi,Module 8: Internal Control and Audit Procedures,"23. ""Internal Auditing - Complete Concept"" from Auditing Subject",https://www.youtube.com/watch?v=sZWmW1RDXAY
24,Accounting,Auditing,,12th,English/Hindi,Module 8: Internal Control and Audit Procedures,"24. ""Internal Check Vs Internal Audit"" from Auditing Subject",https://www.youtube.com/watch?v=jIkCdv4HXLw
25,Accounting,Auditing,,12th,English/Hindi,Module 8: Internal Control and Audit Procedures,"25. ""Vouching - Introduction - Objectives & Types of Vouchers"" from Auditing Subject",https://www.youtube.com/watch?v=ahIN6HmQQUU
26,Accounting,Auditing,,12th,English/Hindi,Module 9: Vouching and Verification,"26. ""Vouching Of Purchase & Sales Book"" from Auditing Subject",https://www.youtube.com/watch?v=Fh8saca_9HU
27,Accounting,Auditing,,12th,English/Hindi,Module 9: Vouching and Verification,"27. "" Vouching Of Cash Book - Most Expected Question "" from Auditing Subject",https://www.youtube.com/watch?v=jnOPacS4Ltc
28,Accounting,Auditing,,12th,English/Hindi,Module 9: Vouching and Verification,"28. "" Vouching Vs Routine Checking"" from Auditing Subject",https://www.youtube.com/watch?v=veIbkcIQSAc
29,Accounting,Auditing,,12th,English/Hindi,Module 10: Verification and Valuation of Assets & Liabilities,"29. "" Verification & Valuation of Assets - Introduction "" - Auditing Subject",https://www.youtube.com/watch?v=adZ334lXcvY
30,Accounting,Auditing,,12th,English/Hindi,Module 10: Verification and Valuation of Assets & Liabilities,"30. ""Verification & Valuation of Various Assets "" Important Topic from Auditing Subject",https://www.youtube.com/watch?v=rXH7POJ3Qeo
31,Accounting,Auditing,,12th,English/Hindi,Module 10: Verification and Valuation of Assets & Liabilities,"31. ""Verification & Valuation of Various Liabilities "" - Important Topic from Auditing Subject",https://www.youtube.com/watch?v=9Saa2ynhdTg
32,Accounting,Auditing,,12th,English/Hindi,Module 11: Audit Committees and Reports,"32. Entire Concept of ""Audit Committee"" from Auditing Subject - Important Topic",https://www.youtube.com/watch?v=xhrN9TzCGMA
33,Accounting,Auditing,,12th,English/Hindi,Module 11: Audit Committees and Reports,"33. ""Audit - Report"" Entire Concept from Auditing Subject - Important Topic",https://www.youtube.com/watch?v=SBx1_nNFQ6M
