S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Accounting,Income Tax 2023-24,54hrs 5min,12th,English/Hindi,Module 1: Introduction to Income Tax,Income Tax 2022-23 Lecture 1 | b.com sem 3 income tax chapter 1,https://www.youtube.com/watch?v=tp3tFy7AGIs
2,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 1: Introduction to Income Tax,Income Tax Lecture-2 Basic Concept ( Important Definition ) | Income tax bcom 2022 23,https://www.youtube.com/watch?v=ekl2fQIXIsg
3,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 1: Introduction to Income Tax,Income Tax Lecture-3 Computation Of total Income & Tax Liability | Income Tax Bcom /BBA 2022-23,https://www.youtube.com/watch?v=BEvXoGEJH4g
4,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 1: Introduction to Income Tax,Income Tax Lecture-4 Residential Status income tax  | Income Tax Bcom /BBA 2022-23,https://www.youtube.com/watch?v=LTALvig4SzU
5,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 2: Income Tax - Key Concepts,Income Tax Lecture-5 Residential Status income tax  | Income Tax Bcom /BBA 2022-23 | CWG For B.com,https://www.youtube.com/watch?v=Yiwt8IXcB9U
6,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 2: Income Tax - Key Concepts,Income Tax Slab 2022-23 Lecture-6 | Income Tax B.com 3rd Year,https://www.youtube.com/watch?v=WM_AH6C7kwE
7,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 2: Income Tax - Key Concepts,Income from salary Lecture-7 | income from salary b.com 3rd year,https://www.youtube.com/watch?v=M5pkPTtICtQ
8,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 3: Residential Status and its Implications,Income From Salary Lecture-8 | income from salary b.com 3rd year,https://www.youtube.com/watch?v=IxJASykE6qk
9,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 3: Residential Status and its Implications,Pay Scale | Income from Salary | Income tax Lecture-9,https://www.youtube.com/watch?v=OeFC-bjr69E
10,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 3: Residential Status and its Implications,Allowances | Income From Salary | Lecture-10 Income Tax 2022-23,https://www.youtube.com/watch?v=4yUlMwW-SvQ
11,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 4: Income Tax Slabs and Rates,Allowances | Income From Salary | Income Tax 2022-23 Lecture-11,https://www.youtube.com/watch?v=9_mLS-syA5s
12,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 4: Income Tax Slabs and Rates,Perquisites Income from Salary | Income Tax Lecture-12,https://www.youtube.com/watch?v=0vJMkDjpLco
13,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 5: Income From Salary - Part 1,Perquisites Income from Salary | Income Tax Lecture-13 Rent Free Accomodation,https://www.youtube.com/watch?v=HlYtPKVQ4II
14,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 5: Income From Salary - Part 1,Motor Car Perquisites Income from Salary | Income Tax Lecture-14,https://www.youtube.com/watch?v=GD-LsRtN24c
15,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 5: Income From Salary - Part 1,Perqiuistes | Income from Salary | Income tax lecture-15,https://www.youtube.com/watch?v=bMS1LxxgV5k
16,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 6: Income From Salary - Part 2,Gratuity | Income from salary retirement | Income tax Lecture-16,https://www.youtube.com/watch?v=KrskME7Qe7M
17,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 6: Income From Salary - Part 2,Pension | Income from salary retirement | Income tax Lecture-17,https://www.youtube.com/watch?v=Ay4mDkiCOT0
18,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 6: Income From Salary - Part 2,Provident Fund | Income from salary | Income Tax Lecture-18,https://www.youtube.com/watch?v=mQeRoCCiVIM
19,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 7: Allowances and Perquisites,Earned Leave Salary | Income Tax Lecture-19,https://www.youtube.com/watch?v=PVpWW524nT8
20,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 7: Allowances and Perquisites,Compensation on Voluntary Retirement | Income Tax Lecture-20,https://www.youtube.com/watch?v=PnGiT8uHlMo
21,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 7: Allowances and Perquisites,Compensation on Retrenchment | Income tax Lecture-21,https://www.youtube.com/watch?v=EB3oijBmjPE
22,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 8: Retirement Benefits and Income Tax,income from house property | Part-1 | Income Tax B.com/BBA,https://www.youtube.com/watch?v=sBljFJxCwIw
23,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 8: Retirement Benefits and Income Tax,income from house property | part 2 | Income Tax 2022-23,https://www.youtube.com/watch?v=bs7MAMupdls
24,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 8: Retirement Benefits and Income Tax,income from house property | part 3 Annual Value | Income Tax 2022-23,https://www.youtube.com/watch?v=lwkPaGnV0oo
25,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 9: Income From House Property,income from house property | part 4 Interest | Income tax 2022-23,https://www.youtube.com/watch?v=H5X8y0Lm3J8
26,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 9: Income From House Property,Income from Business and Profession | Income Tax 2022-23,https://www.youtube.com/watch?v=-ra0gCXWQH0
27,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 9: Income From House Property,Part-2 Income from Business and Profession | Income tax bcom 3rd year,https://www.youtube.com/watch?v=Cpby7yn94Ao
28,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 10: Income From Business & Profession - Part 1,Part-3 Income from Business and Profession | Depreciation Section 32,https://www.youtube.com/watch?v=qNQ-aodjNGI
29,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 10: Income From Business & Profession - Part 1,Part-4 Income from Business and Profession | Section 35,https://www.youtube.com/watch?v=xR9fffYeZGI
30,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 11: Income From Business & Profession - Part 2,Part-5 Income from Business and Profession | Section 35AD,https://www.youtube.com/watch?v=I9IaHvQ3fZs
31,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 11: Income From Business & Profession - Part 2,Section 35 PGBP | Income Tax B.com/BBA | Income from business and profession,https://www.youtube.com/watch?v=piif4-WyPbQ
32,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 12: Income From Business & Profession - Part 3,Section 36 PGBP | Income Tax B.com/BBA | Income from business and profession,https://www.youtube.com/watch?v=_uJPh6xv6vA
33,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 12: Income From Business & Profession - Part 3,Section 37 | PGBP | Income tax bcom class,https://www.youtube.com/watch?v=ugTOD9tczJ0
34,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 13: Income From Business & Profession - Part 4,Section 44AA | PGBP | Income tax bcom class | Sem 3/ Sem 5,https://www.youtube.com/watch?v=HVQckRAIE8A
35,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 13: Income From Business & Profession - Part 4,PGBP Numerical Question | Income tax online class,https://www.youtube.com/watch?v=jbh5v8gd_yw
36,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 14: Practical Aspects of PGBP,PGBP Numerical Question Part-2 | Income tax online class,https://www.youtube.com/watch?v=mn2V2z1pKz0
37,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 14: Practical Aspects of PGBP,Additional Depreciation | Income Tax online Class,https://www.youtube.com/watch?v=MFT_sCXc7Tc
38,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 15: Capital Gains - Concepts and Calculations,Capital Gain part-1 | Income Tax B.com/BBA/CA,https://www.youtube.com/watch?v=X6gBy2v6ge0
39,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 15: Capital Gains - Concepts and Calculations,Capital Gain Part-2 | Income Tax 2022-23,https://www.youtube.com/watch?v=rZ1XpKG81Ds
40,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 15: Capital Gains - Concepts and Calculations,Capital Gain Part-3 | Income Tax 2022-23,https://www.youtube.com/watch?v=Ui3ZnjaE514
41,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 16: Exemptions on Capital Gains,Capital Gain Part-4 | Cost of Acquisition | Income Tax 2022-23,https://www.youtube.com/watch?v=tFdgjbPo61c
42,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 16: Exemptions on Capital Gains,Capital Gain Numerical problem solution part-4,https://www.youtube.com/watch?v=YcM_2c3Lcxw
43,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 17: Income From Other Sources,"Capital gain exemption under section 54, 54B, 54D, 54EC, 54F, 54G, 54GGA, 54GB",https://www.youtube.com/watch?v=w7g8x2kwcAo
44,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 17: Income From Other Sources,Income from other sources part-1 | Income tax B.com/BBA/CA,https://www.youtube.com/watch?v=0tR0mJpFfQg
45,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 17: Income From Other Sources,Income tax important questions 2023 | BCom/BBA/CA,https://www.youtube.com/watch?v=zzfizkQABqQ
46,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 18: Clubbing of Income,Income from other sources part-3 Dividend Income,https://www.youtube.com/watch?v=L-0l4yy9_Qw
47,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 18: Clubbing of Income,Income from other sources part-4 | Casual income | Interest on securities,https://www.youtube.com/watch?v=sar3MXwMa9k
48,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 19: Important Questions for Exams,Bond Washing Transactions | Income from other sources part-5,https://www.youtube.com/watch?v=bKwph1iAx7w
49,Accounting,Income Tax 2023-24,,12th,English/Hindi,Module 19: Important Questions for Exams,Clubbing of income in income tax | Income tax 2022-23,https://www.youtube.com/watch?v=6dBLWbZkbbw
