S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Accounting,Professional Ethics,33hrs 16min,12th,English/Hindi,Module 1: Introduction to Legal Profession in India,Origin and Development of Legal Profession in India | Professional Ethics,https://www.youtube.com/watch?v=C14qtxFPqUc
2,Accounting,Professional Ethics,,12th,English/Hindi,Module 1: Introduction to Legal Profession in India,Seven Lamps of Advocacy | Professional Ethics,https://www.youtube.com/watch?v=98t3vkSQMWI
3,Accounting,Professional Ethics,,12th,English/Hindi,Module 1: Introduction to Legal Profession in India,Panchsheel of the Bar | 5 Qualities of an Advocate | Professional Ethics,https://www.youtube.com/watch?v=xQgkWPO5C4I
4,Accounting,Professional Ethics,,12th,English/Hindi,Module 1: Introduction to Legal Profession in India,Ten Commandments of Advocates | Professional Ethics,https://www.youtube.com/watch?v=jaaqkxuxNdw
5,Accounting,Professional Ethics,,12th,English/Hindi,Module 2: Principles of Legal Ethics,Duties of Advocate to the Client | Professional Ethics,https://www.youtube.com/watch?v=AdX2Ug0lyPE
6,Accounting,Professional Ethics,,12th,English/Hindi,Module 2: Principles of Legal Ethics,Bar Bench Relationship | Professional Ethics,https://www.youtube.com/watch?v=nXazSWCwSRs
7,Accounting,Professional Ethics,,12th,English/Hindi,Module 2: Principles of Legal Ethics,Amicus Curiae | Friend of the Court | Professional Ethics,https://www.youtube.com/watch?v=6IAwnS-kZys
8,Accounting,Professional Ethics,,12th,English/Hindi,Module 2: Principles of Legal Ethics,"Contempt of Court Act, 1971 | Background, Meaning, Object, Parties, Structure | Professional Ethics",https://www.youtube.com/watch?v=YZ5TZNAd_ck
9,Accounting,Professional Ethics,,12th,English/Hindi,Module 3: The Bar and Bench,"Types and Essentials of Contempt of Court | Civil & Criminal | The Contempt of Court Act, 1971",https://www.youtube.com/watch?v=2VHr8q4cVfo
10,Accounting,Professional Ethics,,12th,English/Hindi,Module 3: The Bar and Bench,"Defences / Exceptions for Contempt of Court | The Contempt of Court Act, 1971 | Professional Ethics",https://www.youtube.com/watch?v=I5k-gVPAETE
11,Accounting,Professional Ethics,,12th,English/Hindi,Module 3: The Bar and Bench,"Jurisdiction of Civil Courts | Section 9 | The Code of Civil Procedure, 1908",https://www.youtube.com/watch?v=12gxI2pM5tM
12,Accounting,Professional Ethics,,12th,English/Hindi,Module 3: The Bar and Bench,"Salient Features of Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=QxRwTffB2lc
13,Accounting,Professional Ethics,,12th,English/Hindi,Module 4: Understanding Contempt of Court,"Structure of Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=SBtPTH8wqJo
14,Accounting,Professional Ethics,,12th,English/Hindi,Module 4: Understanding Contempt of Court,"State Bar Council | Functions | Terms | Members | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=bewXgd_kyfQ
15,Accounting,Professional Ethics,,12th,English/Hindi,Module 4: Understanding Contempt of Court,"Bar Council of India | Constitution and Functions | The Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=FpBlFEvkNRs
16,Accounting,Professional Ethics,,12th,English/Hindi,"Module 5: The Advocates Act, 1961","Powers of Bar Council of India and State Bar Councils | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=iKijks5UTdc
17,Accounting,Professional Ethics,,12th,English/Hindi,"Module 5: The Advocates Act, 1961",Advocate on Record | Types of Advocates | Advocates on Roll | Professional Ethics,https://www.youtube.com/watch?v=igR7pQKuwTE
18,Accounting,Professional Ethics,,12th,English/Hindi,"Module 5: The Advocates Act, 1961","Qualifications required to Enroll as an Advocate | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=0posKdkeATI
19,Accounting,Professional Ethics,,12th,English/Hindi,Module 6: Regulatory Bodies in Legal Profession,"Disqualifications of an Advocate from enrollment | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=6OwT-FdNOmo
20,Accounting,Professional Ethics,,12th,English/Hindi,Module 6: Regulatory Bodies in Legal Profession,Professional Misconduct | Meaning and Case Laws | Professional Ethics,https://www.youtube.com/watch?v=NGUf-QoWKm8
21,Accounting,Professional Ethics,,12th,English/Hindi,Module 6: Regulatory Bodies in Legal Profession,"HOW TO WRITE LAW EXAMS? Strategy for Preparation, Time Management, Long, Short & Problem Solving",https://www.youtube.com/watch?v=DEjepF86jcI
