S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Aerodynamics,30hrs 15min,12th,English/Hindi,Module 1: Introduction to Aerodynamics,How we study aerodynamics [Aerodynamics #1],https://www.youtube.com/watch?v=QkaG-hDmRiQ
2,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Aerodynamics,Common aerodynamic variables [Aerodynamics #2],https://www.youtube.com/watch?v=svGjo7pzzF8
3,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Aerodynamics,Aerodynamic body forces and moments [Aerodynamics #3],https://www.youtube.com/watch?v=5LQxe4-BEcM
4,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Aerodynamics,Nondimensional numbers and Similarity [Aerodynamics #4],https://www.youtube.com/watch?v=29a9e_xI9Jg
5,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 2: Fundamental Concepts,Conservation laws [Aerodynamics #5],https://www.youtube.com/watch?v=EovzNQ2oGyY
6,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 2: Fundamental Concepts,Streamlines and stream function [Aerodynamics #6],https://www.youtube.com/watch?v=LWpSGsOYxPI
7,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 2: Fundamental Concepts,Rotational and irrotational flow [Aerodynamics #7],https://www.youtube.com/watch?v=aRaNCZL7kEY
8,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 2: Fundamental Concepts,Bernuolli and Laplace [Aerodynamics #8],https://www.youtube.com/watch?v=1dieMQe23N0
9,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 3: Fluid Flow Phenomena,Elementary flows [Aerodynamics #9],https://www.youtube.com/watch?v=fvq1bNiHgUM
10,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 3: Fluid Flow Phenomena,Kutta Joukowski theorem [Aerodynamics #10],https://www.youtube.com/watch?v=ylD7uJZWJgA
11,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 3: Fluid Flow Phenomena,Panel methods [Aerodynamics #11],https://www.youtube.com/watch?v=AGVG2K6R9GA
12,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 3: Fluid Flow Phenomena,Thin airfoil theory [Aerodynamics #12],https://www.youtube.com/watch?v=pXLcDYt2YSQ
13,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 4: Aerodynamic Theories and Applications,Airfoils and wings [Aerodynamics #13],https://www.youtube.com/watch?v=EtvOXTSFMKg
14,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 4: Aerodynamic Theories and Applications,What causes lift [Aerodynamics #13a],https://www.youtube.com/watch?v=J6h2UOlZQTI
15,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 4: Aerodynamic Theories and Applications,Drag and separation [Aerodynamics #14],https://www.youtube.com/watch?v=aa2qEF2QNuM
16,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 4: Aerodynamic Theories and Applications,Finite wing effects [Aerodynamics #15],https://www.youtube.com/watch?v=m6n_k5ArdwU
17,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 5: Wings and Lift,Lifting line theory [Aerodynamics #16],https://www.youtube.com/watch?v=sAd55IRHNKM
18,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 5: Wings and Lift,Intro to compressible flow [Aerodynamics #17],https://www.youtube.com/watch?v=dDSgUTgcMXg
19,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 5: Wings and Lift,Normal shock waves [Aerodynamics #18],https://www.youtube.com/watch?v=GwNgymwwFAQ
20,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 5: Wings and Lift,Oblique shocks and expansion fans [Aerodynamics #19],https://www.youtube.com/watch?v=XW2FH8Yn9yE
21,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 6: Advanced Aerodynamics,Hypersonics [Aerodynamics #20],https://www.youtube.com/watch?v=bbaSjdYESkk
22,Aerospace Engineering,Aerodynamics,,12th,English/Hindi,Module 6: Advanced Aerodynamics,Swimming and flying [Aerodynamics #21],https://www.youtube.com/watch?v=jiRWSgJuaw0
