S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,147hrs 8min,12th,English/Hindi,Module 1: Introduction to Advanced Control Design & Classical Control Overview,Mod-01 Lec-01 Introduction and Motivation for Advanced Control Design,https://www.youtube.com/watch?v=SzNtrmk8_HA
2,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 1: Introduction to Advanced Control Design & Classical Control Overview,Mod-02 Lec-02 Classical Control Overview - I,https://www.youtube.com/watch?v=4VTBw192rA4
3,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 1: Introduction to Advanced Control Design & Classical Control Overview,Mod-02 Lec-03 Classical Control Overview - II,https://www.youtube.com/watch?v=2mCO_HOfR5s
4,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 1: Introduction to Advanced Control Design & Classical Control Overview,Mod-02 Lec-04 Classical Control Overview - III,https://www.youtube.com/watch?v=SE54TXY409g
5,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 2: Flight Mechanics & Dynamics,Mod-02 Lec-05 Classical Control Overview -- IV,https://www.youtube.com/watch?v=c5PFd1UmSSA
6,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 2: Flight Mechanics & Dynamics,Mod-03 Lec-06 Basic Principles of Atmospheric Flight Mechanics,https://www.youtube.com/watch?v=pXjcYinsz5I
7,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 2: Flight Mechanics & Dynamics,Mod-03 Lec-07 Overview of Flight Dynamics - I,https://www.youtube.com/watch?v=v5fQXpZ0yr0
8,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 3: Dynamical Systems Representation,Mod-03 Lec-08 Overview of Flight Dynamics -- II,https://www.youtube.com/watch?v=RkDept61fyo
9,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 3: Dynamical Systems Representation,Mod-04 Lec-09 Representation of Dynamical Systems -- I,https://www.youtube.com/watch?v=B6XN3WsmRv4
10,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 3: Dynamical Systems Representation,Mod-04 Lec-10 Representation of Dynamical Systems -- II,https://www.youtube.com/watch?v=XGzprkI2NP8
11,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 4: Review of Matrix Theory,Mod-04 Lec-11 Representation of Dynamical Systems -- III,https://www.youtube.com/watch?v=L_JEG2_nBoM
12,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 4: Review of Matrix Theory,Mod-05 Lec-12 Review of Matrix Theory - I,https://www.youtube.com/watch?v=enOe_tEI26M
13,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 4: Review of Matrix Theory,Mod-05 Lec-13 Review of Matrix Theory - II,https://www.youtube.com/watch?v=2NWc6bB4Uv8
14,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 5: Numerical Methods & Linearization,Mod-05 Lec-14 Review of Matrix Theory - III,https://www.youtube.com/watch?v=2TBZdm1RbH0
15,Aerospace Engineering,Aerospace - Advanced Control System Design for Aerospace Vehicles,,12th,English/Hindi,Module 5: Numerical Methods & Linearization,Mod-06 Lec-15 Review of Numerical Methods,https://www.youtube.com/watch?v=EfjuvUghruk
