S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Aerospace Engineering Basic Course,215hrs 6min,12th,English/Hindi,Module 1: Introduction & Ballooning,"Introduction , Ballooning (1/18) - Aerospace Engineering Basic Course",https://www.youtube.com/watch?v=lQqssaUouAA
2,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 1: Introduction & Ballooning,Structural Concepts - (5/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=UblZj3dq1Ng
3,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 1: Introduction & Ballooning,Cockpits & Systems - (6/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=BeB6ytw24gQ
4,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 1: Introduction & Ballooning,Supersonic & High Speed Environment - (7/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=uMxglaU0JIk
5,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 2: Cockpits & Systems,Helicopters & Other Vehicles  -  (8/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=oXoixlld4qM
6,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 2: Cockpits & Systems,Sustainability  -  (9/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=t4afp_iJLOw
7,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 2: Cockpits & Systems,Aerodynamics lecture 1 Fundamentals  -  (10/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=IBj-5rfG13k
8,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 2: Cockpits & Systems,Aerodynamics lecture 2 Compressiblility  -  (11/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=kQC8VIivZSY
9,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 3: Helicopters & Other Vehicles,Aerodynamics lecture 3 Compressible flow  -  (12/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=2jyAUEmLZmU
10,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 3: Helicopters & Other Vehicles,Aerodynamics lecture 4 Laminar  turbulent flow I  -  (13/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=TjDS2i7_pUE
11,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 3: Helicopters & Other Vehicles,Aerodynamics lecture 5 Laminar and turbulent flow I -  (14/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=ohG1YRr_o9g
12,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 3: Helicopters & Other Vehicles,Aerodynamics lecture 6 Airfoil theory -  (15/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=42QxPS2VXm0
13,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 4: Aerodynamics Fundamentals & Compressibility,Aerodynamics lecture 7 Finite & Swept Wings - (16/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=s5m483_qpdA
14,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 4: Aerodynamics Fundamentals & Compressibility,Flight Mechanics lecture 1 Introduction  - (17/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=lJSVcCq_bKs
15,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 4: Aerodynamics Fundamentals & Compressibility,Flight mechanics lecture 2  Flight performance  - (18/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=oyR32Jrz1DM
16,Aerospace Engineering,Aerospace Engineering Basic Course,215hrs 6min,12th,English/Hindi,Module 4: Aerodynamics Fundamentals & Compressibility,"Introduction , Ballooning (1/18) - Aerospace Engineering Basic Course",https://www.youtube.com/watch?v=lQqssaUouAA
17,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 5: Aerodynamics: Laminar & Turbulent Flow,Structural Concepts - (5/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=UblZj3dq1Ng
18,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 5: Aerodynamics: Laminar & Turbulent Flow,Cockpits & Systems - (6/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=BeB6ytw24gQ
19,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 5: Aerodynamics: Laminar & Turbulent Flow,Supersonic & High Speed Environment - (7/18) Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=uMxglaU0JIk
20,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 5: Aerodynamics: Laminar & Turbulent Flow,Helicopters & Other Vehicles  -  (8/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=oXoixlld4qM
21,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 6: Aerodynamics: Finite & Swept Wings,Sustainability  -  (9/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=t4afp_iJLOw
22,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 6: Aerodynamics: Finite & Swept Wings,Aerodynamics lecture 1 Fundamentals  -  (10/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=IBj-5rfG13k
23,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 6: Aerodynamics: Finite & Swept Wings,Aerodynamics lecture 2 Compressiblility  -  (11/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=kQC8VIivZSY
24,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 6: Aerodynamics: Finite & Swept Wings,Aerodynamics lecture 3 Compressible flow  -  (12/18)  -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=2jyAUEmLZmU
25,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 7: Flight Mechanics: Flight Performance,Aerodynamics lecture 4 Laminar  turbulent flow I  -  (13/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=TjDS2i7_pUE
26,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 7: Flight Mechanics: Flight Performance,Aerodynamics lecture 5 Laminar and turbulent flow I -  (14/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=ohG1YRr_o9g
27,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 7: Flight Mechanics: Flight Performance,Aerodynamics lecture 6 Airfoil theory -  (15/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=42QxPS2VXm0
28,Aerospace Engineering,Aerospace Engineering Basic Course,,12th,English/Hindi,Module 7: Flight Mechanics: Flight Performance,Aerodynamics lecture 7 Finite & Swept Wings - (16/18) -  Aerospace Engineering Basic Course,https://www.youtube.com/watch?v=s5m483_qpdA
