S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,128hrs 12min,12th,English/Hindi,Module 1: Introduction to Fluid Mechanics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 01.,https://www.youtube.com/watch?v=pAuQ4Hj2ZrU
2,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 1: Introduction to Fluid Mechanics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 02.,https://www.youtube.com/watch?v=VoLPqctdXQw
3,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 1: Introduction to Fluid Mechanics,Engineering MAE 130A  Intro to Fluid Mechanics  Lecture 03 4,https://www.youtube.com/watch?v=UL5UsipQqQE
4,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 1: Introduction to Fluid Mechanics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 04.,https://www.youtube.com/watch?v=CMzoTsSG86E
5,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 2: Fluid Statics,Engineering MAE 130. Intro to Fluid Mechanics. Lecture 05.,https://www.youtube.com/watch?v=6zrt55qMiqE
6,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 2: Fluid Statics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 06.,https://www.youtube.com/watch?v=aq668Yjk5Ts
7,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 2: Fluid Statics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 07.,https://www.youtube.com/watch?v=zN6LG5GEmyE
8,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 3: Fluid Kinematics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 08.,https://www.youtube.com/watch?v=RyC6U67D03k
9,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 3: Fluid Kinematics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 09.,https://www.youtube.com/watch?v=-9L1hJiFTMg
10,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 3: Fluid Kinematics,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 10.,https://www.youtube.com/watch?v=I0eog8nkDVU
11,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 4: Finite Control Volume Analysis,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 11.,https://www.youtube.com/watch?v=OQI9WgaImtQ
12,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 4: Finite Control Volume Analysis,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 12.,https://www.youtube.com/watch?v=qR5dRpYuL58
13,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 4: Finite Control Volume Analysis,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 13.,https://www.youtube.com/watch?v=cScaavOHIJo
14,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 5: Differential Analysis of Fluid Flow,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 14.,https://www.youtube.com/watch?v=BoMPPoLasXs
15,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 5: Differential Analysis of Fluid Flow,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 15.,https://www.youtube.com/watch?v=2u2HW2e_zG4
16,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 5: Differential Analysis of Fluid Flow,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 16.,https://www.youtube.com/watch?v=7CqYjZRyLFY
17,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 6: Viscous Flow,Engineering MAE 130A. Intro to Fluid Mechanics. Lecture 17.,https://www.youtube.com/watch?v=OLCYfK7ZIc4
18,Aerospace Engineering,Aerospace Engineering Lectures- Fluid Mechanics,,12th,English/Hindi,Module 6: Viscous Flow,Engineering MAE 130A. Lecture 18. Intro to Fluid Mechanics,https://www.youtube.com/watch?v=sOgJcUD_gX0
