S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Aerospace Structures Lectures,273hrs 18min,12th,English/Hindi,Module 1: Introduction to Aerospace Structures,UNSW - Aerospace Structures - Solid Mechanics,https://www.youtube.com/watch?v=Yh7S4lSlXgQ
2,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 1: Introduction to Aerospace Structures,UNSW - Aerospace Structures - Aerospace Materials,https://www.youtube.com/watch?v=tm-MYlRU1jI
3,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 1: Introduction to Aerospace Structures,UNSW - Aerospace Structures - Thin walled Beams (Bending),https://www.youtube.com/watch?v=EIBeShVFPp8
4,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 1: Introduction to Aerospace Structures,UNSW - Aerospace Structures - Composites,https://www.youtube.com/watch?v=V7bX4c9XWes
5,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 2: Thin-Walled Beams: Shear and Idealization,UNSW - Aerospace Structures - Thin walled Beams (Shear),https://www.youtube.com/watch?v=eXdWs7xPM4Q
6,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 2: Thin-Walled Beams: Shear and Idealization,UNSW - Aerospace Structures - Thin walled Structure Idealisation,https://www.youtube.com/watch?v=xsfsuAdg_iU
7,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 2: Thin-Walled Beams: Shear and Idealization,UNSW - Aerospace Structures - Complex Thin walled Structures,https://www.youtube.com/watch?v=MFukO959b8c
8,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 3: Joints and Clips in Aerospace Structures,UNSW - Aerospace Structures - Joints and Clips,https://www.youtube.com/watch?v=-asidg2S690
9,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 3: Joints and Clips in Aerospace Structures,UNSW - Aerospace Structures - Buckling of Columns and Shells,https://www.youtube.com/watch?v=Mnwn5hRm1Cc
10,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 3: Joints and Clips in Aerospace Structures,UNSW - Aerospace Structures - Aeroelasticity,https://www.youtube.com/watch?v=DI-1LfXSfqo
11,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 4: Airframe Basics,UNSW - Aerospace Structures - Airframe Basics,https://www.youtube.com/watch?v=zhcxe_uG_Wo
12,Aerospace Engineering,Aerospace Structures Lectures,,12th,English/Hindi,Module 4: Airframe Basics,Aircraft Mechanics - UNSW Aerospace Structures,https://www.youtube.com/watch?v=bWwrXU-mPdY
