S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,92hrs 12min,12th,English/Hindi,Module 1: Introduction to Fixed-Wing UAV Design,noc18-ae07-Lec01,https://www.youtube.com/watch?v=9c769xiEXn0
2,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 1: Introduction to Fixed-Wing UAV Design,noc18-ae07-Lec02,https://www.youtube.com/watch?v=_Tr4VGlRFjo
3,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 1: Introduction to Fixed-Wing UAV Design,noc18-ae07-Lec03,https://www.youtube.com/watch?v=Jc0bxj_AU0g
4,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 2: UAV Aerodynamics,noc18-ae07-Lec4,https://www.youtube.com/watch?v=aRJHvfk8UV0
5,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 2: UAV Aerodynamics,noc18-ae07-Lec5,https://www.youtube.com/watch?v=Q1KDWB0h0og
6,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 2: UAV Aerodynamics,noc18-ae07-Lec6,https://www.youtube.com/watch?v=q7c9PCkvIOY
7,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 3: Flight Mechanics and Control,noc18-ae07-Lec7,https://www.youtube.com/watch?v=8-fdW9jyAB4
8,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 3: Flight Mechanics and Control,noc18-ae07-Lec 8,https://www.youtube.com/watch?v=9vGF_sFdXMA
9,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 3: Flight Mechanics and Control,noc18-ae07-Lec 9,https://www.youtube.com/watch?v=HEUXqX95fFA
10,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 4: UAV Propulsion Systems,noc18-ae07-Lec 10,https://www.youtube.com/watch?v=UbxZVWwMbBk
11,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 4: UAV Propulsion Systems,noc18-ae07-Lec11,https://www.youtube.com/watch?v=Lip8UTpgNeM
12,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 5: UAV Structures and Materials,noc18-ae07-Lec12,https://www.youtube.com/watch?v=sFtI2AIaG3I
13,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 5: UAV Structures and Materials,noc18-ae07 Lec 13,https://www.youtube.com/watch?v=fjQwMuvZCHQ
14,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 6: UAV Avionics and Sensors,noc18-ae07 Lec 14,https://www.youtube.com/watch?v=DBJcJFPQIAw
15,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 6: UAV Avionics and Sensors,noc18-ae07 Lec 15,https://www.youtube.com/watch?v=pgK8ax6BqDk
16,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 7: UAV Communication Systems,noc18-ae07 Lec 16,https://www.youtube.com/watch?v=9f4YpgS3Mis
17,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 7: UAV Communication Systems,noc18-ae07 Lec 17,https://www.youtube.com/watch?v=hyGrhRrtWZg
18,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 8: UAV Design Optimization,noc18-ae07 Lec 18,https://www.youtube.com/watch?v=qWhX539IfbQ
19,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 8: UAV Design Optimization,noc18-ae07-Lec 19,https://www.youtube.com/watch?v=6qr3fNTeK4k
20,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 9: UAV Regulations and Certification,noc18-ae07- Lec 20,https://www.youtube.com/watch?v=DKpw2WUmaSs
21,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 9: UAV Regulations and Certification,noc18-ae07 Lec 21,https://www.youtube.com/watch?v=lMvL1pvgGeY
22,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 10: UAV Applications,noc18-ae07 Lec 22,https://www.youtube.com/watch?v=nnjSO8XjIm4
23,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,12th,English/Hindi,Module 10: UAV Applications,noc18-ae07 Lec 23,https://www.youtube.com/watch?v=ATN1UMWQKV8
