S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,AE 372 - Flight Mechanics,116hrs 9min,12th,English/Hindi,Module 1: Introduction and Review of System Dynamics,AE372 - Flight Mechanics - Lecture 1.1 [Course Intro - Review of System Dynamics],https://www.youtube.com/watch?v=9nUcb4usRBU
2,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 1: Introduction and Review of System Dynamics,AE372 - Flight Mechanics - Lecture 1.2 [Review of System Dynamics],https://www.youtube.com/watch?v=s5xyCtagHNQ
3,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 1: Introduction and Review of System Dynamics,AE372 - Flight Mechanics - Lecture 1.3 [Review of System Dynamics],https://www.youtube.com/watch?v=r8E7jT2WVBQ
4,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 1: Introduction and Review of System Dynamics,AE372 - Flight Mechanics - Lecture 2.1 [Review of System Dynamics],https://www.youtube.com/watch?v=IWQ5VsGg0SY
5,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 2: Review of System Dynamics,AE372 - Flight Mechanics - Lecture 2.2 [Review of System Dynamics],https://www.youtube.com/watch?v=y0E6SNYQQMM
6,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 2: Review of System Dynamics,AE372 - Flight Mechanics - Lecture 2.3 [Intro to Reference Frames and Coordinate Systems],https://www.youtube.com/watch?v=rzPwRrfPJGs
7,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 2: Review of System Dynamics,AE372 - Flight Mechanics - Lecture 3.1 [Reference Frames and Coordinate Systems In Flight Mechanics],https://www.youtube.com/watch?v=rZ4eeoTlpBc
8,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 3: Reference Frames and Coordinate Systems In Flight Mechanics,AE372 - Flight Mechanics - Lecture 3.2 [Reference Frames and Coordinate Systems In Flight Mechanics],https://www.youtube.com/watch?v=OsppmLRS4g8
9,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 3: Reference Frames and Coordinate Systems In Flight Mechanics,AE372 - Flight Mechanics - Lecture 3.3 [Reference Frames and Coordinate Systems In Flight Mechanics],https://www.youtube.com/watch?v=VvoMU1FZ4Dg
10,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 3: Reference Frames and Coordinate Systems In Flight Mechanics,AE372 - Flight Mechanics - Lecture 4.1,https://www.youtube.com/watch?v=SlS2QPr6Vm0
11,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 4: Flight Mechanics Fundamentals,AE372 - Flight Mechanics - Lecture 4.2,https://www.youtube.com/watch?v=bS1QWcpEQJQ
12,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 4: Flight Mechanics Fundamentals,AE372 - Flight Mechanics - Lecture 4.3,https://www.youtube.com/watch?v=E3Z1A0gLNJk
13,Aerospace Engineering,AE 372 - Flight Mechanics,,12th,English/Hindi,Module 4: Flight Mechanics Fundamentals,AE372 - Flight Mechanics - Lecture 5.1,https://www.youtube.com/watch?v=1wOqp69SPLo
