S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Hypersonic Aerodynamics,161hrs 4min,12th,English/Hindi,Module 1: Introduction to Hypersonic Aerodynamics,Hypersonic Aerodynamics 12,https://www.youtube.com/watch?v=_oyswpOiN0E
2,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Hypersonic Aerodynamics,Hypersonic Aerodynamics 11,https://www.youtube.com/watch?v=7pz25g97daw
3,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Hypersonic Aerodynamics,Hypersonic Aerodynamics 10,https://www.youtube.com/watch?v=hdIZGkxgZiM
4,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 1: Introduction to Hypersonic Aerodynamics,Hypersonic Aerodynamics 09,https://www.youtube.com/watch?v=2yyBXu1WPk0
5,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 2: Inviscid Hypersonic Flow,Hypersonic Aerodynamics 07A,https://www.youtube.com/watch?v=9GcjExksX_Y
6,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 2: Inviscid Hypersonic Flow,Hypersonic Aerodynamics 08,https://www.youtube.com/watch?v=fh-YLwVINo4
7,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 2: Inviscid Hypersonic Flow,Hypersonic Aerodynamics 07,https://www.youtube.com/watch?v=JP6uzz89fXg
8,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 3: Viscous Hypersonic Flow,Hypersonic Aerodynamics 06,https://www.youtube.com/watch?v=FmFnAh6noUw
9,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 3: Viscous Hypersonic Flow,Hypersonic Aerodynamics 05,https://www.youtube.com/watch?v=eN2nFt5XBK8
10,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 4: High-Temperature Effects,Hypersonic Aerodynamics 04,https://www.youtube.com/watch?v=anUeoI6Amtk
11,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 4: High-Temperature Effects,Hypersonic Aerodynamics 03,https://www.youtube.com/watch?v=qBCLN5xs-qg
12,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 5: Experimental Techniques,Hypersonic Aerodynamics 02,https://www.youtube.com/watch?v=TcdhR46eOvw
13,Aerospace Engineering,Hypersonic Aerodynamics,,12th,English/Hindi,Module 6: Applications of Hypersonic Aerodynamics,Hypersonic Aerodynamics 01,https://www.youtube.com/watch?v=tKGC4JDugQE
