S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,163hrs 13min,12th,English/Hindi,Module 1: Introduction to Orbits,"AEE462 Lecture 1, Part A/B - Orbits and the Greeks",https://www.youtube.com/watch?v=bLXDyNbkp08
2,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 1: Introduction to Orbits,"AEE462 Lecture 1, Part C - Orbits and the Scientific Revolution",https://www.youtube.com/watch?v=9XZ-rpxGcAk
3,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 1: Introduction to Orbits,"AEE462 Lecture 1, Part D - Kepler's 3 Laws of Planetary motion and Newton's Universal Gravitation",https://www.youtube.com/watch?v=OU02qX0FcNc
4,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 1: Introduction to Orbits,"AEE462 Lecture 2, Part A - The N-body Problem and Physical Invariants",https://www.youtube.com/watch?v=yKek44zDZF0
5,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 2: The Two-Body Problem,"AEE462 Lecture 2, Part B - The 2 body problem, gravitational constants and Energy Cons. Examples",https://www.youtube.com/watch?v=OFT9_TdthbE
6,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 2: The Two-Body Problem,"AEE462 Lecture 3, Part A - The Eccentricity Vector and the Polar Equation",https://www.youtube.com/watch?v=lQTM-ZI3L_g
7,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 2: The Two-Body Problem,"AEE462 Lecture 3, Part B - Parameters of Elliptic and Hyperbolic Motion",https://www.youtube.com/watch?v=-nNMjQstlzQ
8,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 3: Elliptical and Hyperbolic Orbits,"AEE462 Lecture 3, Part C - Proving Kepler's 2nd and 3rd Law and Turning Angle for Hyperbolic Orbits",https://www.youtube.com/watch?v=hzGZikXGW4I
9,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 3: Elliptical and Hyperbolic Orbits,"AEE462 Lecture 4, Part A - Moving Elliptic Orbits in Time",https://www.youtube.com/watch?v=Awxrcqf8Nck
10,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 3: Elliptical and Hyperbolic Orbits,"AEE462 Lecture 4, Part B - Newton-Raphson Iteration and Kepler's Equation",https://www.youtube.com/watch?v=fqHdfJ7d7SY
11,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 4: Time-Dependent Orbits,"AEE462 Lecture 5, Part A - Moving Hyperbolic Orbits in Time",https://www.youtube.com/watch?v=ZzAXWsbme3c
12,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 4: Time-Dependent Orbits,"AEE462 Lecture 6, Part A - Coordinate Systems in Space",https://www.youtube.com/watch?v=OOSQm8R9AsY
13,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 5: Coordinate Systems and Orbital Elements,"AEE462 Lecture 6, Part B (rev 1) - 3D Orbital Elements: Inclination, RAAN, and Argument of Periapse",https://www.youtube.com/watch?v=fPKPrGs7ACA
14,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 5: Coordinate Systems and Orbital Elements,"AEE462 Lecture 7, Part A - A Summary of the Method for Orbit Propagation",https://www.youtube.com/watch?v=fq0dnGRiWwM
15,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 5: Coordinate Systems and Orbital Elements,"AEE462 Lecture 7, Part B - A Review of Rotation Matrices and Conversion between Coordinate Systems",https://www.youtube.com/watch?v=qEdHZP_jRIE
16,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 6: Orbit Propagation and Coordinate Transformations,"AEE462 Lecture 7, Part C - Using Orbital Elements to Find Position and Velocity Vectors",https://www.youtube.com/watch?v=ZiLxfVevkI8
17,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 6: Orbit Propagation and Coordinate Transformations,"AEE462 Lecture 7, Part D - Right Ascension, Declination, and Local Sidereal Time",https://www.youtube.com/watch?v=j_t5yX-kDug
18,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 6: Orbit Propagation and Coordinate Transformations,"AEE462 Lecture 8, Part A - Delta V and Transfer Orbits",https://www.youtube.com/watch?v=QV3Q-YWDQ1o
19,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 6: Orbit Propagation and Coordinate Transformations,"AEE462 Lecture 8, Part B - The Hohmann Transfer Orbit",https://www.youtube.com/watch?v=YsDTQzurJaQ
20,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 7: Orbital Maneuvers,"AEE462 Lecture 9, Part A - The Oberth Effect",https://www.youtube.com/watch?v=4u6B1BUT_uM
21,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 7: Orbital Maneuvers,"AEE462 Lecture 9, Part B - Bi-Elliptic Transfers",https://www.youtube.com/watch?v=rQlny8y8Cpo
22,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 8: Advanced Orbital Maneuvers,"AEE462 Lecture 9, Part C - Orbital Plane and Launch Geometry: Azimuth, Inclination, and Lattitude",https://www.youtube.com/watch?v=aQr6zFRh2xI
23,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 8: Advanced Orbital Maneuvers,"AEE462 Lecture 9, Part D - Orbital Plane-Change Maneuvers",https://www.youtube.com/watch?v=SI76vC0DiI0
24,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 8: Advanced Orbital Maneuvers,"AEE462 Lecture 10, Part A - Definition and History of Lambert's Problem",https://www.youtube.com/watch?v=pjuXSlSOgI0
25,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 9: Lambert's Problem,"AEE462 Lecture 10, Part B - Lambert's Equation and the Solution to Lambert's Problem",https://www.youtube.com/watch?v=XltNtuw6P44
26,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 9: Lambert's Problem,"AEE462 Lecture 10, Part C - A Bisection Algorithm for the Solution of Lambert's Equation",https://www.youtube.com/watch?v=a3BWBYXi-IM
27,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 9: Lambert's Problem,AEE462 Lecture11 - A Minicourse on Rocketry,https://www.youtube.com/watch?v=ZgWIXfviHtw
28,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 10: Rocketry and Orbital Perturbations,AEE 462 Lecture 12 - Orbital Perturbations and Atmospheric Drag,https://www.youtube.com/watch?v=IJicexQqFpg
29,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 10: Rocketry and Orbital Perturbations,AEE 462 Lecture 13 - The J2 Orbital Perturbation and Applications (corrected),https://www.youtube.com/watch?v=2s7ISice1ns
30,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 11: Orbital Perturbations and Interplanetary Missions,AEE 462 Lecture 14a - Sphere of Influence and Orbit of the Moon,https://www.youtube.com/watch?v=LvfoZhEhvRk
31,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 11: Orbital Perturbations and Interplanetary Missions,AEE 462 Lecture 14b - Interplanetary Mission Planning (Venus Orbiter),https://www.youtube.com/watch?v=NcOMyGlRoGs
32,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 11: Orbital Perturbations and Interplanetary Missions,AEE462 lecture 14c - Gravitational Assist Maneuvers,https://www.youtube.com/watch?v=LvoCucQqO6k
33,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 12: Spacecraft Design and Attitude Control,AEE462 Lecture15a - Introduction to Spacecraft Design,https://www.youtube.com/watch?v=QhNosLQNyVs
34,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 12: Spacecraft Design and Attitude Control,AEE462 Lecture15b - Attitude Determination and Control Systems (ADCS),https://www.youtube.com/watch?v=UoDuCOmHmRg
35,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE462 Lecture16a - Euler's Equations,https://www.youtube.com/watch?v=8BHCr0CcGrA
36,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE462 Lecture16b - Spacecract Precession and Nutation,https://www.youtube.com/watch?v=y_gCD9BoD30
37,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE462 Lecture16b - Spacecract Precession and Nutation,https://www.youtube.com/watch?v=y_gCD9BoD30
38,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE 462 Lecture 17c - A Demonstration of Minor Axis Instability,https://www.youtube.com/watch?v=BpwGQr-iCyg
39,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE 462 Lecture 17a - Spin Stability and the Intermediate Axis Theorem,https://www.youtube.com/watch?v=qq48BRauHJA
40,Aerospace Engineering,A Course on Orbital Mechanics and Spacecraft Dynamics,,12th,English/Hindi,Module 13: Spacecraft Dynamics,AEE 462 Lecture 17b - Energy Dissipation and Spin Stability about the Minor Axis,https://www.youtube.com/watch?v=r28Vv3_4_pY
