S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Satellite Communication,27hrs 7min,12th,English/Hindi,Module 1: Introduction to Satellite Communication,Satellite & Radar Systems - Course Contents & Course Outcomes,https://www.youtube.com/watch?v=MEtgoFjNCEw
2,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 1: Introduction to Satellite Communication,Satellite Communication - Introduction to Satellite Communication,https://www.youtube.com/watch?v=aC6jSAB-2To
3,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 1: Introduction to Satellite Communication,Satellite Communication - Frequency Allocation for Satellite,https://www.youtube.com/watch?v=tiagbXwsFFQ
4,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 1: Introduction to Satellite Communication,Satellite Communication - Elements of Satellite Communication,https://www.youtube.com/watch?v=FLqQjh9JrZI
5,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 2: Orbital Mechanics,Satellite Communication - Satellite Orbits,https://www.youtube.com/watch?v=8D7afGk_OOg
6,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 2: Orbital Mechanics,Satellite Communication - Orbital Mechanics,https://www.youtube.com/watch?v=yC6ak4oI2ao
7,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 2: Orbital Mechanics,Satellite Communication - Look Angles,https://www.youtube.com/watch?v=RwPlr_Xgoew
8,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 2: Orbital Mechanics,Satellite Communication - Orbital Elements,https://www.youtube.com/watch?v=JxihfKou19g
9,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 3: Orbital Perturbations,Satellite Communication - Mechanism of Launching a Satellite,https://www.youtube.com/watch?v=8SmP1ebOSdY
10,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 3: Orbital Perturbations,Satellite Communication - Orbital Perturbations,https://www.youtube.com/watch?v=RX-AVPPPsfc
11,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 3: Orbital Perturbations,Satellite Communication - Numericals on Orbital Parameters,https://www.youtube.com/watch?v=6Yba_vkeU5c
12,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 4: Attitude & Orbit Control System (AOCS),Satellite Communication - Introduction to Satellite Subsystems,https://www.youtube.com/watch?v=p-xUcjGhhmk
13,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 4: Attitude & Orbit Control System (AOCS),Satellite Communication - Attitude & Orbit Control System (AOCS),https://www.youtube.com/watch?v=H0bzc4kOm58
14,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 4: Attitude & Orbit Control System (AOCS),"Satellite Communication - Telemetry, Tracking & Command (TT&C) System",https://www.youtube.com/watch?v=zaDrAr0Wz74
15,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 5: Basic Transmission Theory (Communication Satellite Link Design),Satellite Communication - Transponders,https://www.youtube.com/watch?v=687660yAp3s
16,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 5: Basic Transmission Theory (Communication Satellite Link Design),Satellite Communication - Basic Transmission Theory (Communication Satellite Link Design),https://www.youtube.com/watch?v=WoRWjZpKj1w
17,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 5: Basic Transmission Theory (Communication Satellite Link Design),"Satellite Communication - Noise Power,  C/N Ratio and G/T Ratio",https://www.youtube.com/watch?v=p99iiNwHMlk
18,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 6: Complete Link Design Equation,Satellite Communication - System Noise Temperature,https://www.youtube.com/watch?v=OCiMzOAjJUo
19,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 6: Complete Link Design Equation,Satellite Communication - Complete Link Design Equation,https://www.youtube.com/watch?v=Hdc4IQIbmQQ
20,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 6: Complete Link Design Equation,Satellite Communication - Uplink Design & Downlink Design,https://www.youtube.com/watch?v=LnakgKx5AdY
21,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 7: Direct Broadcast Satellite  (DBS) - TV Transmitter,Satellite Communication - Effect of Rain on Satellite Link Design,https://www.youtube.com/watch?v=TmKnR8F2V2k
22,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 7: Direct Broadcast Satellite  (DBS) - TV Transmitter,Satellite Communication - Direct Broadcast Satellite  (DBS) - TV Transmitter,https://www.youtube.com/watch?v=xlBK-nyobQw
23,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 8: Introduction to Global Positioning System (GPS),Satellite Communication - Direct Broadcast Satellite (DBS) - TV Receiver,https://www.youtube.com/watch?v=2D-WjayEL60
24,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 8: Introduction to Global Positioning System (GPS),Satellite Communication - Introduction to Global Positioning System (GPS),https://www.youtube.com/watch?v=qezHC-wmUS0
25,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 8: Introduction to Global Positioning System (GPS),Satellite Communication - GPS Codes,https://www.youtube.com/watch?v=_HqPJFmQCYE
26,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 9: GPS Receiver,Satellite Communication - GPS Navigation Message,https://www.youtube.com/watch?v=zWPy9_ddQOE
27,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 9: GPS Receiver,Satellite Communication - GPS Receiver,https://www.youtube.com/watch?v=6ZRXFg0oYw4
28,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 10: Global Positioning Satellite (GPS) Systems - Multiple Choice Questions (MCQs) - (AKTU),Satellite & Radar Systems(REC-083)-University QP & Solution(2019-20)-Multiple Choice Questions(AKTU),https://www.youtube.com/watch?v=BCAKZACwxcw
29,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 10: Global Positioning Satellite (GPS) Systems - Multiple Choice Questions (MCQs) - (AKTU),Global Positioning Satellite (GPS) Systems - Multiple Choice Questions (MCQs) - (AKTU),https://www.youtube.com/watch?v=VIdcqfFLAqc
30,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 11: Satellite Channel and Link Design - Multiple Choice Questions (MCQs) (AKTU),Direct Broadcast Satellite Television and Radio - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=iQfgEfIR6PY
31,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 11: Satellite Channel and Link Design - Multiple Choice Questions (MCQs) (AKTU),Satellite Channel and Link Design - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=Mz0VQQ005Pw
32,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 12: Orbital Mechanism & Look Angles - Multiple Choice Questions (MCQs) (AKTU),Satellite Subsystems - Multiple Choice Questions (MCQs)(AKTU),https://www.youtube.com/watch?v=KHipzC2EasI
33,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 12: Orbital Mechanism & Look Angles - Multiple Choice Questions (MCQs) (AKTU),Orbital Mechanism & Look Angles - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=SoBWFtqNXV0
34,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 13: Important Questions | For AKTU Students  || Satellite Communication (KEC062),Elements of Satellite Communication - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=mS0URZvrBDk
35,Aerospace Engineering,Satellite Communication,,12th,English/Hindi,Module 13: Important Questions | For AKTU Students  || Satellite Communication (KEC062),Important Questions | For AKTU Students  || Satellite Communication (KEC062),https://www.youtube.com/watch?v=WpkmYBhZcBo
