S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,Space Systems Design,26hrs 4min,12th,English/Hindi,Module 1: Introduction to Spacecraft Systems,Spacecraft Structures,https://www.youtube.com/watch?v=dqErjtCVP5c
2,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 1: Introduction to Spacecraft Systems,Basic Satellite Design- Payload or Bus focused,https://www.youtube.com/watch?v=28h_bnR3GrM
3,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 1: Introduction to Spacecraft Systems,Introduction to Satellite Systems - Part 1,https://www.youtube.com/watch?v=qDbwgpGv2tw
4,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 1: Introduction to Spacecraft Systems,Structural Design and Analysis,https://www.youtube.com/watch?v=G8kYifAptnM
5,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 2: Spacecraft Structures,Satellite Design Best Practice,https://www.youtube.com/watch?v=1cH76asmYTs
6,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 2: Spacecraft Structures,Cubesats | Mini cube satellites,https://www.youtube.com/watch?v=-BGXRGoEnAc
7,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 2: Spacecraft Structures,Satellite Design 23-June-2016,https://www.youtube.com/watch?v=Bs8hZOrYbUo
8,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 3: Satellite Design 23-June-2016,Stratos IV Rocket - Design Presentation,https://www.youtube.com/watch?v=Lbb3Jzsv0O8
9,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 3: Satellite Design 23-June-2016,SpaceX's Reusable Falcon 9 Rocket | Space Launch LIVE,https://www.youtube.com/watch?v=Yzm0SI0HsYE
10,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 4: SpaceX's Reusable Falcon 9 Rocket | Space Launch LIVE,ANSYS: Rocket Nozzle FSI (coupled Thermal Structural) & Harmonic Analysis Tutorial,https://www.youtube.com/watch?v=8DZYY16LiD0
11,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 4: SpaceX's Reusable Falcon 9 Rocket | Space Launch LIVE,Newest Trends in Spacecraft Design - Part 1,https://www.youtube.com/watch?v=FXuwWo25SBI
12,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 5: Newest Trends in Spacecraft Design - Part 1,The next future of space activities: new vs old space missions and systems,https://www.youtube.com/watch?v=PiIiWEwh5WQ
13,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 5: Newest Trends in Spacecraft Design - Part 1,BG SUBS: Small Satellite Design and Space Innovation,https://www.youtube.com/watch?v=4XXbccKdOxk
14,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 5: Newest Trends in Spacecraft Design - Part 1,Such Stuff as Dreams are Made On: Designing Tomorrow’s Space Missions Today (live public talk),https://www.youtube.com/watch?v=KELPnWfE4KY
15,Aerospace Engineering,Space Systems Design,,12th,English/Hindi,Module 5: Newest Trends in Spacecraft Design - Part 1,Eliminate Failures of Space Structures by Improving Vibro-Acoustic Performance,https://www.youtube.com/watch?v=ihmis3jgFBU
