S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,17hrs 7min,12th,English/Hindi,Module 1: Introduction to State Space Analysis,"State Space Analysis Advantages, Comparison of State Space Analysis & Transfer Function Analysis",https://www.youtube.com/watch?v=PGW2laCpvJ0
2,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 1: Introduction to State Space Analysis,"Basics and Applications of State Space Analysis in Control System, #StateSpaceAnalysis",https://www.youtube.com/watch?v=eDJAI9KRkYU
3,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 1: Introduction to State Space Analysis,"Representation, Terminologies and Equations of State Space Analysis in Control System",https://www.youtube.com/watch?v=llYwZ6D-2Jk
4,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 1: Introduction to State Space Analysis,"State Space Analysis for MIMO System in Control System & Control Engineering, #StateSpaceAnalysis",https://www.youtube.com/watch?v=c1IEWCckLgM
5,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 2: State Space Representation and Terminologies,State Space Analysis to Identify Transfer Function in Control System & Control Engineering,https://www.youtube.com/watch?v=Yk3fQrcnkc8
6,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 2: State Space Representation and Terminologies,State Space Model to Transfer Function Calculation in Control System & Control Engineering,https://www.youtube.com/watch?v=GuIvzps_4RI
7,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 2: State Space Representation and Terminologies,State Space Analysis to find Transfer Function and Block Diagram of System in Control System,https://www.youtube.com/watch?v=YtmoSfEG2QQ
8,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 3: Transfer Function Identification using State Space Analysis,"Transfer Function to State Space Equations in State Space Analysis, #StateSpaceAnalysis",https://www.youtube.com/watch?v=Zo3FNDcaptA
9,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 3: Transfer Function Identification using State Space Analysis,State Space Analysis for Electrical System in Control System & Control Engineering #StateSpaceSystem,https://www.youtube.com/watch?v=Lm86H82z7pE
10,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 4: State Space Analysis for Electrical Systems,State Space Modeling of Differential Equation in Control System & Control Engineering,https://www.youtube.com/watch?v=wGJRGwp9U1o
11,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 4: State Space Analysis for Electrical Systems,"State Space Analysis for Signal Flow Graph, State Equation, Output State Equation",https://www.youtube.com/watch?v=fGudNyzpIGc
12,Aerospace Engineering,State Space Analysis in Control System and Control Engineering,,12th,English/Hindi,Module 4: State Space Analysis for Electrical Systems,"State Space Analysis for Signal Flow Graph, State Equation, Output Equation, State Transition Matrix",https://www.youtube.com/watch?v=--UmIDqpJXI
