S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Advanced Computer Architecture,40hrs 21min,12th,English/Hindi,Module 1: Introduction to Advanced Computer Architecture,Advanced Computer Architecture [Intro Video],https://www.youtube.com/watch?v=v7iefsovo9M
2,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 1: Introduction to Advanced Computer Architecture,Lec 1: Review of Basic Computer Organization,https://www.youtube.com/watch?v=4goj-ajnpOQ
3,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 1: Introduction to Advanced Computer Architecture,Lec 2: Perfomance Evaluation Methods,https://www.youtube.com/watch?v=H4oSQZIBkNY
4,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 2: Performance Evaluation and Instruction Pipelining,Lec 3: Introduction to RISC Instruction Pipeline,https://www.youtube.com/watch?v=46virIBg_3w
5,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 2: Performance Evaluation and Instruction Pipelining,Tutorial 1: Instruction Pipeline and Performance,https://www.youtube.com/watch?v=deKUGMHZjB4
6,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 2: Performance Evaluation and Instruction Pipelining,Lec 4 : Pipeline Hazards,https://www.youtube.com/watch?v=IQql2ojVzsU
7,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 3: Pipeline Hazards and Control Flow,Lec 5 : Control Hazards & Branch Prediction,https://www.youtube.com/watch?v=LhUkQ2G-41s
8,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 3: Pipeline Hazards and Control Flow,Lec 6 : MIPS Pipeline for Multi-Cycle Operations,https://www.youtube.com/watch?v=iu1cxdNNTRQ
9,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 3: Pipeline Hazards and Control Flow,Tutorial 2 : Pipeline Hazard Analysis,https://www.youtube.com/watch?v=MjjFqj01PzU
10,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 4: Instruction-Level Parallelism,Lec 7: Compiler Techniques to Explore ILP,https://www.youtube.com/watch?v=FiIYL9xKDLg
11,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 4: Instruction-Level Parallelism,Lec 8: Dynamic Scheduling to Explore ILP,https://www.youtube.com/watch?v=Ug3CxRwz4zE
12,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 4: Instruction-Level Parallelism,Lec 9: Dynamic Scheduling with Tomasulo’s Algorithm,https://www.youtube.com/watch?v=Aj5cA3qBxrQ
13,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 4: Instruction-Level Parallelism,Lec 10: Dynamic Scheduling with Speculative Execution,https://www.youtube.com/watch?v=IGUeCxaNFaA
14,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 5: Dynamic Scheduling and Speculative Execution,Tutorial 3: Static and Dynamic Scheduling,https://www.youtube.com/watch?v=lPoI0ZeXiQU
15,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 5: Dynamic Scheduling and Speculative Execution,Lec 11: Advanced Pipelining & Superscalar Processors,https://www.youtube.com/watch?v=f8zkXSYurGc
16,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 5: Dynamic Scheduling and Speculative Execution,Lec 12: Exploiting DLP: Vector & GPU Architectures,https://www.youtube.com/watch?v=fGHoIqMP-HM
17,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 6: Advanced Pipelining and Parallel Architectures,Tutorial 4 : Architectural Simulation using gem5,https://www.youtube.com/watch?v=L0QxSflnKN8
18,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 6: Advanced Pipelining and Parallel Architectures,Tutorial 5: Core Optimization in gem5,https://www.youtube.com/watch?v=IOj4u_5Tv1A
19,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 6: Advanced Pipelining and Parallel Architectures,Lec 13: Introduction to Cache Memory,https://www.youtube.com/watch?v=MZVWCNt4FS0
20,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 7: Introduction to Cache Memory and Optimization,Lec 14: Block Replacement Techniques & Write Strategy,https://www.youtube.com/watch?v=N-GgUqFrXis
21,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 7: Introduction to Cache Memory and Optimization,Tutorial 6 : Design Concepts in Cache Memory,https://www.youtube.com/watch?v=OmshthcVib4
22,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 7: Introduction to Cache Memory and Optimization,Lec 15: Optimization Techniques in Cache Memory,https://www.youtube.com/watch?v=eJlVrMvZ1TQ
23,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 8: Advanced Cache Optimization and DRAM Systems,Lec 16: Advanced Cache Optimization Techniques,https://www.youtube.com/watch?v=wSkAU7eC9So
24,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 8: Advanced Cache Optimization and DRAM Systems,Tutorial 7: Optimization Techniques in Cache Memory,https://www.youtube.com/watch?v=v6dFwspBL90
25,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 8: Advanced Cache Optimization and DRAM Systems,Tutorial 8: Cache Optimization in gem5,https://www.youtube.com/watch?v=IAmAJt35kIc
26,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 9: Secondary Storage and Tiled Chip Multicore Processors,Lec 17: Introduction to DRAM System,https://www.youtube.com/watch?v=ugTkPwsf1xE
27,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 9: Secondary Storage and Tiled Chip Multicore Processors,Lec 18: DRAM Controllers & Address Mapping,https://www.youtube.com/watch?v=O7mwOrvqkf8
28,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 9: Secondary Storage and Tiled Chip Multicore Processors,Lec 19: Secondary Storage Systems,https://www.youtube.com/watch?v=_BtDcroOTSA
29,Architecture,Advanced Computer Architecture,,12th,English/Hindi,Module 10: Network-on-Chip and Exploring Computer Architecture,Tutorial 9: Design Concepts in DRAM and Harddisk,https://www.youtube.com/watch?v=XQrHw9hwQLM
