S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Architectural Conservation And Historic Preservation,68hrs 2min,12th,English/Hindi,Module 1: Introduction to Architectural Conservation,Lecture 1: Introduction,https://www.youtube.com/watch?v=BbNNjgzG5Jo
2,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 1: Introduction to Architectural Conservation,Lecture 2: Introduction ( Contd.),https://www.youtube.com/watch?v=wHiDxfXMYcs
3,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 2: Significance and Values of Heritage,"Lecture 3: Need, Debate and Purpose",https://www.youtube.com/watch?v=BcldSJPpKnU
4,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 2: Significance and Values of Heritage,Lecture 4: Heritage Significance and Values,https://www.youtube.com/watch?v=2OpEYAMoPDw
5,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 2: Significance and Values of Heritage,Lecture 5: Heritage Significance and Values (Contd.),https://www.youtube.com/watch?v=tr3aClXP0_s
6,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 3: Assessing Heritage Values & Significance,Lecture 6 : Assessing Heritage Values & Significance,https://www.youtube.com/watch?v=aP4Jf1wZw3Q
7,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 3: Assessing Heritage Values & Significance,Lecture 7 : Heritage Values & Significance (Contd.),https://www.youtube.com/watch?v=D1kXPvACiqc
8,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 4: Assessing Heritage Significance,Lecture 8 : Assessing Heritage Significance Concept & Process,https://www.youtube.com/watch?v=4tu-1K2w-6Q
9,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 4: Assessing Heritage Significance,Lecture 9 : Assessing Heritage Significance Concept & Process (Contd.),https://www.youtube.com/watch?v=zbwFKAr4XZ8
10,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 5: Managing & Rehabilitating Heritage Properties,Lecture 10: Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of In,https://www.youtube.com/watch?v=Ttf3YzIUdwU
11,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 5: Managing & Rehabilitating Heritage Properties,Lecture 11 : Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of I,https://www.youtube.com/watch?v=uOBX5uconng
12,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 5: Managing & Rehabilitating Heritage Properties,Lecture 12 : Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of I,https://www.youtube.com/watch?v=MrUuqvGoh5I
13,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 6: Ethics and Evolution of Conservation,Lecture 13 : Ethics of Conservation,https://www.youtube.com/watch?v=lKlCcjx2fG4
14,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 6: Ethics and Evolution of Conservation,Lecture 14 : Evolution of Heritage Conservation,https://www.youtube.com/watch?v=W_JhwPL6LDk
15,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 6: Ethics and Evolution of Conservation,Lecture 15 : Evolution of Heritage Conservation (Contd.),https://www.youtube.com/watch?v=KIyQpi-CjK4
16,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 7: World Heritage Sites,Lecture 16: World Heritage Sites Part 1,https://www.youtube.com/watch?v=LwwQohMNJeg
17,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 7: World Heritage Sites,Lecture 17: World heritage Sites Part 2,https://www.youtube.com/watch?v=R_zyJ4zGEI8
18,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 7: World Heritage Sites,Lecture 18: World Heritage Sites Part 3,https://www.youtube.com/watch?v=UqL-9HG9ftY
19,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 7: World Heritage Sites,Lecture 19: World Heritage Sites Part 4,https://www.youtube.com/watch?v=2PT2479C17A
20,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 7: World Heritage Sites,Lecture 20: World Heritage Sites Part 5,https://www.youtube.com/watch?v=oK8szpb-b7M
21,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 8: Causes of Decay in Cultural Property,Lecture 21: Causes of decay in cultural property part 1,https://www.youtube.com/watch?v=nfYlTSiT_2g
22,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 8: Causes of Decay in Cultural Property,Lecture 22: Causes of decay part 2,https://www.youtube.com/watch?v=xASlxCTQZk4
23,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 8: Causes of Decay in Cultural Property,Lecture 23 : Causes of Decay Part 3,https://www.youtube.com/watch?v=ObIYtJS4UCo
24,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 8: Causes of Decay in Cultural Property,Lecture 24: Causes of decay Part 4,https://www.youtube.com/watch?v=Wz8vMUgn-Z4
25,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 9: Documenting Heritage Properties,Lecture 25: Documenting heritage properties,https://www.youtube.com/watch?v=I0dGT5uzWEU
26,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 9: Documenting Heritage Properties,Lecture 26: Documenting Heritage Properties : A Demonstration Example,https://www.youtube.com/watch?v=ZWxjgevygDI
27,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 10: Investigating & Conserving Historic Structures,Lecture 27 : Investigation and Conservation of Historic Structures : Case Study 1,https://www.youtube.com/watch?v=cC6xINTbnPQ
28,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 10: Investigating & Conserving Historic Structures,Lecture 28 : Investigation & Conservation of Historic Structures Case Study 2 (Part a)),https://www.youtube.com/watch?v=aAkCNqa4HVw
29,Architecture,Architectural Conservation And Historic Preservation,,12th,English/Hindi,Module 10: Investigating & Conserving Historic Structures,Lecture 29 : Investigation & Conservation of Historic Structures Case Study 2 (Part b),https://www.youtube.com/watch?v=5zVLVqED4lQ
