S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,93hrs 3min,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-1 | Syllabus Discussion by Rakesh Sir,https://www.youtube.com/watch?v=qrqzoEvKpcU
2,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-2 | Chapter-1 Introduction (Part-1) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=vMdW2mfoXqA
3,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-3 | Chapter-1 Introduction (Part-2) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=deT5kzqIMaA
4,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-4 | Chapter-1 Introduction (Part-3) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=ocOM4KpLGoc
5,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-5 | Chapter-1 Introduction (Part-4) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=f9V6XtQ5YvA
6,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 1: Introduction & Foundation,Building Construction | Lecture-6 | Chapter-1 Introduction (Part-5) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=gea0ImDsJsA
7,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-7 | Chapter-2 Foundation (Part-1) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=fDqS-PQgjes
8,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-8 | Chapter-2 Foundation (Part-2) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=pl7ZJm46xlw
9,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-9 | Chapter-2 Foundation (Part-3) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=x8hPIodfbIA
10,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-10 | Chapter-2 Foundation (Part-4) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=AtYCZiPt7AM
11,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-11 | Chapter-2 Foundation (Part-5) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=11AChbQiDZs
12,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 2: Foundation,Building Construction | Lecture-12 | Chapter-2 Foundation (Part-6) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=gfIN5ZpBMNo
13,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 3: Walls & Arches,Building Construction | Lecture-13 | Chapter-3 Wall (Part-1) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=9GDJqo1pPHc
14,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 3: Walls & Arches,Building Construction | Lecture-14 | Chapter-3 Wall (Part-2) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=-aw2Y-KMH1g
15,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 3: Walls & Arches,Building Construction | Lecture-15 | Chapter-3 Wall (Part-3) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=LA71S4gW3ec
16,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 3: Walls & Arches,Building Construction | Lecture-16 | Chapter-3 Wall (Part-4) | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=OctRxrfL7ds
17,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-17 | Chapter-5  Arches & Lintels | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=FCx3xcNs1e8
18,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-18 | Chapter-5  Arches & Lintels Part-2 | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=opIUfLZAVQk
19,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-19 | Chapter-5  Arches & Lintels Part-3 | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=MySKt67Jqgc
20,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-20 | Chapter-4  Masonry Part-1 | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=St1fpxL1qVM
21,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-21 | Chapter-4  Masonry Part-2 | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=wUKM0EgwQtI
22,Architecture,Building Construction | Civil Engineering 3rd Semester | Polytechnic by Rakesh Sir,,12th,English/Hindi,Module 4: Arches & Masonry,Building Construction | Lecture-22 | Chapter-4  Masonry Part-3 | Polytechnic by Rakesh Sir,https://www.youtube.com/watch?v=9Bg9im0gpUU
