S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Civil - Design of Reinforced Concrete Structures,137hrs 20min,12th,English/Hindi,Module 1: Introduction & Materials,Introduction - I,https://www.youtube.com/watch?v=pIdaC_I6H_M
2,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 1: Introduction & Materials,Materials,https://www.youtube.com/watch?v=3Do2cZMUGYc
3,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 2: Design Methods & Working Stress,Different Methods of Design of Reinforced Concrete Structures,https://www.youtube.com/watch?v=ba3mZhOpsTM
4,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 2: Design Methods & Working Stress,Working Stress Method,https://www.youtube.com/watch?v=j-7aVssJk8I
5,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 3: Working Stress Method,Working Stress Method (Contd...),https://www.youtube.com/watch?v=D1m2K-zybf0
6,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 3: Working Stress Method,Limit State of Collapse Flexure,https://www.youtube.com/watch?v=zVKf6hZfrhA
7,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 4: Limit State of Collapse Flexure,Limit State of Collapse Flexure - II,https://www.youtube.com/watch?v=DjT5G6Klf1M
8,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 4: Limit State of Collapse Flexure,Design of Doubly Reinforced Beam Flexure - I,https://www.youtube.com/watch?v=0fTvE8aSsiE
9,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 5: Doubly Reinforced Beam Flexure Design,Design of Doubly Reinforced Beam Flexure - II,https://www.youtube.com/watch?v=JwiHgkC-6Ic
10,Architecture,Civil - Design of Reinforced Concrete Structures,,12th,English/Hindi,Module 5: Doubly Reinforced Beam Flexure Design,Design of Doubly Reinforced Beam Flexure,https://www.youtube.com/watch?v=WaAWYM6HDWs
