S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Environment Management,23hrs 5min,12th,English/Hindi,Module 1: Introduction to Environmental Management,Introduction to Environmental Management - Environment Management,https://www.youtube.com/watch?v=oHbTgSqGo5c
2,Architecture,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Environmental Management Schemes - Introduction of Environmental Management,https://www.youtube.com/watch?v=l6JNAOLzKEs
3,Architecture,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Scope of Environmental Management,https://www.youtube.com/watch?v=MXXkMe8tT6M
4,Architecture,Environment Management,,12th,English/Hindi,Module 1: Introduction to Environmental Management,Standards for Environment Management System,https://www.youtube.com/watch?v=A6uhwmgTGTo
5,Architecture,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Sustainable Development,https://www.youtube.com/watch?v=6JlYfafaBO8
6,Architecture,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Global Warming - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=7e0OVoz5qrI
7,Architecture,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Introduction to Acid Rain - Global Environmental Concerns - Environment Management,https://www.youtube.com/watch?v=-pi0I0zGubM
8,Architecture,Environment Management,,12th,English/Hindi,Module 2: Sustainable Development,Ozone Layer Depletion,https://www.youtube.com/watch?v=Pk_FmNGgQbw
9,Architecture,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Hazardous Waste,https://www.youtube.com/watch?v=lrRLDwUyjFk
10,Architecture,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Loss of Biodiversity,https://www.youtube.com/watch?v=NVW2haJabG4
11,Architecture,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Man made Disasters,https://www.youtube.com/watch?v=Q4JmtiJNJTY
12,Architecture,Environment Management,,12th,English/Hindi,Module 3: Hazardous Waste,Nuclear Hazards,https://www.youtube.com/watch?v=NNVngQOoFwg
13,Architecture,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Biomedical Hazards,https://www.youtube.com/watch?v=VvgzzPxJphs
14,Architecture,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Introduction to Ecosystems - Concepts of Ecology - Environment Management,https://www.youtube.com/watch?v=QsnomXj-iQs
15,Architecture,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Concept of Ecology,https://www.youtube.com/watch?v=bgad_f-hvYI
16,Architecture,Environment Management,,12th,English/Hindi,Module 4: Biomedical Hazards,Food Chain and Food Web,https://www.youtube.com/watch?v=o0Q5RIg8xuA
17,Architecture,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Ecological Pyramid,https://www.youtube.com/watch?v=chUyfQOocd4
18,Architecture,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Ecological Interaction Between Organisms,https://www.youtube.com/watch?v=FgZR9VHyT_M
19,Architecture,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Total Quality Environmental Management,https://www.youtube.com/watch?v=mS8mkR-kUM0
20,Architecture,Environment Management,,12th,English/Hindi,Module 5: Ecological Pyramid,Corporate Environmental Responsibility CER,https://www.youtube.com/watch?v=ks_LVefHN7o
21,Architecture,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Introduction,https://www.youtube.com/watch?v=If9LpRyrAmA
22,Architecture,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Family,https://www.youtube.com/watch?v=fwFmRMEo1nQ
23,Architecture,Environment Management,,12th,English/Hindi,Module 6: ISO 14000 Introduction,ISO 14000 Certification,https://www.youtube.com/watch?v=EBzLLUoorEc
24,Architecture,Environment Management,,12th,English/Hindi,Module 7: The Environment Protection Act,The Environment Protection Act - General Overview of Major Legislation - Environment Management,https://www.youtube.com/watch?v=PfhEfNWQblM
25,Architecture,Environment Management,,12th,English/Hindi,Module 7: The Environment Protection Act,Air Act   Part I,https://www.youtube.com/watch?v=ejKM7aYDWKc
26,Architecture,Environment Management,,12th,English/Hindi,Module 7: The Environment Protection Act,The Air Act   Part II,https://www.youtube.com/watch?v=So5qHC2F3G8
27,Architecture,Environment Management,,12th,English/Hindi,Module 8: The Water Act,The Water Act,https://www.youtube.com/watch?v=i3JU4k_CCNI
28,Architecture,Environment Management,,12th,English/Hindi,Module 8: The Water Act,Wildlife Protection Act - General Overview of Major Legislation - Environment Management,https://www.youtube.com/watch?v=bVqzxq0V7Zw
29,Architecture,Environment Management,,12th,English/Hindi,Module 9: Indian Forest Act Part I,Indian Forest Act Part I,https://www.youtube.com/watch?v=9FTi1C_72ao
30,Architecture,Environment Management,,12th,English/Hindi,Module 9: Indian Forest Act Part I,Indian Forest Act Part II,https://www.youtube.com/watch?v=-vStUtPXgLE
31,Architecture,Environment Management,,12th,English/Hindi,Module 10: Indian Forest Act Part III,Indian Forest Act Part III,https://www.youtube.com/watch?v=qynt0Hv_Bu0
32,Architecture,Environment Management,,12th,English/Hindi,Module 10: Indian Forest Act Part III,Indian Forest Act Part IV,https://www.youtube.com/watch?v=8IvSvs2ulao
33,Architecture,Environment Management,,12th,English/Hindi,Module 11: Factories Act,Factories Act,https://www.youtube.com/watch?v=TlVjEXbXqJ0
