S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Interior Design Course,6hrs 18min,12th,English/Hindi,Module 1: Introduction to Interior Design,Interior Design Course in Hindi with English subtitles,https://www.youtube.com/watch?v=8GzNcg1pi9Y
2,Architecture,Interior Design Course,,12th,English/Hindi,Module 1: Introduction to Interior Design,Elements of Design (Line) in Hindi,https://www.youtube.com/watch?v=qW7KxKZsCRk
3,Architecture,Interior Design Course,,12th,English/Hindi,Module 1: Introduction to Interior Design,Elements of design (Light) in Hindi,https://www.youtube.com/watch?v=ijn12M_pUDg
4,Architecture,Interior Design Course,,12th,English/Hindi,Module 1: Introduction to Interior Design,Elements of Design (Shape & Form) in Hindi,https://www.youtube.com/watch?v=ITloewXMT1w
5,Architecture,Interior Design Course,,12th,English/Hindi,Module 2: Elements of Design - Line & Light,Elements of design (Color) Interior design course Online,https://www.youtube.com/watch?v=D5QZAxRW-JE
6,Architecture,Interior Design Course,,12th,English/Hindi,Module 2: Elements of Design - Line & Light,Elements of Design (Pattern) in Hindi Pattern beauty review,https://www.youtube.com/watch?v=Vsb8hAIqy0o
7,Architecture,Interior Design Course,,12th,English/Hindi,Module 2: Elements of Design - Line & Light,Elements of Design (Texture) in Hindi,https://www.youtube.com/watch?v=uFO7TbtkshM
8,Architecture,Interior Design Course,,12th,English/Hindi,"Module 3: Elements of Design - Shape, Form & Color",Elements of Design (Space) in Hindi,https://www.youtube.com/watch?v=pkBTzGnhNbU
9,Architecture,Interior Design Course,,12th,English/Hindi,"Module 3: Elements of Design - Shape, Form & Color",Principles of Design (Balance) in Interiors (Hindi),https://www.youtube.com/watch?v=3smW5xGJJD4
10,Architecture,Interior Design Course,,12th,English/Hindi,"Module 3: Elements of Design - Shape, Form & Color",Principles of Design (Rhythm & Repetition) in Interiors (Hindi),https://www.youtube.com/watch?v=n7XTPwp0k5o
11,Architecture,Interior Design Course,,12th,English/Hindi,Module 4: Elements of Design - Pattern & Texture,Principles of Design (Focus) in Interiors (Hindi),https://www.youtube.com/watch?v=QGk-fCOf0Pc
12,Architecture,Interior Design Course,,12th,English/Hindi,Module 4: Elements of Design - Pattern & Texture,Principles of Design (Scale & Proportion) in Interiors (Hindi),https://www.youtube.com/watch?v=p3B3Bdl2TSM
13,Architecture,Interior Design Course,,12th,English/Hindi,Module 4: Elements of Design - Pattern & Texture,Principles of Design (Contrast) in Interiors (Hindi),https://www.youtube.com/watch?v=A2rrVB_Cv8I
14,Architecture,Interior Design Course,,12th,English/Hindi,Module 5: Elements of Design - Space,Interior Design Styles (Costal Chic) In Hindi,https://www.youtube.com/watch?v=xj6wVnw8n8s
15,Architecture,Interior Design Course,,12th,English/Hindi,Module 5: Elements of Design - Space,Interior Design Styles (Scandinavian) In Hindi,https://www.youtube.com/watch?v=xVV-DjyJqKE
16,Architecture,Interior Design Course,,12th,English/Hindi,Module 5: Elements of Design - Space,Interior Design Styles (Traditional) In Hindi,https://www.youtube.com/watch?v=oHKmbyCcFnw
17,Architecture,Interior Design Course,,12th,English/Hindi,Module 6: Principles of Design - Balance & Rhythm,Interior Design Styles (Contemporary) In Hindi,https://www.youtube.com/watch?v=htPO2_sTzBc
18,Architecture,Interior Design Course,,12th,English/Hindi,Module 6: Principles of Design - Balance & Rhythm,Interior Design Styles (Industrial) In Hindi,https://www.youtube.com/watch?v=JIeiiL-DTEo
19,Architecture,Interior Design Course,,12th,English/Hindi,Module 6: Principles of Design - Balance & Rhythm,Interior Design Styles (Zen) In Hindi,https://www.youtube.com/watch?v=tbasZfUNq4c
