S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),265hrs 7min,12th,English/Hindi,Module 1: Introduction to Digital Design,Digital Design and Computer Architecture - Lecture 1: Introduction and Basics (Spring 2023),https://www.youtube.com/watch?v=VcKjvwD930o
2,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 1: Introduction to Digital Design,"Digital Design & Comp Arch - Lecture 2: Tradeoffs, Metrics & Combinational Logic I (Spring 2023)",https://www.youtube.com/watch?v=pRLFHaG6hK8
3,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 1: Introduction to Digital Design,Digital Design & Comp Arch - Lecture 3: Combinational Logic II (Spring 2023),https://www.youtube.com/watch?v=M-8KpveWi5M
4,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 1: Introduction to Digital Design,Digital Design & Comp Arch - Lecture 4: Sequential Logic Design,https://www.youtube.com/watch?v=ZOOiSTLxrpY
5,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 2: Sequential Logic Design & HDLs,Digital Design & Computer Architecture - Labs: Introduction to the Labs and FPGAs,https://www.youtube.com/watch?v=LwD4rD92ts4
6,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 2: Sequential Logic Design & HDLs,Digital Design & Comp Arch - Lecture 5: Sequential Logic Design II & Hardware Description Languages,https://www.youtube.com/watch?v=AFK2nL8aaZk
7,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 2: Sequential Logic Design & HDLs,Digital Design & Comp Arch - Lecture 6: Timing and Verification,https://www.youtube.com/watch?v=EZ6DFDuSBrM
8,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 3: Instruction Set Architectures,Digital Design & Comp Arch - Lecture 6c: Verification & Testing (Spring 2023),https://www.youtube.com/watch?v=qGO5w9KZiHQ
9,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 3: Instruction Set Architectures,Digital Design & Comp Arch - Lecture 7: Von Neumann Model & Instruction Set Architectures,https://www.youtube.com/watch?v=QXhTd5LP8pM
10,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 3: Instruction Set Architectures,Digital Design & Comp Arch - Lecture 8: Instruction Set Architectures II,https://www.youtube.com/watch?v=l5ckuOkVtBY
11,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 4: Microarchitecture Fundamentals,Digital Design & Comp Arch - Lecture 9: ISA and Microarchitecture (Tradeoffs),https://www.youtube.com/watch?v=0RcenL_XpPs
12,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 4: Microarchitecture Fundamentals,Digital Design & Comp Arch - Lecture 9b: Assembly Programming (Spring 2023),https://www.youtube.com/watch?v=oYaxD1j6MOU
13,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 4: Microarchitecture Fundamentals,Digital Design & Comp Arch - Lecture 10: Microarchitecture Fundamentals and Design,https://www.youtube.com/watch?v=SX2xMDV2lAA
14,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 5: Pipelined Processor Design,Digital Design & Comp Arch - Lecture 11: Multi-Cycle Microarchitecture Design (Spring 2023),https://www.youtube.com/watch?v=49zRKmEXAcE
15,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 5: Pipelined Processor Design,Digital Design & Comp Arch - Lecture 12: Pipelining (Spring 2023),https://www.youtube.com/watch?v=jBcFKHG1hBU
16,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 5: Pipelined Processor Design,Digital Design & Comp Arch - Lec. 13: Pipelined Processor Design: Data & Control Dependence Handling,https://www.youtube.com/watch?v=523JOL6jck0
17,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 5: Pipelined Processor Design,Digital Design and Comp Arch - Lecture 14: Precise Exceptions & Register Renaming (Spring 2023),https://www.youtube.com/watch?v=nkWVrZqW584
18,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 6: Out-of-Order Execution,Digital Design and Computer Architecture - Lecture 15: Out-of-Order Execution (Spring 2023),https://www.youtube.com/watch?v=AhtIrJNSQws
19,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 6: Out-of-Order Execution,Digital Design & Comp. Arch - Lecture 15b: Load-Store Handling in Out-of-Order Execution (Spring'23),https://www.youtube.com/watch?v=UZAjQXUwzT4
20,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 6: Out-of-Order Execution,Digital Design and Comp. Arch. - Lecture 16: Superscalar Execution & Branch Prediction (Spring 2023),https://www.youtube.com/watch?v=PWGKttldt_M
21,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 7: Advanced Architectures,Digital Design and Computer Architecture - Lecture 17: Advanced Branch Prediction (Spring 2023),https://www.youtube.com/watch?v=g9H_79ITdbM
22,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 7: Advanced Architectures,Digital Design and Comp. Arch. - Lecture 18: VLIW and Systolic Array Architectures (Spring 2023),https://www.youtube.com/watch?v=Ayo8uVPvjyw
23,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 7: Advanced Architectures,Digital Design & Computer Architecture - Lecture 18c: Decoupled Access-Execute (Spring 2023),https://www.youtube.com/watch?v=6gh7tWf3xgM
24,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 7: Advanced Architectures,Digital Design and Comp. Arch. - Lecture 19: SIMD Architectures (Vector and Array Processors),https://www.youtube.com/watch?v=gkMaO3yJMz0
25,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 8: Memory Organization & Hierarchy,Digital Design and Comp. Arch. - Lecture 20: GPU Architectures (Graphics Processing Units) (S23),https://www.youtube.com/watch?v=UFD8K-lprbQ
26,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 8: Memory Organization & Hierarchy,Digital Design and Comp. Arch. - Lecture 21: Memory Organization & Technology (Spring 23),https://www.youtube.com/watch?v=CDOOxhRBMIY
27,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 8: Memory Organization & Hierarchy,Digital Design and Computer Architecture - Lecture 22: Memory Hierarchy and Caches (Spring 2023),https://www.youtube.com/watch?v=1zXDoDDkICQ
28,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 8: Memory Organization & Hierarchy,Digital Design and Computer Architecture - Lecture 23: Cache Design and Management (Spring 2023),https://www.youtube.com/watch?v=b7y3rN-NX5E
29,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 9: Virtual Memory & Future Computing,Digital Design and Computer Architecture - Lecture 24: Prefetching (Spring 2023),https://www.youtube.com/watch?v=cLTCEOrB428
30,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 9: Virtual Memory & Future Computing,Digital Design and Comp. Arch. - Lecture 25: Advanced Prefetching & Virtual Memory (Spring 2023),https://www.youtube.com/watch?v=NoujNpqvPmk
31,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 9: Virtual Memory & Future Computing,Digital Design & Computer Arch - Lecture 26: Virtual Memory & Future Computing Arch. (Spring 2023),https://www.youtube.com/watch?v=UaS0oqgWiIk
32,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 10: Problem Solving,Digital Design & Computer Arch. - Lecture 26c: Virtual Memory: Issues and Examples (Spring 2023),https://www.youtube.com/watch?v=XqAiRrZiEdY
33,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 10: Problem Solving,Digital Design & Computer Architecture - Problem Solving I (Spring 2023),https://www.youtube.com/watch?v=IQ0gSNrYi7c
34,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 10: Problem Solving,Digital Design & Computer Architecture - Problem Solving II (Spring 2023),https://www.youtube.com/watch?v=UGeyfebxeco
35,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 10: Problem Solving,Digital Design & Computer Architecture - Problem Solving III (Spring 2023),https://www.youtube.com/watch?v=_WjqTc76EaU
36,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 10: Problem Solving,Digital Design & Computer Architecture - Problem Solving IV (Spring 2023),https://www.youtube.com/watch?v=bd6hM6K0g5s
37,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 11: Final Exam Preparation,Digital Design and Comp. Arch. - Lecture 31: Problem Solving V (Spring 2023),https://www.youtube.com/watch?v=TroBB7-z6l8
38,Architecture,Livestream - Digital Design and Computer Architecture - ETH Zürich (Spring 2023),,12th,English/Hindi,Module 11: Final Exam Preparation,Digital Design & Computer Architecture - Preparing for the Final Exam (Spring 2023),https://www.youtube.com/watch?v=KVsDsD80TGM
