S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Automotive Engineering,18ME33 - Basic Thermodynamics,63hrs 19min,12th,English/Hindi,Module 1: Introduction to Thermodynamics,3RD BTD 18ME33 M1 1 CGD,https://www.youtube.com/watch?v=dS5iqnD3ff0
2,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,3RD BTD 18ME33 M1 2 CGD,https://www.youtube.com/watch?v=K0IDzMA9uXk
3,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,3RD BTD 18ME33 M1 3 CGD,https://www.youtube.com/watch?v=tuVbx1zdPJg
4,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 1: Introduction to Thermodynamics,3RD BTD 18ME33 M1 4 CGD,https://www.youtube.com/watch?v=ZVT12OrvpqY
5,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,3RD BTD 18ME33 M1 5 CGD,https://www.youtube.com/watch?v=08H83LBrW90
6,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,3RD BTD 18ME33 M1 6 PSB,https://www.youtube.com/watch?v=mCg_mukgHNE
7,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 2: First Law of Thermodynamics,3RD BTD 18ME33 M1 7 PSB,https://www.youtube.com/watch?v=Gco-ducLAOY
8,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 3: Second Law of Thermodynamics,3RD BTD 18ME33 M2 1 CGD,https://www.youtube.com/watch?v=Zu0SP-5yikU
9,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 3: Second Law of Thermodynamics,3RD BTD 18ME33 M2 2 PSB,https://www.youtube.com/watch?v=95CC6_DPzd0
10,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 3: Second Law of Thermodynamics,3RD BTD 18ME33 M2 3 PSB,https://www.youtube.com/watch?v=xBhYsOQctQI
11,Automotive Engineering,18ME33 - Basic Thermodynamics,,12th,English/Hindi,Module 4: Entropy,3RD BTD 18ME33 M2 4 PSB,https://www.youtube.com/watch?v=GZrKlBjCHuI
