S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Automotive Engineering,Fundamentals of Automotive Systems,11hrs 15min,12th,English/Hindi,Module 1: Introduction to Automotive Systems,Fundamentals of Automotive Systems,https://www.youtube.com/watch?v=hs7bABMtOMI
2,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 1: Introduction to Automotive Systems,Course Overview and Classification of Internal Combustion Engines - Part 01,https://www.youtube.com/watch?v=H_RgFXjg-5s
3,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 1: Introduction to Automotive Systems,Course Overview and Classification of Internal Combustion Engines - Part 02,https://www.youtube.com/watch?v=V8JhP_FWgNs
4,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 1: Introduction to Automotive Systems,Engine Components - Part 01,https://www.youtube.com/watch?v=yI6bGBiL9Fw
5,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 2: Internal Combustion Engine Basics,Engine Components - Part 02,https://www.youtube.com/watch?v=2XIdT7G3UGo
6,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 2: Internal Combustion Engine Basics,Operation of Four Stroke Engines - Part 01,https://www.youtube.com/watch?v=8qakw7NaFn4
7,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 2: Internal Combustion Engine Basics,Operation of Four Stroke Engines - Part 02,https://www.youtube.com/watch?v=vjQKpFXhl_c
8,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 2: Internal Combustion Engine Basics,Two Stroke Engine and Engine Cycles - Part 01,https://www.youtube.com/watch?v=FVywAS4Cpgo
9,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 3: Engine Components and Operation,Two Stroke Engine and Engine Cycles - Part 02,https://www.youtube.com/watch?v=yD6BZFUiDSE
10,Automotive Engineering,Fundamentals of Automotive Systems,,12th,English/Hindi,Module 3: Engine Components and Operation,Otto Cycle and Diesel Cycle - Part 01,https://www.youtube.com/watch?v=WxWgdcPsXwU
