S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Accounts For Beginners,53hrs 11min,12th,English/Hindi,Module 1: Introduction to Accounts,1. Accounts Introduction Class For Beginners,https://www.youtube.com/watch?v=8gvsTN10_tA
2,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 1: Introduction to Accounts,2. Book Keeping  Vs Accounting - Importance of Accounting,https://www.youtube.com/watch?v=WGaKqd9cSP4
3,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 1: Introduction to Accounts,3. Accounting Equation In Financial Accounting,https://www.youtube.com/watch?v=wSQLHaYELvY
4,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 1: Introduction to Accounts,4. Accounting Concepts & Conventions - Must Learn This Topic,https://www.youtube.com/watch?v=fNRXVAmkjDE
5,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 2: Bookkeeping and Accounting Equation,5. Classification of Accounts  In Financial Accounting - Don't Miss This Important Class,https://www.youtube.com/watch?v=XIZ6qjotpJ4
6,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 2: Bookkeeping and Accounting Equation,6. Learn to write Journal Entries  In Double Entry System,https://www.youtube.com/watch?v=7dCdBCATk9E
7,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 2: Bookkeeping and Accounting Equation,7. Journal Entries - Problem Number : 1,https://www.youtube.com/watch?v=I3VYr8FRZs8
8,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 3: Accounting Concepts and Classifications,8. Journal Entries : Problem Number -2,https://www.youtube.com/watch?v=H-bvNLk1ZdM
9,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 3: Accounting Concepts and Classifications,"9. Learn To Prepare ""Ledger Accounts"" In 20 Minutes",https://www.youtube.com/watch?v=FlndzsBGI6M
10,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 3: Accounting Concepts and Classifications,10. Accounting Process/ Accounting Cycle,https://www.youtube.com/watch?v=QkFUqB5gt5E
11,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 4: Journal Entries and Ledger Accounts,11. Entire Concept Of Subsidiary Books in 12 Minutes,https://www.youtube.com/watch?v=dWHD1-3tVOY
12,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 4: Journal Entries and Ledger Accounts,12. Single Column Cash Book - Problem No: 1,https://www.youtube.com/watch?v=_mdwUNsyx28
13,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 4: Journal Entries and Ledger Accounts,13. Single Column  Cash Book Problem Number : 2,https://www.youtube.com/watch?v=TrH_1BaFQn8
14,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 4: Journal Entries and Ledger Accounts,14. Double / Two Column  Cash Book - Problem Number: 1,https://www.youtube.com/watch?v=fhW5-Yk40Nc
15,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 5: Introduction to Subsidiary Books,15. Double/ Two Column  Cash Book - Problem Number : 2,https://www.youtube.com/watch?v=L9tFfvhQHCo
16,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 5: Introduction to Subsidiary Books,"16. Must Know ""Contra Entry Or Double Entry"" Before Preparing Triple Column Cash Book",https://www.youtube.com/watch?v=c8QOKAen4s4
17,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 5: Introduction to Subsidiary Books,17. Triple  Column Cash Book - Problem Number : 1,https://www.youtube.com/watch?v=oNSjIQjTOqg
18,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 6: Single Column Cash Book,"18. ""Triple Column Cash Book"" - Problem Number : 2",https://www.youtube.com/watch?v=V63zjHOGgw8
19,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 6: Single Column Cash Book,"19. ""Purchases Book"" - Introduction & Problem",https://www.youtube.com/watch?v=ZSl4HUv_Nso
20,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 6: Single Column Cash Book,"20. ""Four Subsidiary Books in One Problem"" - Purchase, Sales, Purchase Returns & Sales Returns Book",https://www.youtube.com/watch?v=XvxsVUNaoUc
21,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 7: Double Column Cash Book,"21. Introduction of ""Trial Balance""",https://www.youtube.com/watch?v=EkfbWZzOQpA
22,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 7: Double Column Cash Book,22. Trail Balance  Problem With Solution,https://www.youtube.com/watch?v=RzKszbqA5Vc
23,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 7: Double Column Cash Book,"23.A Complete Introduction on "" Final Accounts"" (Financial Statements)",https://www.youtube.com/watch?v=4N0Dmzhi3Tw
24,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 8: Triple Column Cash Book,"24. ""Trading account"" - Entire Concept With Proforma & Problem With Solution",https://www.youtube.com/watch?v=k3S1N8u-Qtc
25,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 8: Triple Column Cash Book,"25. ""Profit & Loss Account"" - Proforma & Problem With Solution",https://www.youtube.com/watch?v=NGneMwPacMs
26,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 8: Triple Column Cash Book,26. Trading& P& L Account problem,https://www.youtube.com/watch?v=QFsToWXkqV4
27,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 9: Subsidiary Books - Purchases & Sales,"27. ""Balance Sheet""  - Introduction & Proforma In Final Accounts",https://www.youtube.com/watch?v=nOHlGSmU980
28,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 9: Subsidiary Books - Purchases & Sales,"28. Simple Problem To Workout  ""Balance Sheet  "" In Final Accounts",https://www.youtube.com/watch?v=Dsj0Xgd88G4
29,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 9: Subsidiary Books - Purchases & Sales,"29. Final  Accounts  ""Short Problems""   Part -1",https://www.youtube.com/watch?v=GzccF_OJyEA
30,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 10: Introduction to Trial Balance,"30. Final  Accounts   ""Short Problems""   Part -2",https://www.youtube.com/watch?v=s1hxoMvo5XE
31,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 10: Introduction to Trial Balance,"31. "" Final  Accounts Problem -1""      Without Adjustments",https://www.youtube.com/watch?v=Yn70n37sLxE
32,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 10: Introduction to Trial Balance,"32. "" Final  Accounts Problem -2""      Without Adjustments",https://www.youtube.com/watch?v=pkC9unkIXxM
33,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 11: Introduction to Final Accounts,33.Ten Important  Adjustments  In Final Accounts - Don't Miss This Talk,https://www.youtube.com/watch?v=wNMHu7lyViM
34,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 11: Introduction to Final Accounts,34. Seven Typical Adjustments In Final Accounts,https://www.youtube.com/watch?v=aWwCNDSxIPo
35,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 12: Trading Account,"35. ""Final Accounts Problem -1"" With Adjustments",https://www.youtube.com/watch?v=umttvGKOi8g
36,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 12: Trading Account,"36. ""Final Accounts Problem - 2"" - With Adjustments",https://www.youtube.com/watch?v=TqEFvIk0uSQ
37,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 12: Trading Account,"37. ""Final Accounts Problem - 3"" - With Adjustments",https://www.youtube.com/watch?v=BLKW8z1yNEk
38,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 13: Profit & Loss Account,"38. ""Final Accounts Problem - 4"" - With Adjustments",https://www.youtube.com/watch?v=c5Xop132eGM
39,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 13: Profit & Loss Account,"39. ""Final Accounts Problem - 5"" - With Adjustments",https://www.youtube.com/watch?v=esyJV2SCrY4
40,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 13: Profit & Loss Account,"40. ""Final Accounts Problem - 6"" - With Bad Debts Typical Adjustments",https://www.youtube.com/watch?v=1CKUpJi4E8w
41,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 14: Balance Sheet,"41. Final  Accounts ""Detailed Explanation On Bad Debts Related Adjustments"" - Don't Miss This Lesson",https://www.youtube.com/watch?v=t73DmfSeBrc
42,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 14: Balance Sheet,"42. ""Bank Reconciliation Statement"" Chapter Introduction from Financial Accounting  - Don't Miss It",https://www.youtube.com/watch?v=qeHc8w23Kl4
43,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 14: Balance Sheet,"43. How to prepare ""Bank Reconciliation Statement"" In Financial Accounting",https://www.youtube.com/watch?v=iXOW4BiQlrg
44,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 15: Final Accounts - Short Problems,44. Bank Reconciliation Statement - Problem Number -1 From Financial Accounting,https://www.youtube.com/watch?v=8SGD-F2DE3c
45,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 15: Final Accounts - Short Problems,"45. ""Bank Reconciliation Statement - Problem No 2"" From Financial Accounting",https://www.youtube.com/watch?v=HZRlKvvBEcw
46,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 15: Final Accounts - Short Problems,"46. ""Bank Reconciliation Statement - Problem No 3"" from Financial Accounting",https://www.youtube.com/watch?v=Ppi6aPn-4XI
47,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 16: Final Accounts - Without Adjustments,"47. ""Bank Reconciliation Statement - Problem No 6"" from Financial Accounting",https://www.youtube.com/watch?v=jIza3a7CDSA
48,Business Administration,Accounts For Beginners,,12th,English/Hindi,Module 16: Final Accounts - Without Adjustments,"48. ""Bank Reconciliation Statement - Overdraft Problem "" From Financial Accounting",https://www.youtube.com/watch?v=kx0YomXhtm0
