S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,All Business Law Videos,52hrs 10min,12th,English/Hindi,Module 1: Introduction to Contracts,Essentials of valid contract | indian contract act 1872 | elements of contract | contract meaning,https://www.youtube.com/watch?v=2Ev7ozO8crI
2,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 1: Introduction to Contracts,Agreement vs Contract | agreement and contract | difference between agreement and contract,https://www.youtube.com/watch?v=1m_X0eWSTsA
3,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 1: Introduction to Contracts,Types of agreement | types of agreement in hindi | kinds of agreement,https://www.youtube.com/watch?v=p4C_rM5XExY
4,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 1: Introduction to Contracts,Void vs Voidable contract | Void and illegal agreement | void vs voidable | void contract,https://www.youtube.com/watch?v=6KwSD68C--E
5,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 2: Types of Contracts and Agreements,All Contracts are Agreement but all Agreements are not Contract | balfour vs balfour case,https://www.youtube.com/watch?v=b9zJFaKr7h0
6,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 2: Types of Contracts and Agreements,Offer and its essentials | essentials of a valid offer | legal rules of offer,https://www.youtube.com/watch?v=Kbsf4NvPzI4
7,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 2: Types of Contracts and Agreements,Lapse of an Offer | lapse of offer indian contract act,https://www.youtube.com/watch?v=t_gSa_nOh2E
8,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 3: Offer and Acceptance,Rules of Acceptance in contract law | legal rules of acceptance | Acceptance in hindi | Famous Cases,https://www.youtube.com/watch?v=RVdMz_xWNlg
9,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 3: Offer and Acceptance,Consideration and its Essential Elements | Consideration Contract law | Consideration CA Foundation,https://www.youtube.com/watch?v=4tE5hLwvy10
10,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 3: Offer and Acceptance,No Consideration No Contract | Exceptions to No Consideration No Contract | no consideration,https://www.youtube.com/watch?v=e7RNlaRtESw
11,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 4: Consideration,Auction Sale as per Sale of Goods Act 1930 | Sale by Auction in Hindi | CMA Foundation,https://www.youtube.com/watch?v=Lk2PmzvZumg
12,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 4: Consideration,Types of Contract | Types of Contract CA Foundation | Types of Contract in Indian Contract Act 1872,https://www.youtube.com/watch?v=pjlZipitt2o
13,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 4: Consideration,Doctrine of Privity of Contract | Stranger to Contract & its Exceptions | Stranger to Consideration,https://www.youtube.com/watch?v=zXAsIjfVf3s
14,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 5: Capacity to Contract and Free Consent,Discharge of Contract | Discharge of contract Indian Contract Act 1872 | in Hindi | CA Foundation,https://www.youtube.com/watch?v=s8Bhmg4hyVo
15,Business Administration,All Business Law Videos,,12th,English/Hindi,Module 5: Capacity to Contract and Free Consent,Business Law Important Questions for B.com 2022 | Business Law important questions,https://www.youtube.com/watch?v=kLOX3m2zH3M
