S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Business Communication Lectures - Dwivedi Guidance,27hrs 22min,12th,English/Hindi,Module 1: Introduction to Business Communication,"1| Business Communication | Meaning and Definition | Nature, Characteristics, Purpose, Communication",https://www.youtube.com/watch?v=BitO6ccFPws
2,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Business Communication,process of communication | business communication process | elements of business communication,https://www.youtube.com/watch?v=qFN97isKMfU
3,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Business Communication,7C of Communication | seven c of communication | 7c of business communication,https://www.youtube.com/watch?v=ONmwOLaX-wo
4,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Business Communication,"barriers to communication, business communication mba 1st sem, business communication bcom 1st year",https://www.youtube.com/watch?v=2nY7jaCQjTU
5,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 2:  Communication Processes and Barriers,"Classifying Communication, verbal, kinesis, haptics, proxemics, chronemics, business communication",https://www.youtube.com/watch?v=i7og-Xripf0
6,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 2:  Communication Processes and Barriers,"Communication in Crisis, business communication mba, business communication aktu, business, dwivedi",https://www.youtube.com/watch?v=qn9xhDLDYDY
7,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 2:  Communication Processes and Barriers,"Formal and informal communication, grapevine communication, Gang Plank, business communication mba",https://www.youtube.com/watch?v=Z1IyazuG0ag
8,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Dimensions of Communication,"Conversation Control, conversation control techniques, Business Communication, mba, bba, bcom,",https://www.youtube.com/watch?v=Txcj8S1SFac
9,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Dimensions of Communication,"Reflection and Empathy : two sides of effective oral communication, Business Communication, mba, bba",https://www.youtube.com/watch?v=br1bkGopCT0
10,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Dimensions of Communication,"Principles of successful oral communication, Business Communication, mba, bba, bcom, mcom",https://www.youtube.com/watch?v=7hBDxrHV5k4
11,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 4: Oral Communication,"Listening, Effective listening, listening process, listening types, business communication, mba, bba",https://www.youtube.com/watch?v=PNZnbMklSA4
12,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 4: Oral Communication,"Purpose of writing, Business Communication,",https://www.youtube.com/watch?v=dCRT49vLS1s
13,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 4: Oral Communication,"Coherence, coherence in writing, specific writing features, coherent in business communication mba,",https://www.youtube.com/watch?v=4bVZYabv4gU
14,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 5:  Written Communication,"3X3 writing process for business communication, Prewriting, Writing, Revising business communication",https://www.youtube.com/watch?v=OldnquskFkI
15,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 5:  Written Communication,"7| business communication in hindi, CV, Resume, Interview, GD, Business Communication mba 1st sem",https://www.youtube.com/watch?v=5fkQJrNkDeM
16,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 5:  Written Communication,"6| business communication in hindi, Presentation, Visual Aids, Business Communication mba 1st sem",https://www.youtube.com/watch?v=nxN_KtPld3o
17,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 6: Business Communication in Hindi ,"8| Business Communication, meeting, seminar, workshop, conference, business communication in hindi",https://www.youtube.com/watch?v=d9iU9kU4fFw
18,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 6: Business Communication in Hindi ,"5| business communication in hindi, Business Letters, Memos, Report, Business Communication mba",https://www.youtube.com/watch?v=8kS62NXcgi8
19,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 7: Business Communication Tools and Technologies,"4| Business Communication mba 1st sem, business communication aktu, business communication in hindi",https://www.youtube.com/watch?v=YrgW8pWq_bI
20,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 7: Business Communication Tools and Technologies,"Intranet, Video Conferencing, Teleconferencing, Advancement on Business Communication networks, MBA",https://www.youtube.com/watch?v=xRi9oP2RskQ
21,Business Administration,Business Communication Lectures - Dwivedi Guidance,,12th,English/Hindi,Module 8: Scholarly Communication,"scholarly communication, scholarly communication in hindi, introduction to scholarly communication,",https://www.youtube.com/watch?v=n4JcU_SbMCQ
