S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Business Ethics (Dwivedi Guidance),38hrs 0min,12th,English/Hindi,Module 1: Introduction to Business Ethics,"Business Ethics, Nature of Business ethics, Elements of business ethics, ethics in business, #ethics",https://www.youtube.com/watch?v=ltW7KVYJ1go
2,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Business Ethics,"The Teleological approach, the deontological approach, Ethical Theories and Approaches, ethics",https://www.youtube.com/watch?v=qxUgnxd27-8
3,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Business Ethics,"Universalism, Ethical Relativism, Universalism in business ethics, business ethics, Dwivedi guidance",https://www.youtube.com/watch?v=FfRRIL14UgI
4,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Business Ethics,"Shareholder Theory of the Firm, Friedman Doctrine, Milton Friedman Theory, Business Ethics Theory",https://www.youtube.com/watch?v=Sy5I1hors_I
5,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 2: Ethical Theories and Approaches,"Carroll's Pyramid of corporate social responsibility, carroll's pyramid model of csr, carroll model",https://www.youtube.com/watch?v=PcAPpWMfbNI
6,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 2: Ethical Theories and Approaches,"CSR, Corporate Social Responsibility, CSR Committee Function, Schedule VII, Strategic Management mba",https://www.youtube.com/watch?v=AzHaDKZ-iiI
7,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 3: Ethical Frameworks and Business Ethics,"Social Responsibility of business class 11, Business Studies class 11 Chapter 6, NCERT business",https://www.youtube.com/watch?v=cT3g3_KIyhI
8,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 3: Ethical Frameworks and Business Ethics,"Voluntary Guidelines of CSR, National Guidelines on Responsible business conduct 2018, NGRBC, ethics",https://www.youtube.com/watch?v=RlHUR0gU8b8
9,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 4: Corporate Social Responsibility,"CSR Strategy, Elements of CSR Strategy, CSR and Strategy, business ethics bba, business ethics bcom",https://www.youtube.com/watch?v=FjkBwQNFic4
10,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 4: Corporate Social Responsibility,"Utilitarianism in business ethics, Utilitarianism example in business ethics, business ethics bba",https://www.youtube.com/watch?v=FhpStqbhXwg
11,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 5:  Ethical Decision Making and Dilemmas,"Ethical Principles in Business, Business ethics, business ethics bba, business ethics dwivedi",https://www.youtube.com/watch?v=PB0rkltJx0w
12,Business Administration,Business Ethics (Dwivedi Guidance),,12th,English/Hindi,Module 5:  Ethical Decision Making and Dilemmas,"Ethical Dilemma meaning, Ethical Dilemma in business Ethics, Resolving ethical Dilemma, ethics bba",https://www.youtube.com/watch?v=OQ-vcNZ6wVg
