S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,E-Commerce and M-Commerce Lectures,27hrs 2min,12th,English/Hindi,Module 1: Introduction to E-Commerce,"L1: E-Commerce Introduction, Definition | Process of e-commerce | ECMC Lectures in Hindi",https://www.youtube.com/watch?v=-7PljEN-NIo
2,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 1: Introduction to E-Commerce,L2: Driving forces for E-Commerce | E Commerce and M Commerce(ECMC) Lectures in Hindi,https://www.youtube.com/watch?v=sRHvONf9Rhk
3,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 1: Introduction to E-Commerce,"L3: Components of E-Commerce | Institutions, Process and Networks | E Commerce M Commerce Lectures",https://www.youtube.com/watch?v=9MT5u1n-_TU
4,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 1: Introduction to E-Commerce,"L4: Advantages/Disadvantages of E-Commerce | Categories, Features | E Commerce M Commerce Lectures",https://www.youtube.com/watch?v=6XlH8kPdfI4
5,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 2: Electronic Payment Methods & Security,"L5: Types of E-Commerce | B2C, B2B, C2B, C2C, Peer to Peer with Examples | E Commerce M Commerce",https://www.youtube.com/watch?v=Y70XM9nzHe0
6,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 2: Electronic Payment Methods & Security,L6: Important Questions Answers on E-Commerce | E Commerce M Commerce Lectures Hindi,https://www.youtube.com/watch?v=rfI-kArjoDE
7,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 2: Electronic Payment Methods & Security,L12: Electronic Payment Methods | Conventional Payment Modes Problems | E-Commerce Security Issues,https://www.youtube.com/watch?v=TdepRoO4_O0
8,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 3: Digital Payment Systems,"L13: Secure Payment System | SET, Online Commerce environment, Benefits | E Commerce M Commerce",https://www.youtube.com/watch?v=QtCrftCOrPA
9,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 3: Digital Payment Systems,L19: Firewall | Types of Firewall in E Commerce | E Commerce M Commerce Lectures in Hindi,https://www.youtube.com/watch?v=LLWAlerODSk
10,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 3: Digital Payment Systems,"L20: Digital Payment System | Digital Currencies, Digicash, Cyber Cash, Ecash and Smart Cards | ECMC",https://www.youtube.com/watch?v=lP0dIqaP-yM
11,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 4: Supply Chain Management Introduction,"L21: Electronic Data Interchange(EDI) | Layered Architecture, Applications, EDI Over Internet | ECMC",https://www.youtube.com/watch?v=kkZ6cACqfAo
12,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 4: Supply Chain Management Introduction,L22: Online Shopping and Selling Techniques | Benefits | E Commerce M Commerce Lectures in Hindi,https://www.youtube.com/watch?v=sxiFvNqjLTY
13,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 4: Supply Chain Management Introduction,L23: Supply Chain Management Introduction | Problems Addressed by SCM | SCM Features | ECMC Course,https://www.youtube.com/watch?v=0svNm7Ov57I
14,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 5: E-Procurement: Introduction & Key Concepts,L24: Supply Chain Management Components | Supply Chain Models | E Commerce M Commerce Lectures Hindi,https://www.youtube.com/watch?v=4UoZHVnErRM
15,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 5: E-Procurement: Introduction & Key Concepts,L25: Measuring Supply chain’s performance | Advantages of E-Commerce integrated SCM | ECMC Lectures,https://www.youtube.com/watch?v=zTZaC44a2ig
16,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 5: E-Procurement: Introduction & Key Concepts,"L26: E-Procurement | Key Activities, Types of Procurement | Online Procurement Participants | ECMC",https://www.youtube.com/watch?v=lTpG8skREdM
17,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 5: E-Procurement: Introduction & Key Concepts,"L27: E-Procurement Drivers, Benefits | Barriers to e-procurement |  E Commerce M Commerce Lectures",https://www.youtube.com/watch?v=IK0cUfV_780
18,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 6: Customer Relationship Management (CRM),L28: Estimating E-Procurement Cost | Risk and Impacts of E-Procurement | E Commerce M Commerce,https://www.youtube.com/watch?v=naqVLF3PuZ8
19,Business Administration,E-Commerce and M-Commerce Lectures,,12th,English/Hindi,Module 6: Customer Relationship Management (CRM),L29: Implementing E-Procurement | Future of E-Procurement | E Commerce M Commerce Lectures in Hindi,https://www.youtube.com/watch?v=H8YdeUjYHss
