S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,110hrs 22min,12th,English/Hindi,Module 1: Introduction to Human Resource Management,Human Resource Management | HRM Chapter-1 | BCom/BBA | CWG For Bcom,https://www.youtube.com/watch?v=tCKMsl49EyM
2,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 1: Introduction to Human Resource Management,Human Resource Management | HRM Chapter-1 part-2 | BCom/BBA | CWG For Bcom,https://www.youtube.com/watch?v=1OmJ4vCbPMI
3,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 2: HRM Functions and Processes,HRM Chapter-2 | Human Resource Management | BCom/BBA,https://www.youtube.com/watch?v=xfSxZg8EwFk
4,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 2: HRM Functions and Processes,HRM Chapter-2 | Human Resource Management | BCom/BBA,https://www.youtube.com/watch?v=WwNpgETAs24
5,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 2: HRM Functions and Processes,HRM Chapter-2 | Human Resource Management | BCom/BBA,https://www.youtube.com/watch?v=rWKpiihsHjE
6,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 3: Job Analysis and Design,HRM Chapter-3 | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=K5KLumV0Qrk
7,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 3: Job Analysis and Design,HRM Chapter-3 part-2 | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=VlBoY9_qGHM
8,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 3: Job Analysis and Design,HRM Chapter-3 part-3 | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=ZnWYeZoGNBM
9,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 4: Recruitment & Selection,HRM Chapter-4 | Job Analysis | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=crIaWiy7o6Q
10,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 4: Recruitment & Selection,HRM Chapter-4 Part-2 | Job Analysis | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=9vgmOLBLdsk
11,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,"Module 5: Placement, Induction, and Socialization",HRM Chapter-5 | Recruitment and Selection | BCom/BBA Semster | CWG For Bcom,https://www.youtube.com/watch?v=OvNO1QFP_ao
12,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 6: Training and Development,"HRM Chapter-6 | Placement, Induction and Socialization | BCom/BBA Semster",https://www.youtube.com/watch?v=4Xx51b3jlEI
13,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 6: Training and Development,HRM chapter- 7 | Training and Development | CWG for Bcom,https://www.youtube.com/watch?v=F2d_r52A2ug
14,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 6: Training and Development,HRM chapter- 7 part-2 | Training and Development | CWG for Bcom,https://www.youtube.com/watch?v=fDO8vd5_Lss
15,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 6: Training and Development,HRM chapter- 7 part-3 | Training and Development | CWG for Bcom/BBA,https://www.youtube.com/watch?v=I0TC0ByhkB8
16,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 7: New Concepts in Training,HRM chapter- 8 | New Concept of Training | CWG for Bcom/BBA,https://www.youtube.com/watch?v=6Hcvslte0OQ
17,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 7: New Concepts in Training,HRM chapter- 8 Part-2 | New Concept of Training | CWG for Bcom/BBA,https://www.youtube.com/watch?v=pUV7eu2ibZw
18,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 7: New Concepts in Training,HRM chapter- 8 Part-3 | New Concept of Training | CWG for Bcom/BBA,https://www.youtube.com/watch?v=iXZkrZBXoj0
19,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 8: Performance Appraisal,HRM Chapter-9 | Performance Appraisal | CWG for BCOM,https://www.youtube.com/watch?v=o249ekR9wrM
20,Business Administration,Human Resource Management (HRM) Playlist | Bcom/BBA,,12th,English/Hindi,Module 8: Performance Appraisal,HRM Chapter-9 part-2 | Performance Appraisal | CWG for BCOM,https://www.youtube.com/watch?v=V_UzKkHdsbw
