S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,IIBF-Risk Management,41hrs 6min,12th,English/Hindi,Module 1: Risk Management Fundamentals,Module B - Risk Management - Topic 8 Part 1,https://www.youtube.com/watch?v=9OFycvmYN_I
2,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 1: Risk Management Fundamentals,Module B - Risk Management - Topic 8 Part 2,https://www.youtube.com/watch?v=PgXpWxSKmvY
3,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 1: Risk Management Fundamentals,Module B - Risk Management - Topic 8 Part 3,https://www.youtube.com/watch?v=wiU26tpVJ-o
4,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 1: Risk Management Fundamentals,Module B - Risk Management - Topic 9 Part 1,https://www.youtube.com/watch?v=e97dRkE9hW8
5,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 2: Risk Identification and Assessment,Module B - Risk Management - Topic 9 Part 2,https://www.youtube.com/watch?v=qKW7vvK0AwI
6,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 2: Risk Identification and Assessment,Module B - Risk Management - Topic 10 Part 1,https://www.youtube.com/watch?v=btDU2XL4BVY
7,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 2: Risk Identification and Assessment,Module B - Risk Management - Topic 10 Part 2,https://www.youtube.com/watch?v=49ypfRHFgck
8,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 3: Risk Treatment and Control,Module B - Risk Management - Topic 10 Part 3,https://www.youtube.com/watch?v=qc6z6SnE224
9,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 3: Risk Treatment and Control,Module B - Risk Management - Topic 11 Part 1,https://www.youtube.com/watch?v=CFVnLsEugRs
10,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 3: Risk Treatment and Control,Module B - Risk Management - Topic 11 Part 2,https://www.youtube.com/watch?v=oN9tvIbd354
11,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 4: Risk Monitoring and Reporting,Module B - Risk Management - Topic 11 Part 3,https://www.youtube.com/watch?v=Qh6Zzx3cTLg
12,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 4: Risk Monitoring and Reporting,Module B - Risk Management - Topic 12 Part 1,https://www.youtube.com/watch?v=7ngYsqt-vRU
13,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 5:  Operational Risk Management,Module B - Risk Management - Topic 12 Part 2,https://www.youtube.com/watch?v=37LqEqMnwak
14,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 5:  Operational Risk Management,Module B - Risk Management - Topic 13 Part 1,https://www.youtube.com/watch?v=2EgaJP0i5EI
15,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 5:  Operational Risk Management,Module B - Risk Management - Topic 13 Part 2,https://www.youtube.com/watch?v=KgtgxOhKA_8
16,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 6: Credit Risk Management,Module B - Risk Management - Topic 13 Part 3,https://www.youtube.com/watch?v=Px0CmzlpzUM
17,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 6: Credit Risk Management,Chapter 17 - Risk & Fraud Management,https://www.youtube.com/watch?v=RduF9DsX9G4
18,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 6: Credit Risk Management,BFM - Module B - Unit 10 - Risk Regulations in Banking Industry - Basel III (Part I),https://www.youtube.com/watch?v=cDytzfQ0RIc
19,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 7: Market Risk Management,BFM - Module B - Unit 10 - Risk Regulations in Banking Industry - Basel III (Part II),https://www.youtube.com/watch?v=Q3n1CFn6KjU
20,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 7: Market Risk Management,BFM - Module B  - Unit 10 - Risk Regulations in Banking Industry - Basel III (Part III),https://www.youtube.com/watch?v=99RxFPPRfVk
21,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 8: Liquidity Risk Management,BFM - Module B - Unit 14 - Liquidity Risk Management - Part I,https://www.youtube.com/watch?v=Fi4mM93zoXE
22,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 8: Liquidity Risk Management,BFM - Module B - Unit 14 - Liquidity Risk Management - Part II,https://www.youtube.com/watch?v=ehsEEoVwwNg
23,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 9: Basel Regulations,ABM - Module D - Unit 32 - Risk Management and Credit Rating (Part I),https://www.youtube.com/watch?v=cvgyVa7WUGM
24,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 9: Basel Regulations,ABM - Module D - Unit 32 - Risk Management and Credit Rating (Part II),https://www.youtube.com/watch?v=vgCQRPXX1cE
25,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 10: Risk Management and Credit Rating,Chapter 17 - Risk & Fraud Management,https://www.youtube.com/watch?v=XzhMhLJOnW4
26,Business Administration,IIBF-Risk Management,,12th,English/Hindi,Module 10: Risk Management and Credit Rating,Risk Management (CAIIB Oriented),https://www.youtube.com/watch?v=3f6e2olQC0M
