S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,7hrs 20min,12th,English/Hindi,Module 1: Introduction to Innovation and Entrepreneurship,"innovation meaning, innovation and entrepreneurship, innovation meaning in hindi, entrepreneur",https://www.youtube.com/watch?v=kkvO2Ad5jPg
2,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Innovation and Entrepreneurship,"Difference between innovation and creativity, Innovation and entrepreneurship, aktu mba notes",https://www.youtube.com/watch?v=ntVpWK7iyIo
3,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Innovation and Entrepreneurship,"Innovation Types, types of innovation, innovation and entrepreneurship, radical, disruptive, mba bba",https://www.youtube.com/watch?v=mvpSjDXSwHc
4,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 1: Introduction to Innovation and Entrepreneurship,"Business Model Innovation, business model innovation example, Innovation and Entrepreneurship, mba",https://www.youtube.com/watch?v=rcGcpd03Bjk
5,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 2: Understanding Innovation,"Service Innovation, Meaning, examples, service innovation types, innovation and entrepreneurship",https://www.youtube.com/watch?v=y9H6fA807gs
6,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 2: Understanding Innovation,"Design led Innovation, Design-led innovation examples, innovation and entrepreneurship, aktu mba",https://www.youtube.com/watch?v=WNp5KXTY0tE
7,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 2: Understanding Innovation,"Co Creation and Open Innovation, Cocreation, Open Innovation, Innovation and Entrepreneurship",https://www.youtube.com/watch?v=7dy9dgejsMA
8,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Models of Innovation,"sources of Innovation, Drucker 7 sources of innovation, innovation and entrepreneurship, dwivedi",https://www.youtube.com/watch?v=DczOOt8SWBA
9,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Models of Innovation,"Creative Destruction in innovation, Meaning, Example, Innovation and Entrepreneurship, guidance",https://www.youtube.com/watch?v=mqMKIZfQNO4
10,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Models of Innovation,"entrepreneur, entrepreneurship, function, characteristics, barrier, innovation and entrepreneurship",https://www.youtube.com/watch?v=_C2LlvX9s5w
11,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 3: Types and Models of Innovation,Functions of an Entrepreneur | Entrepreneurship Development | Innovation and Entrepreneurship,https://www.youtube.com/watch?v=Rr8oRuZI79I
12,Business Administration,Innovation and Entrepreneurship - Dwivedi Guidance,,12th,English/Hindi,Module 4: Business Model Innovation and Service Innovation,"Type of Entrepreneur, Entrepreneurship Development, Innovation and entrepreneurship, entrepreneurs",https://www.youtube.com/watch?v=tkGadEmSKZc
