S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),48hrs 3min,12th,English/Hindi,Module 1: Introduction to Entrepreneurship,"Entrepreneurship : Concept and Objective, Entrepreneur, Introduction to entrepreneurship bcom, bba",https://www.youtube.com/watch?v=rA4uKIy5gO0
2,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship,"Type of Entrepreneurs, Entrepreneurship Development, Introduction to entrepreneurship, entrepreneur",https://www.youtube.com/watch?v=cNUiBt5_ZaM
3,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship,"Entrepreneurial Traits and Mindset, Introduction to Entrepreneurship, B.Com, BBA, MBA, BCA, Dwivedi",https://www.youtube.com/watch?v=l0KNDM0p-YQ
4,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 1: Introduction to Entrepreneurship,"Misconceptions and Myths about Entrepreneurship, Introduction to entrepreneurship bcom, bba, mba",https://www.youtube.com/watch?v=cq0NdPm3MPE
5,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 2: Types of Entrepreneurs and Entrepreneurial Development,"Motivation for becoming an Entrepreneur, Introduction to Entrepreneurship bcom, Entrepreneurship",https://www.youtube.com/watch?v=XSNXtAGLA5k
6,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 2: Types of Entrepreneurs and Entrepreneurial Development,"Creativity, bottlenecks to creativity, creativity and entrepreneurship, Entrepreneurship development",https://www.youtube.com/watch?v=mCcm9pRXW9M
7,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 2: Types of Entrepreneurs and Entrepreneurial Development,"Process of Creativity, Creative Process, Introduction to entrepreneurship bcom, creativity process",https://www.youtube.com/watch?v=K2BKzgkeHC4
8,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 3: Entrepreneurial Traits and Misconceptions,"Innovation and Entrepreneurship, Sources of Innovation, Introduction to entrepreneurship bcom",https://www.youtube.com/watch?v=oYkhxgoWQxc
9,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 3: Entrepreneurial Traits and Misconceptions,"Sources of New Ideas, Techniques for Generating Ideas, Introduction to Entrepreneurship in hindi",https://www.youtube.com/watch?v=gObnd3rI5sY
10,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 3: Entrepreneurial Traits and Misconceptions,"Business Opportunity, Opportunity Recognition, Exploring opportunities in the environment, bcom, bba",https://www.youtube.com/watch?v=_g8ERrXa2Do
11,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 4: Motivation and Creativity in Entrepreneurship,"Type of New Ventures, Introduction to Entrepreneurship, type of new ventures in entrepreneurship",https://www.youtube.com/watch?v=mGCCaIfG9us
12,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 4: Motivation and Creativity in Entrepreneurship,"Intellectual Property Rights (IPR), Patents, Trademarks, Copyrights, Introduction Entrepreneurship",https://www.youtube.com/watch?v=rn_4PZRV85Q
13,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 4: Motivation and Creativity in Entrepreneurship,"Business Plan, Purpose and Contents of a business plan, Introduction to Entrepreneurship in hindi",https://www.youtube.com/watch?v=RKhcqYh4T0c
14,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 5: Innovation and Idea Generation,Sources of Finance | Financing the New Venture | Innovation and Entrepreneurship | Entrepreneurship,https://www.youtube.com/watch?v=58nG5-X_lJI
15,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 5: Innovation and Idea Generation,"Stages of Financing, Stages of business development funding, financing of new ventures, entrepreneur",https://www.youtube.com/watch?v=8FPBDj8YtO4
16,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 5: Innovation and Idea Generation,"Source of Capital, Long term Financing, Short term financing, Financial Management source of finance",https://www.youtube.com/watch?v=klvm9Ey4eRE
17,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 6: Business Opportunities and New Ventures,"Seed Funding, Seed funding for startups in India, source of Finance, Incubators, Accelerators, bcom",https://www.youtube.com/watch?v=0qSSl3vZjCM
18,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 6: Business Opportunities and New Ventures,"Venture Capital, Angel Investing, Crowdfunding, Angel Investor, Innovation and Entrepreneurship",https://www.youtube.com/watch?v=CMyqgbJwR4I
19,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 6: Business Opportunities and New Ventures,"Leasing, Lease Financing, Meaning, Types, Features, Parties, leasing in financial services, bba",https://www.youtube.com/watch?v=LoRIqy-nABo
20,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 7: Intellectual Property and Business Planning,"Break Even Analysis, Break Even Point, Margin Safety, BEP, break-even analysis, bcom, bba, mba, mcom",https://www.youtube.com/watch?v=swRHc2JqaVE
21,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 7: Intellectual Property and Business Planning,"Financial and Management Accounting - II | Lucknow University BBA | Ratio Analysis, Profitability",https://www.youtube.com/watch?v=ZNd1jfa7Zco
22,Business Administration,Introduction to Entrepreneurship (Dwivedi Guidance),,12th,English/Hindi,Module 7: Intellectual Property and Business Planning,"Role of agencies assisting entrepreneurship,DICs, SSIs, NSICs, EDII, NIESBUD, NEDB, Entrepreneurship",https://www.youtube.com/watch?v=9jgG87O6vq0
