S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Leadership and Team Effectiveness,7hrs 2min,12th,English/Hindi,Module 1: Introduction to Leadership and Team Management,Leadership and Team Effectiveness,https://www.youtube.com/watch?v=rnqq_14DF0I
2,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 1: Introduction to Leadership and Team Management,Lecture 01: Introduction to Leadership & Team Management,https://www.youtube.com/watch?v=Ihv0KFFSdCE
3,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 1: Introduction to Leadership and Team Management,Lecture 02: Leadership Myths & Facts-I,https://www.youtube.com/watch?v=wfjbhtYJgMs
4,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 1: Introduction to Leadership and Team Management,Lecture 03: Leadership Myths & Facts-II,https://www.youtube.com/watch?v=Qp3Vx-AmVTk
5,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 2: Frameworks for Analyzing Leadership,Lecture 04: Interactional Framework for Analyzing Leadership,https://www.youtube.com/watch?v=33P93jJuw0w
6,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 2: Frameworks for Analyzing Leadership,Lecture 05: Leadership Development: The First 90 Days as a Leader,https://www.youtube.com/watch?v=CfsF3GlqzCg
7,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 2: Frameworks for Analyzing Leadership,Lecture 06: Leader Development: The Action-Observation-Reflection Model,https://www.youtube.com/watch?v=V9bsP1e4VD0
8,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 2: Frameworks for Analyzing Leadership,Lecture 07: Leader–Member Exchange (LMX) Theory,https://www.youtube.com/watch?v=2qFNXgtpnkU
9,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 3: Leadership Theories,Lecture 08: Normative Decision Model,https://www.youtube.com/watch?v=jRtw8sOWCbM
10,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 3: Leadership Theories,Lecture 09: Situational Leadership Model,https://www.youtube.com/watch?v=5yM2_jcSavs
11,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 3: Leadership Theories,Lecture 10: Contingency Model and Path-Goal Theory,https://www.youtube.com/watch?v=s127kK5_rjM
12,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 3: Leadership Theories,Lecture 11: Charismatic and Transformational Leadership,https://www.youtube.com/watch?v=dBo0WcxaYbM
13,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 4: Leadership Theories and Attributes,Lecture 12: Leadership for Tomorrow,https://www.youtube.com/watch?v=3Q-wYYq14gw
14,Business Administration,Leadership and Team Effectiveness,,12th,English/Hindi,Module 4: Leadership Theories and Attributes,Lecture 13: Leadership Attributes,https://www.youtube.com/watch?v=Elp2ZPTPjEc
