S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,477hrs 18min,12th,English/Hindi,Module 1: Introduction to Marketing,Fundamentals of Marketing Full Course | Marketing Basics for Beginners | Umar Tazkeer,https://www.youtube.com/watch?v=qwnw1qfPU4Y
2,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 1: Introduction to Marketing,What is Marketing?  | Understanding Marketing Concepts | Marketing Fundamentals | #1,https://www.youtube.com/watch?v=vlRm8tqAYCs
3,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 1: Introduction to Marketing,What are 4' Ps of Marketing | 4 Ps of Marketing Concept | Marketing Fundamentals | #2,https://www.youtube.com/watch?v=BXQaKugfw0g
4,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 1: Introduction to Marketing,7 Ps of Marketing Explained | Marketing Mix Concept | Marketing Fundamentals | #3,https://www.youtube.com/watch?v=frHe0ntAqf4
5,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 2: Marketing Mix and Pricing,What is SWOT Analysis? | How to Perform SWOT  Analysis? | Marketing Fundaments | #4,https://www.youtube.com/watch?v=gg00x3tV92A
6,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 2: Marketing Mix and Pricing,What is price Elasticity | Pricing Strategy/Models in Marketing | Marketing Fundamentals | #5,https://www.youtube.com/watch?v=cIFJEorp7rc
7,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 2: Marketing Mix and Pricing,Different Pricing Models in Marketing | Pricing Models and Strategies | Marketing Fundamentals | #6,https://www.youtube.com/watch?v=xKcWUkGbrkc
8,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 3: Sales and Product Life Cycle,Different Types of Pricing Strategies According to Business Types | Marketing Fundamentals | #7,https://www.youtube.com/watch?v=8pJBzh0tmMA
9,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 3: Sales and Product Life Cycle,Difference between Sales and Marketing | Sales vs Marketing in Hindi | Marketing Fundamentals | #8,https://www.youtube.com/watch?v=voloYU8kaBI
10,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 4: Marketing Analysis and Lead Scoring,What is Product Life Cycle | Stages of Product Life Cycle in Marketing | Marketing Fundamentals | #9,https://www.youtube.com/watch?v=Yc5h8PA7WiI
11,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 4: Marketing Analysis and Lead Scoring,5Cs of Marketing | Marketing Analysis | Marketing Fundamentals| #10,https://www.youtube.com/watch?v=HjW6qtzH46I
12,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,"Module 5: Segmentation, Targeting, and Positioning",What is Lead Score | Lead Scoring Model Explained | Marketing Fundamentals |#11,https://www.youtube.com/watch?v=iaxbjJ4VQ4A
13,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,"Module 5: Segmentation, Targeting, and Positioning",STP Framework in Marketing | Segmentation Targeting and Positioning |  Marketing Fundamentals | #12,https://www.youtube.com/watch?v=EaMc55oeIwc
14,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 6: Consumer Adoption and Product Market Expansion,What is Consumer Adoption Process | Consumer Adoption | Marketing Fundamentals | #13,https://www.youtube.com/watch?v=SjLdOymp6Dw
15,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 6: Consumer Adoption and Product Market Expansion,What is Ansoff Matrix | Product Market Expansion Grid | Marketing Fundamentals | #14,https://www.youtube.com/watch?v=9b-9M8KOakU
16,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 7: BCG Matrix and Service Marketing,BCG Metrix Explained | BCG Metrix in Hindi | Marketing Fundamentals Course | #15,https://www.youtube.com/watch?v=GsZBmSEfMfk
17,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 7: BCG Matrix and Service Marketing,Service Triangle in Service Marketing | Service Triangle in Hindi | Marketing Fundamentals | #16,https://www.youtube.com/watch?v=IC_A5CIir_k
18,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 8: Ambush Marketing and Agile Marketing,Ambush Marketing Explained | Ambush Marketing in Hindi | Marketing Fundamentals | #17,https://www.youtube.com/watch?v=Hz1JfMi1IE4
19,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 8: Ambush Marketing and Agile Marketing,Agile Marketing | Agile Marketing Methodology to Grow Business| Marketing Fundamentals |  #18,https://www.youtube.com/watch?v=dQOjqK4DwDk
20,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 9: Porter's Strategies and Marketing vs. Advertising,5 A's of Marketing in Hindi | 5 A’s Marketing | Marketing Fundamentals | #19,https://www.youtube.com/watch?v=nMzpoZSF7WE
21,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 9: Porter's Strategies and Marketing vs. Advertising,Porter's Generic Strategies | Porter's Model of Marketing | Marketing Fundamentals |#20,https://www.youtube.com/watch?v=-KEDFG5k8SE
22,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 10: Guerrilla Marketing and Moment Marketing,Difference Between Marketing and Advertising| Marketing vs Advertising | Marketing Fundamentals |#21,https://www.youtube.com/watch?v=moseqXZkrXE
23,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 10: Guerrilla Marketing and Moment Marketing,Guerrilla Marketing | Guerrilla Marketing in Hindi with Example | Marketing Fundamentals | #22,https://www.youtube.com/watch?v=h5G6cV4JP04
24,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 10: Guerrilla Marketing and Moment Marketing,What is Moment Marketing | Moment Marketing  in Hindi with Examples | Marketing Fundamentals | #23,https://www.youtube.com/watch?v=it7gyX-oEHA
25,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,12th,English/Hindi,Module 10: Guerrilla Marketing and Moment Marketing,Surrogate Advertising Kaise hoti hai? | Surrogate Advertising  | Marketing Fundamentals | #24,https://www.youtube.com/watch?v=yWNAvHnMlUA
