S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Marketing Management,65hrs 0min,12th,English/Hindi,Module 1: Introduction to Marketing Management,Marketing Management Course | Complete Revision | Unit 1 | Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=IvD2lWlr5cQ
2,Business Administration,Marketing Management,,12th,English/Hindi,Module 1: Introduction to Marketing Management,Marketing Management Course | Complete Revision | Unit 2 (Part 1)| Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=RM4pHbnbyU8
3,Business Administration,Marketing Management,,12th,English/Hindi,Module 1: Introduction to Marketing Management,Marketing Management Course | Complete Revision | Unit 2 (Part 2)| Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=tzVhmqjB468
4,Business Administration,Marketing Management,,12th,English/Hindi,Module 1: Introduction to Marketing Management,Marketing Management Course | Complete Revision | Unit 3 | Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=HU1Ny0HxIoQ
5,Business Administration,Marketing Management,,12th,English/Hindi,Module 2: Marketing Environment and Consumer Behavior,Important questions of marketing management | Marketing Management | Exam MBA | BBA | Dr. Anand Vyas,https://www.youtube.com/watch?v=R4I4AnXwmlo
6,Business Administration,Marketing Management,,12th,English/Hindi,Module 2: Marketing Environment and Consumer Behavior,Marketing Management Course | Complete Revision | Unit 4 (Part 1) | Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=YFqAd-bgwNk
7,Business Administration,Marketing Management,,12th,English/Hindi,Module 2: Marketing Environment and Consumer Behavior,Marketing Management Course | Complete Revision | Unit 4 (Part 2) | Dr. Anand Vyas | MBA | AKTU,https://www.youtube.com/watch?v=wA6fZhzoayY
8,Business Administration,Marketing Management,,12th,English/Hindi,Module 3: Product and Pricing Strategies,Marketing Management Course | Complete Revision | Unit 5 | How to Solve Case Study | MBA | AKTU,https://www.youtube.com/watch?v=secoxHzRxRs
9,Business Administration,Marketing Management,,12th,English/Hindi,Module 3: Product and Pricing Strategies,Important questions Marketing Management | अंतिम प्रहार 🔥1/12🔥| MBA,https://www.youtube.com/watch?v=6dwJLPvoygI
10,Business Administration,Marketing Management,,12th,English/Hindi,Module 3: Product and Pricing Strategies,Important questions Marketing Management | अंतिम प्रहार 🔥3/12🔥| MBA,https://www.youtube.com/watch?v=C8Mkkic-eTU
11,Business Administration,Marketing Management,,12th,English/Hindi,Module 4: Distribution and Promotion Strategies,Important questions Marketing Management | अंतिम प्रहार 🔥4/12🔥| MBA,https://www.youtube.com/watch?v=I6FMznX0tow
12,Business Administration,Marketing Management,,12th,English/Hindi,Module 4: Distribution and Promotion Strategies,Important questions Marketing Management | अंतिम प्रहार 🔥5/12🔥| MBA,https://www.youtube.com/watch?v=W0mI3_LIoEc
13,Business Administration,Marketing Management,,12th,English/Hindi,Module 4: Distribution and Promotion Strategies,Important questions Marketing Management | अंतिम प्रहार 🔥6/12🔥| MBA,https://www.youtube.com/watch?v=Vl9N3KxsWWk
14,Business Administration,Marketing Management,,12th,English/Hindi,Module 5: Marketing Planning and Control,Important questions Marketing Management | अंतिम प्रहार 🔥7/12🔥| MBA,https://www.youtube.com/watch?v=l4Tmq7dRV4o
15,Business Administration,Marketing Management,,12th,English/Hindi,Module 5: Marketing Planning and Control,Important questions Marketing Management | अंतिम प्रहार 🔥8/12🔥| MBA,https://www.youtube.com/watch?v=ka67TZOOJqc
16,Business Administration,Marketing Management,,12th,English/Hindi,Module 5: Marketing Planning and Control,Important questions Marketing Management | अंतिम प्रहार 🔥9/12🔥| MBA,https://www.youtube.com/watch?v=5uGm7ST5gAc
17,Business Administration,Marketing Management,,12th,English/Hindi,Module 6: Important Questions Revision - Part 1,Important questions Marketing Management | अंतिम प्रहार 🔥10/12🔥| MBA,https://www.youtube.com/watch?v=1wBBQ9rRY4U
18,Business Administration,Marketing Management,,12th,English/Hindi,Module 6: Important Questions Revision - Part 1,Important questions Marketing Management | अंतिम प्रहार 🔥11/12🔥| MBA,https://www.youtube.com/watch?v=0d_8muMl3t8
