S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Operations Management,80hrs 19min,12th,English/Hindi,Module 1: Introduction to Operations Management,Lecture 01 Operations Management: Basics,https://www.youtube.com/watch?v=_VJkKZFuRvE
2,Business Administration,Operations Management,,12th,English/Hindi,Module 1: Introduction to Operations Management,Lecture 02 Operations Management: Objectives,https://www.youtube.com/watch?v=6fssYwsXVfI
3,Business Administration,Operations Management,,12th,English/Hindi,Module 1: Introduction to Operations Management,Lecture 03 Operations Management: Functions and Scope,https://www.youtube.com/watch?v=EmGz8POpzN8
4,Business Administration,Operations Management,,12th,English/Hindi,Module 1: Introduction to Operations Management,Lecture 04 Types of Production Systems,https://www.youtube.com/watch?v=BoUDrZPrt8c
5,Business Administration,Operations Management,,12th,English/Hindi,Module 2: Product Design & Development,Lecture 05 Operations Strategy,https://www.youtube.com/watch?v=VozCAXEAdoo
6,Business Administration,Operations Management,,12th,English/Hindi,Module 2: Product Design & Development,Lecture 06 Product Life-Cycle,https://www.youtube.com/watch?v=m-OMvTWf9mE
7,Business Administration,Operations Management,,12th,English/Hindi,Module 2: Product Design & Development,Lecture 07 Value Engineering Concepts,https://www.youtube.com/watch?v=mJoaZ4GewyI
8,Business Administration,Operations Management,,12th,English/Hindi,Module 2: Product Design & Development,Lecture 08 Design for X (DFX),https://www.youtube.com/watch?v=k0X3ybfqPbQ
9,Business Administration,Operations Management,,12th,English/Hindi,Module 3: Forecasting,Lecture 09 Ergonomics in Product Design,https://www.youtube.com/watch?v=vSwH8-MFkKc
10,Business Administration,Operations Management,,12th,English/Hindi,Module 3: Forecasting,"Lecture 10 Rapid Prototyping: Concept, Advantages",https://www.youtube.com/watch?v=6XSsf47CuYs
11,Business Administration,Operations Management,,12th,English/Hindi,Module 3: Forecasting,lecture 11 Sales Forecasting,https://www.youtube.com/watch?v=bH94eTQLs5g
12,Business Administration,Operations Management,,12th,English/Hindi,Module 3: Forecasting,Lecture 12 Forecasting System,https://www.youtube.com/watch?v=30Z7f7dpGYU
13,Business Administration,Operations Management,,12th,English/Hindi,Module 4: Facility Location & Planning,Lecture 13 Qualitative Methods of Forecasting,https://www.youtube.com/watch?v=7Hphv79OZJY
14,Business Administration,Operations Management,,12th,English/Hindi,Module 4: Facility Location & Planning,Lecture 14 Quantitative Methods-I,https://www.youtube.com/watch?v=wKXJ5Cj5QT4
15,Business Administration,Operations Management,,12th,English/Hindi,Module 4: Facility Location & Planning,Lecture 15 Quantitative Methods-II,https://www.youtube.com/watch?v=LU-5iDyyqVI
16,Business Administration,Operations Management,,12th,English/Hindi,Module 4: Facility Location & Planning,Lecture 16 Facility Planning,https://www.youtube.com/watch?v=pcpp2rmAMx8
17,Business Administration,Operations Management,,12th,English/Hindi,Module 5: Production Planning & Control,Lecture 17 Factors Affecting Plant Location,https://www.youtube.com/watch?v=MMVKVPrdIy0
18,Business Administration,Operations Management,,12th,English/Hindi,Module 5: Production Planning & Control,Lecture 18 Plant Location: Case Study on Uttarakhand,https://www.youtube.com/watch?v=p7uX4waxxcw
19,Business Administration,Operations Management,,12th,English/Hindi,Module 5: Production Planning & Control,Lecture 19 Location Evaluation Methods-I,https://www.youtube.com/watch?v=bLBrBLnl7xk
20,Business Administration,Operations Management,,12th,English/Hindi,Module 5: Production Planning & Control,Lecture 20 Location Evaluation Methods-II,https://www.youtube.com/watch?v=MLWCyNBUFgQ
21,Business Administration,Operations Management,,12th,English/Hindi,Module 6: Capacity Planning,Lecture 21 Facility Layout and Planning-I,https://www.youtube.com/watch?v=-aGk5-yx340
22,Business Administration,Operations Management,,12th,English/Hindi,Module 6: Capacity Planning,Lecture 22 Facility Layout and Planning-II,https://www.youtube.com/watch?v=swk6Fo-BoSA
23,Business Administration,Operations Management,,12th,English/Hindi,Module 6: Capacity Planning,Lecture 23 Factors Influencing Plant Layout,https://www.youtube.com/watch?v=RTUkczG1Rcg
24,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 24 Material Flow Patterns,https://www.youtube.com/watch?v=KT1x9lH4gA0
25,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 25 Tools and Techniques used For Plant Layout Planning,https://www.youtube.com/watch?v=N0U9PnzHmdo
26,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 26 Production Planning and Control,https://www.youtube.com/watch?v=9qBZyzjoqAo
27,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 27 Process Planning,https://www.youtube.com/watch?v=y24meNZbUoU
28,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 28 Aggregate Production Planning,https://www.youtube.com/watch?v=Ic_El2DkpjA
29,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 29 Capacity Planning: Introduction,https://www.youtube.com/watch?v=m0eSxQfJ360
30,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 30 Capacity Planning: Examples,https://www.youtube.com/watch?v=z1RRrUNKOlg
31,Business Administration,Operations Management,,12th,English/Hindi,Module 7: Project Scheduling & Management,Lecture 31 Project Scheduling,https://www.youtube.com/watch?v=6s82PFphIB4
32,Business Administration,Operations Management,,12th,English/Hindi,Module 8: Production Control & Sequencing,Lecture 32 Network Diagrams,https://www.youtube.com/watch?v=2GgML93ww2E
33,Business Administration,Operations Management,,12th,English/Hindi,Module 8: Production Control & Sequencing,Lecture 33 Critical Path Method,https://www.youtube.com/watch?v=oD-DPF2jw4A
34,Business Administration,Operations Management,,12th,English/Hindi,Module 8: Production Control & Sequencing,Lecture 34 Critical Path Method: Problems-I,https://www.youtube.com/watch?v=Op3TAx8QP-E
35,Business Administration,Operations Management,,12th,English/Hindi,Module 8: Production Control & Sequencing,Lecture 35 Critical Path Method: Problems-II,https://www.youtube.com/watch?v=epE6B_18g-o
36,Business Administration,Operations Management,,12th,English/Hindi,Module 8: Production Control & Sequencing,Lecture 36 Program Evaluation and Review Technique (PERT),https://www.youtube.com/watch?v=-LcDKG2dWew
37,Business Administration,Operations Management,,12th,English/Hindi,Module 9: Quality Management,Lecture 37 PERT Problems-I,https://www.youtube.com/watch?v=lATiZLMjZ48
38,Business Administration,Operations Management,,12th,English/Hindi,Module 9: Quality Management,Lecture 38 PERT Problems-II,https://www.youtube.com/watch?v=mRyYWOTJsBQ
39,Business Administration,Operations Management,,12th,English/Hindi,Module 9: Quality Management,Lecture 39 Time Cost Trade Off (Crashing),https://www.youtube.com/watch?v=f8HcfV9NFsQ
40,Business Administration,Operations Management,,12th,English/Hindi,Module 9: Quality Management,Lecture 40 Project Network: Crashing Problems,https://www.youtube.com/watch?v=ea6FN9clF_c
41,Business Administration,Operations Management,,12th,English/Hindi,Module 9: Quality Management,Lecture 41 Production Control,https://www.youtube.com/watch?v=6Zr6ootJrhI
42,Business Administration,Operations Management,,12th,English/Hindi,Module 10: Materials Management,Lecture 42 Sequencing,https://www.youtube.com/watch?v=JlqgfQTPMq4
43,Business Administration,Operations Management,,12th,English/Hindi,Module 10: Materials Management,Lecture 43 Sequencing Problems-I,https://www.youtube.com/watch?v=si-AnmVnH7Q
44,Business Administration,Operations Management,,12th,English/Hindi,Module 10: Materials Management,Lecture 44 Sequencing Problems-II,https://www.youtube.com/watch?v=bzQRQPoJZrA
45,Business Administration,Operations Management,,12th,English/Hindi,Module 10: Materials Management,Lecture 45 Master Production Scheduling (MPS),https://www.youtube.com/watch?v=VjSgga4E6VY
46,Business Administration,Operations Management,,12th,English/Hindi,Module 10: Materials Management,Lecture 46 Concept of Quality,https://www.youtube.com/watch?v=QifqIoUNTJM
47,Business Administration,Operations Management,,12th,English/Hindi,Module 11: Inventory Control,Lecture 47 Total Quality Management (TQM),https://www.youtube.com/watch?v=yWlAOFs04go
48,Business Administration,Operations Management,,12th,English/Hindi,Module 11: Inventory Control,Lecture 48 Total Productive Maintenance,https://www.youtube.com/watch?v=UOuTBCrW2kY
49,Business Administration,Operations Management,,12th,English/Hindi,Module 11: Inventory Control,Lecture 49 Statistical Quality Control (SQC),https://www.youtube.com/watch?v=qb3mvJ1gb9g
50,Business Administration,Operations Management,,12th,English/Hindi,Module 11: Inventory Control,Lecture 50 Six Sigma,https://www.youtube.com/watch?v=2ePeXePNLrs
51,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 51 Materials Management,https://www.youtube.com/watch?v=XP_zi6GbU_Q
52,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 52 Inventory Control,https://www.youtube.com/watch?v=ZpUD9kkPTiI
53,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 53 Economic Order Quantity (EOQ) Models,https://www.youtube.com/watch?v=fFR1nYhF_iw
54,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 54 Economic Order Quantity (EOQ): Problems,https://www.youtube.com/watch?v=8iAwz25wCkQ
55,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 55 Production Quantity Model,https://www.youtube.com/watch?v=QRVB0a7F0JY
56,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 56 Just In time (JIT),https://www.youtube.com/watch?v=HkdoR-NNEoI
57,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 57 Kanban System,https://www.youtube.com/watch?v=xmpekzAF5iU
58,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 58 Materials Requirement Planning (MRP)-I,https://www.youtube.com/watch?v=1kU8HG5Y9Kc
59,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 59 Materials Requirement Planning (MRP)-II,https://www.youtube.com/watch?v=6RFiU8j_PIA
60,Business Administration,Operations Management,,12th,English/Hindi,"Module 12: JIT, MRP & ERP",Lecture 60 Enterprise Resource Planning (ERP),https://www.youtube.com/watch?v=NzyhYxUCjlg
