S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,113hrs 6min,12th,English/Hindi,Module 1: Introduction to Principles of Management,Principles Of Management | Business Studies | Introduction | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=kTWyt6KC9Jw
2,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 1: Introduction to Principles of Management,Principles Of Management | Business Studies | Introduction | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=Ouzc4v-f3fE
3,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 1: Introduction to Principles of Management,Principles Of Management | Business Studies | Introduction | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=tFc-4G7Hi-I
4,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 2: Coordination and Principles of Management,Coordination | Principles Of Management | Business Studies | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=Br7uASMA5GM
5,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 2: Coordination and Principles of Management,Principles Of Management | Business Studies | Introduction | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=UP2Ns3dJ0Ds
6,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 3: Introduction to Principles of Management,Principles Of Management | Business Studies | Introduction | BBA | B.com | MBA | BCA | Class 12 |,https://www.youtube.com/watch?v=DBZEa3FgNNc
7,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 3: Introduction to Principles of Management,Fayol's Principles Of Management | Fayol's 14 Principles | BBA | B.Com | MBA | Class 12 | M.Com,https://www.youtube.com/watch?v=C2QY8MB-3WQ
8,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 4: Fayol's Principles of Management,Fayol's Principles Of Management | Fayol's 14 Principles | BBA \ B.Com | MBA | Class 12 | M.Com,https://www.youtube.com/watch?v=mTQ-B6warjM
9,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 4: Fayol's Principles of Management,Taylor's Scientific  Management Theory | Scientific Principles | Principles Of Management,https://www.youtube.com/watch?v=d8r8RRCeVDk
10,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 5: Taylor's Scientific Management,Taylor's Scientific Management Theory |Technique Of Scientific Management |Principles Of Management,https://www.youtube.com/watch?v=ERXpzA3ekKY
11,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 5: Taylor's Scientific Management,Planning | Principles Of Management | Business Studies  | BBA | B.Com | MBA | Class 12,https://www.youtube.com/watch?v=r-TS9hXRF7s
12,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 6: Planning in Management,Planning | Principles Of Management | Business Studies  | BBA | B.Com | Planning Process | MBA |,https://www.youtube.com/watch?v=sliGMhLvln4
13,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 6: Planning in Management,Planning | Principles Of Management | Business Studies  | Plan | Types Of Plan | Planning Process,https://www.youtube.com/watch?v=nwy8BJkbR6o
14,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 6: Planning in Management,Planning | Principles Of Management | Business Studies  | BBA | B.Com | Types Of Plan | MBA |,https://www.youtube.com/watch?v=6bv7iDRogWQ
15,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 6: Planning in Management,Organising | Principles Of Management | Business Studies | Importance & Process | BBA | MBA|Class 12,https://www.youtube.com/watch?v=JEsQCqEVQmY
16,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 7: Organizing in Management,Organising | Principles Of Management | Business Studies | Organisation Structure | BBA | MBA |B.com,https://www.youtube.com/watch?v=QwSR9GRYEsc
17,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 7: Organizing in Management,Organising | Principles Of Management | Business Studies | Organisation Structure |,https://www.youtube.com/watch?v=wjEcc31wSHE
18,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 7: Organizing in Management,Organising | Principles Of Management | Business Studies |  | Formal & Informal Organisation,https://www.youtube.com/watch?v=RK3c-HXhTv4
19,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 7: Organizing in Management,Delegation Of Authority | Organising | Principles Of Management | Business Studies | BBA | BCA | MBA,https://www.youtube.com/watch?v=GlLXV7JLVnk
20,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 8: Delegation and Centralization in Management,Centralisation & Decentralisation  | Organising | Principles Of Management | Business Studies |,https://www.youtube.com/watch?v=9z-Cua7hmq8
21,Business Administration,Principles Of Management | Fundamental Of Management | BBA | B.Com | MBA | M.Com | Competitive Exam |,,12th,English/Hindi,Module 8: Delegation and Centralization in Management,Staffing| Importance & Process | Principles Of Management | Business Studies | BBA | MBA | Class 12,https://www.youtube.com/watch?v=LnoTu8d6KOY
