S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Business Administration,RBI Finance Course,45hrs 5min,12th,English/Hindi,Module 1: Introduction to RBI and Financial Institutions,RBI Free Finance Course ( Part 1) – RBI and it’s functions - Explanation in  Hindi,https://www.youtube.com/watch?v=bo1t-Px_Quc
2,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 1: Introduction to RBI and Financial Institutions,New Finance Syllabus in RBI Notification 2023,https://www.youtube.com/watch?v=qZ6OpMaJ1Xk
3,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 1: Introduction to RBI and Financial Institutions,RBI Free Finance Course ( Part 2) – NABARD and it’s functions in Hindi,https://www.youtube.com/watch?v=85nJMcW0E_E
4,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 1: Introduction to RBI and Financial Institutions,RBI Free Finance Course ( Part 3) – SEBI and it’s functions in Hindi,https://www.youtube.com/watch?v=Idv5QGLJmdI
5,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 2: Banking Structure and Global Financial Crisis,RBI Free Finance Course ( Part 4) – SIDBI IRDAI & PFRDA in Hindi,https://www.youtube.com/watch?v=Q8gW17I41ag
6,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 2: Banking Structure and Global Financial Crisis,RBI Free Finance Course ( Part 5) – EXIM ECGC NHM & FSDC in Hindi,https://www.youtube.com/watch?v=5-xxSxyMSRo
7,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 2: Banking Structure and Global Financial Crisis,RBI Finance Pdf 1 - Regulators and Financial Institutions,https://www.youtube.com/watch?v=Jw9q72YqX88
8,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Free Finance Course ( Part 6) – Banking Structure in India in Hindi,https://www.youtube.com/watch?v=_dTuSFxme0I
9,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Free Finance Course ( Part 7) – Changing landscape of Banking sector in Hindi,https://www.youtube.com/watch?v=lPd7Fj1EgXQ
10,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Free Finance Course (Part 8) – Global Financial Crisis 2007-08 in Hindi,https://www.youtube.com/watch?v=VmV7toGnsf4
11,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Finance Pdf 2 - Banking Structure and Global Financial Crisis,https://www.youtube.com/watch?v=mJZMotx1N6E
12,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Free Finance Course (Part 9) – Financial Market – Money Market in Hindi,https://www.youtube.com/watch?v=9TczsN-eR4w
13,Business Administration,RBI Finance Course,,12th,English/Hindi,Module 3: Financial Markets,RBI Free Finance Course (Part 10) – Financial Market – Primary Market in Hindi,https://www.youtube.com/watch?v=KCFDgjv6pqY
