S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,ACS Chemical Safety,4hrs 11min,12th,English/Hindi,Module 1: Introduction to Chemical Safety,Integrated Science Safety Instruction (Education/Training),https://www.youtube.com/watch?v=ZIogNqqAuPI
2,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 1: Introduction to Chemical Safety,Safety Information: PubChem Database,https://www.youtube.com/watch?v=ShitrPELTl8
3,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 1: Introduction to Chemical Safety,Safety Information: Globally Harmonized System of Classification and Labelling of Chemicals,https://www.youtube.com/watch?v=xtacgd3RXWo
4,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 1: Introduction to Chemical Safety,From Chemical Safety Rules to Risk Management | ACS College Safety Video #1,https://www.youtube.com/watch?v=DWSymRPCDN4
5,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 2: Chemical Safety Information,Chemical Safety Information Resources | ACS College Safety Video #2,https://www.youtube.com/watch?v=iQDbrR04tbU
6,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 2: Chemical Safety Information,Assessing Risks in the Chemistry Laboratory | ACS College Safety Video #3,https://www.youtube.com/watch?v=PhwyPQ0_5K0
7,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 2: Chemical Safety Information,Minimizing Risks in the Chemistry Laboratory | ACS College Safety Video #4,https://www.youtube.com/watch?v=DUm4hFUXEvw
8,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 2: Chemical Safety Information,Minimizing Risks in the Chemistry Laboratory: Techniques |  ACS College Safety Video #5,https://www.youtube.com/watch?v=NHBRlHzifMU
9,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 3: Risk Assessment,Emergencies in the Chemistry Laboratory |  ACS College Safety Video #6,https://www.youtube.com/watch?v=rPNQH3usdzI
10,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 3: Risk Assessment,Meet Michael Mills -- Host of the ACS Safety Videos,https://www.youtube.com/watch?v=zE1atZl8hk0
11,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 3: Risk Assessment,Safety Mindset - Video 1,https://www.youtube.com/watch?v=Rf-k4g0wuCs
12,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 4: Minimizing Risks in the Lab,Safety Data Sheet (SDS) - Video 2,https://www.youtube.com/watch?v=TWxvPhtAQ4Q
13,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 4: Minimizing Risks in the Lab,How to Dress for the Lab? And what about Personal Protective Equipment (PPE)? Video 3,https://www.youtube.com/watch?v=i1D6zpSw_6Q
14,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 4: Minimizing Risks in the Lab,Preparing for Emergencies - Video 4,https://www.youtube.com/watch?v=oOAG2uj0dOM
15,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 5: Emergencies and Safety Equipment,RAMP (For Students) - Video 5,https://www.youtube.com/watch?v=U55RUkS8_QE
16,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 5: Emergencies and Safety Equipment,RAMP (For Teachers) - Video 6,https://www.youtube.com/watch?v=z1R3zmsRdz8
17,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 5: Emergencies and Safety Equipment,Why Should We Do Laboratory Chemical Risk Assessments?,https://www.youtube.com/watch?v=mYTaITYUEKE
18,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 6: Case Studies and Best Practices,"Small Bottle, HUGE Fireball (How Flame Jetting Works)",https://www.youtube.com/watch?v=5sfUl6GIdYo
19,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 6: Case Studies and Best Practices,Working in the Lab Alone?...What IF...,https://www.youtube.com/watch?v=Y8DBd45W4hY
20,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 6: Case Studies and Best Practices,These splash tests suggest which eyewear is the safest for chemists,https://www.youtube.com/watch?v=n2yjTAM3OD4
21,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 6: Case Studies and Best Practices,Quality Data for Safer Experiments,https://www.youtube.com/watch?v=b1h_yj3zf20
22,Chemical Engineering,ACS Chemical Safety,,12th,English/Hindi,Module 7: Ventilation and Air Quality,Lab Worker's Guide to Better Ventilation,https://www.youtube.com/watch?v=9TE5SuI3gf4
