S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,7hrs 4min,12th,English/Hindi,Module 1: Introduction to Chemical Engineering,Basic Principles and Calculations in Chemical Engineering  [Introduction Video],https://www.youtube.com/watch?v=_ww0-IDidXM
2,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 1: Introduction to Chemical Engineering,"Lec 1: Definition, History, Role of Chemical Engineer",https://www.youtube.com/watch?v=-1PHH2OaBtI
3,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 1: Introduction to Chemical Engineering,Lec 2: Basic Features of Chemical Process,https://www.youtube.com/watch?v=XL2IqiImLO4
4,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 1: Introduction to Chemical Engineering,Lec 3: Unit systems and dimensions,https://www.youtube.com/watch?v=AFm87ncbcRE
5,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 2: Material Balances,Lec 4: Variables and Properties of Material in System,https://www.youtube.com/watch?v=vhaHUI8uP5I
6,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 2: Material Balances,Lec 5: Pressure and Temperature of Flow Process,https://www.youtube.com/watch?v=1sOxlUJekcI
7,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 2: Material Balances,Lec 6: Rate of Process,https://www.youtube.com/watch?v=KVnL0ggVqrI
8,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 2: Material Balances,Lec 7: Principles of material balance and calculation,https://www.youtube.com/watch?v=SUys-sqi0rQ
9,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 3: Material Balances with Reactions,Lec 8: Material Balances on Processes with Recycle & Bypass,https://www.youtube.com/watch?v=N9du6edNgqc
10,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 3: Material Balances with Reactions,Lec 9: Material balances on reactive processes,https://www.youtube.com/watch?v=p72wC36W83Q
11,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 3: Material Balances with Reactions,Lec 10: Material balances on combustion reactions,https://www.youtube.com/watch?v=WhypzrXOVXQ
12,Chemical Engineering,Basic Principles and Calculations in Chemical Engineering,,12th,English/Hindi,Module 4: Gases and Phase Equilibria,Lec 11: State Equation of Ideal Gas and Calculation,https://www.youtube.com/watch?v=s0n0XaN4yck
