S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,157hrs 4min,12th,English/Hindi,Module 1: Introduction to Heterogeneous Catalysis,Mod-01 Lec-01 Lec 1,https://www.youtube.com/watch?v=lbKrINF46dg
2,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 1: Introduction to Heterogeneous Catalysis,Mod-01 Lec-02 Lec 2,https://www.youtube.com/watch?v=I8ZiRDV_Vfw
3,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 1: Introduction to Heterogeneous Catalysis,Mod-01 Lec-03 Lec 3,https://www.youtube.com/watch?v=pHhu2wyZ3cw
4,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 1: Introduction to Heterogeneous Catalysis,Mod-02 Lec-04 Lec 4,https://www.youtube.com/watch?v=g6z8hTwEdSY
5,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 2: Characterization Techniques,Mod-02 Lec-05 Lec 5,https://www.youtube.com/watch?v=GsohDEbjMvE
6,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 2: Characterization Techniques,Mod-02 Lec-06 Lec 6,https://www.youtube.com/watch?v=i1RvthCCvvo
7,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 2: Characterization Techniques,Mod-03 Lec-07 Lec 7,https://www.youtube.com/watch?v=89LqXLEr5gY
8,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 3: Adsorption and Surface Reactions,Mod-03 Lec-08 Lec 8,https://www.youtube.com/watch?v=uMD0dU6BSYk
9,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 3: Adsorption and Surface Reactions,Mod-03 Lec-09 Lec 9,https://www.youtube.com/watch?v=lnrysAj7OkU
10,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 3: Adsorption and Surface Reactions,Mod-03 Lec-10 Lec 10,https://www.youtube.com/watch?v=gV-TBWcUBdg
11,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 4: Kinetics of Catalytic Reactions,Mod-04 Lec-11 Lec 11,https://www.youtube.com/watch?v=xRvStQ6notw
12,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 4: Kinetics of Catalytic Reactions,Mod-04 Lec-12 Lec 12,https://www.youtube.com/watch?v=BDgqFYecwco
13,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 4: Kinetics of Catalytic Reactions,Mod-04 Lec-13 Lec 13,https://www.youtube.com/watch?v=-EgDPiANZgs
14,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 5: Catalyst Deactivation and Regeneration,Mod-04 Lec-14 Lec 14,https://www.youtube.com/watch?v=_p1oqEk0m24
15,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 5: Catalyst Deactivation and Regeneration,Mod-05 Lec-15 Lec 15,https://www.youtube.com/watch?v=6uVr-nBZ7F0
16,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 6: Catalyst Preparation and Design,Mod-05 Lec-16 Lec 16,https://www.youtube.com/watch?v=mQYovqpVPpw
17,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 6: Catalyst Preparation and Design,Mod-06 Lec-17 lec 17,https://www.youtube.com/watch?v=m79g4DOdNi4
18,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 7: Heterogeneous Catalysis in Industry,Mod-06 Lec-18 lec 18,https://www.youtube.com/watch?v=TFO7Qg8mnWY
19,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 7: Heterogeneous Catalysis in Industry,Mod-07 Lec-19 lec 19,https://www.youtube.com/watch?v=B-gM5RCvDZg
20,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 7: Heterogeneous Catalysis in Industry,Mod-07 Lec-20 lec 20,https://www.youtube.com/watch?v=7svrYwO9rFo
21,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 8: Environmental Catalysis,Mod-07 Lec-21 lec 21,https://www.youtube.com/watch?v=Wi2NdHRvSC4
22,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 8: Environmental Catalysis,Mod-08 Lec-22 lec 22,https://www.youtube.com/watch?v=6K6YbcVGxbE
23,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 8: Environmental Catalysis,Mod-08 Lec-23 lec 23,https://www.youtube.com/watch?v=-Nv9ElZ0RBk
24,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 9: Photocatalysis,Mod-08 Lec-24 lec 24,https://www.youtube.com/watch?v=0nNZRwxQKXY
25,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,12th,English/Hindi,Module 9: Photocatalysis,Mod-09 Lec-25 lec 25,https://www.youtube.com/watch?v=85LBPZvVyv8
