S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Chemical reaction engineering - I,16hrs 7min,12th,English/Hindi,Module 1: Introduction to Chemical Reaction Engineering,Chemical reaction engineering - I [Introduction Video],https://www.youtube.com/watch?v=DpLAsVcofao
2,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 1: Introduction to Chemical Reaction Engineering,Lec 1: Introduction and Overview on Reaction Engineering,https://www.youtube.com/watch?v=OGWwdT6UGVM
3,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 1: Introduction to Chemical Reaction Engineering,Lec 2: Kinetics of Homogeneous Reactions,https://www.youtube.com/watch?v=uNC9acjbK2c
4,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 2: Kinetics of Homogeneous Reactions,Lec 3: Kinetic Model and Temperature Dependency,https://www.youtube.com/watch?v=HCLpB_5HjMk
5,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 2: Kinetics of Homogeneous Reactions,Lec 4: Introduction and Stoichiometry for the Batch System,https://www.youtube.com/watch?v=Mb_IsuJ9TLM
6,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 3: Stoichiometry for Batch and Flow Systems,Lec 5: Stoichiometry for Constant Volume Flow and Variable Volume Batch Systems,https://www.youtube.com/watch?v=V32qqgOJUQs
7,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 3: Stoichiometry for Batch and Flow Systems,Lec 6: Stoichiometry for Variable Volume Flow System,https://www.youtube.com/watch?v=xqIOwLvUIHU
8,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 3: Stoichiometry for Batch and Flow Systems,Lec 7: Analysis of Batch Reactor Kinetic Data,https://www.youtube.com/watch?v=LXb7zzJRP3Q
9,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 4: Analysis of Batch Reactor Data,Lec 8: Intregal Method of Analysis of Batch Reactor Data: Part 1,https://www.youtube.com/watch?v=MsZo-IvF2pQ
10,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 4: Analysis of Batch Reactor Data,Lec 9: Intregal Method of Analysis of Batch Reactor Data: Part 2,https://www.youtube.com/watch?v=WCxs1kM5bhY
11,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 4: Analysis of Batch Reactor Data,Lec 10: Differential Method of Analysis and Variable Volume Batch Reactor Data,https://www.youtube.com/watch?v=vpRk983PiI8
12,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 5: Ideal Reactor Design,Lec 11: Introduction and Ideal Batch Reactor Design,https://www.youtube.com/watch?v=YGrYbul2oEs
13,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 5: Ideal Reactor Design,Lec 12: Ideal Mixed Flow Reactor Design,https://www.youtube.com/watch?v=7syqSaJAoJ0
14,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 5: Ideal Reactor Design,Lec 13: Ideal Plug Flow Reactor Design,https://www.youtube.com/watch?v=whFgm4uYcTM
15,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 6: Reactor Size Comparison and Special Cases,Lec 14: Size Comparisn of Single and Multiple Reactors,https://www.youtube.com/watch?v=i1i5M0_PuRI
16,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 6: Reactor Size Comparison and Special Cases,Lec 15: Size Comaprison Multiple Reactors,https://www.youtube.com/watch?v=x90zYBKJgcg
17,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 6: Reactor Size Comparison and Special Cases,Lec 16: Recycle and Autocatalytic Reactors,https://www.youtube.com/watch?v=I1sasCCHxAY
18,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 7: Design for Multiple Reactions,Lec 17: Design for Parallel Reactions,https://www.youtube.com/watch?v=HKN9t6NOo5k
19,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 7: Design for Multiple Reactions,Lec 18: Design for Series Reactions,https://www.youtube.com/watch?v=AINOVnrnSA8
20,Chemical Engineering,Chemical reaction engineering - I,,12th,English/Hindi,Module 7: Design for Multiple Reactions,Lec 19: Design for Series-Parallel Reactions,https://www.youtube.com/watch?v=28inrIEEQG0
