S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,ES301- Energy and Environmental engineering,33hrs 17min,12th,English/Hindi,Module 1: Introduction to Energy and Sustainability,1.1 Introduction to Energy | ES301 |,https://www.youtube.com/watch?v=ZwEOVdjUBws
2,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 1: Introduction to Energy and Sustainability,1.2 Sustainability & Environment | ES301 |,https://www.youtube.com/watch?v=rGXM_ZqSX4U
3,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 1: Introduction to Energy and Sustainability,1.3 Fossil Fuels | ES301|,https://www.youtube.com/watch?v=7qjBSNduov0
4,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 1: Introduction to Energy and Sustainability,1.3.1 Classification of Fossil Fuels | ES301 |,https://www.youtube.com/watch?v=HiKi-FFO5x4
5,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 2: Fossil Fuels and Their Alternatives,1.4 Coal | ES301 |,https://www.youtube.com/watch?v=yFRDnGdNVrU
6,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 2: Fossil Fuels and Their Alternatives,1.5 Oil | ES301 |,https://www.youtube.com/watch?v=1Fpw1y5xV9k
7,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 2: Fossil Fuels and Their Alternatives,1.6 Coal Gasification |  ES301 |,https://www.youtube.com/watch?v=h53ReOpa8iA
8,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 2: Fossil Fuels and Their Alternatives,1.7 Alternatives for Fossil Fuels | ES301 |,https://www.youtube.com/watch?v=hKI0tjrAGtE
9,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 3: Renewable Energy Sources,1.7.1 Principles of Biomass Energy | ES301 |,https://www.youtube.com/watch?v=oAeHEr2Ylw0
10,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 3: Renewable Energy Sources,1.8 Wind Energy | ES301 |,https://www.youtube.com/watch?v=zviT6jTgibg
11,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 3: Renewable Energy Sources,1.9 Solar Energy | ES301 |,https://www.youtube.com/watch?v=2UGR7aKyJAk
12,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 3: Renewable Energy Sources,1.10 Nuclear Energy |  ES301 |,https://www.youtube.com/watch?v=e0yn5QiO1QQ
13,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 3: Renewable Energy Sources,1.11 Tidal Energy | ES301 |,https://www.youtube.com/watch?v=r8DEpPF_Mcg
14,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 4: Renewable Energy Sources and Energy Storage,"1.11.1 Advantages, disadvantages & challenges of Tidal energy | ES301 |",https://www.youtube.com/watch?v=CgFWPv5nulc
15,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 4: Renewable Energy Sources and Energy Storage,1.12  Hydrogen Energy | ES301 |,https://www.youtube.com/watch?v=TnDU3tkSjWU
16,Chemical Engineering,ES301- Energy and Environmental engineering,,12th,English/Hindi,Module 4: Renewable Energy Sources and Energy Storage,1.12.1 Advantages limitation & Applications of Hydrogen Energy | ES301 |,https://www.youtube.com/watch?v=dXSOL9CgAyk
