S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Foundation of Computational Fluid Dynamics,9hrs 1min,12th,English/Hindi,Module 1: Welcome to the Foundation of Computational Fluid Dynamics,Welcome !!,https://www.youtube.com/watch?v=oQL4CFbHY_g
2,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 1: Welcome to the Foundation of Computational Fluid Dynamics,Week 1 - Module 1,https://www.youtube.com/watch?v=AZknqweSR9w
3,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 1: Welcome to the Foundation of Computational Fluid Dynamics,Week 1 - module 2,https://www.youtube.com/watch?v=sUpeVZzjnow
4,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 2: Week 1 - Module 1,Week 1 - Module 3,https://www.youtube.com/watch?v=VXrbOCF782M
5,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 2: Week 1 - Module 1,Week 1 - Module 4,https://www.youtube.com/watch?v=CQcZOu0rCZY
6,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 2: Week 1 - Module 1,Week 1 - Module 5,https://www.youtube.com/watch?v=W2DvB1R6uJc
7,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 3: Week 1 - module 2,Week 2 - Module 1,https://www.youtube.com/watch?v=Cxpf-5lDSSc
8,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 3: Week 1 - module 2,Week 2 - Module 2,https://www.youtube.com/watch?v=PiZWZIItTnc
9,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 3: Week 1 - module 2,Week 2 - Module 3,https://www.youtube.com/watch?v=cIow_dwvliM
10,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 4: Week 1 - Module 3,Week 2 - Module 4,https://www.youtube.com/watch?v=5nkCWYz_DU0
11,Chemical Engineering,Foundation of Computational Fluid Dynamics,,12th,English/Hindi,Module 4: Week 1 - Module 3,Week 2 - Module 5,https://www.youtube.com/watch?v=YyWNni_OceM
