S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,195hrs 20min,12th,English/Hindi,Module 1: Introduction to Instrumentation & Process Control ,L 1 | Introduction to Instrumentation & Process Control #GATE2022 | Manish Sir,https://www.youtube.com/watch?v=zuVUdjjtsTs
2,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 1: Introduction to Instrumentation & Process Control ,L 2 | Laplace Transformation | Instrumentation & Process Control #GATE2022 | Manish Sir,https://www.youtube.com/watch?v=EJa0uVmBqMc
3,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 1: Introduction to Instrumentation & Process Control ,L 3 | Laplace Transformation | Instrumentation & Process Control #GATE2022 | Manish Sir,https://www.youtube.com/watch?v=ZlcvOZDrzjg
4,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 1: Introduction to Instrumentation & Process Control ,L 4 | Laplace Transformation | Instrumentation & Process Control #GATE2022 | Manish Sir,https://www.youtube.com/watch?v=3jflPhLYvIE
5,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 2: Integration & Derivative of Laplace Transform,L 5 | Integration & Derivative of Laplace Transform | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=ia2ro_G8YCo
6,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 2: Integration & Derivative of Laplace Transform,L 6 | Integration & Derivative of Laplace Transform | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=AaVGQ1VJ8p4
7,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 2: Integration & Derivative of Laplace Transform,L 7 | Introduction - First Order System | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=agixvYq0nxg
8,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 2: Integration & Derivative of Laplace Transform,L 8 | First Order System - 02 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=LUO0k_Utd5Q
9,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 3: First Order System,L 9 | First Order System - 03 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=UXaeuU6ngMg
10,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 3: First Order System,L 10 | First Order System - 04 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=QvqzD7WQOUc
11,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 3: First Order System,L 11 | First Order System - 05 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=sAE82XAEKFA
12,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 3: First Order System,L 12 | First Order System - 06 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=2XnGhNbdqiU
13,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 4: First Order System,L 13 | First Order System - 07 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=2Nyt3i92H4M
14,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 4: First Order System,L 14 | First Order System - 08 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=zwbskH4Y29Y
15,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 4: First Order System,L 15 | First Order System - 09 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=j7VGIwpPT4M
16,Chemical Engineering,Instrumentation & Process Control #GATE2022 | Manish Sir,,12th,English/Hindi,Module 4: First Order System,L 16 | Second Order System -01 | Instrumentation & Process Control #GATE2022,https://www.youtube.com/watch?v=ohCFTGBdiWA
