S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Introduction to Materials Science and Engineering,31hrs 7min,12th,English/Hindi,Module 1: Introduction to Materials Science,1.1 Introduction,https://www.youtube.com/watch?v=KMcsjCXfLQw
2,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.2 Crystal geometry,https://www.youtube.com/watch?v=KilQCJNucUw
3,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.3 Unit cell,https://www.youtube.com/watch?v=ZmfxnA4H2MQ
4,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 1: Introduction to Materials Science,1.4 Classification of latices,https://www.youtube.com/watch?v=J8Bo9BHxesE
5,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,1.5 Gaps in Bravais lattices,https://www.youtube.com/watch?v=Qz8QbRUdO8s
6,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Symmetry I,https://www.youtube.com/watch?v=6w4jjiC_vTc
7,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Symmetry II,https://www.youtube.com/watch?v=46M4EBoZMvk
8,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 2: Crystal Structures,Classification of lattices on the basis of symmetry,https://www.youtube.com/watch?v=n_5aAVB-xKA
9,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Symmetry in Crystals,A symmetry based approach to Bravais lattices,https://www.youtube.com/watch?v=5_FmJgp6sMQ
10,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 3: Symmetry in Crystals,Miller Indices of Directions,https://www.youtube.com/watch?v=mc-VocwArHY
11,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: Miller Indices and Crystallographic Directions,Miller Indices for Planes,https://www.youtube.com/watch?v=1vsNxkdlcXw
12,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: Miller Indices and Crystallographic Directions,Miller Indices for a plane and its normal in Cubic Crystal,https://www.youtube.com/watch?v=6AfsN4R7ARQ
13,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: Miller Indices and Crystallographic Directions,Weiss Zone law and its applications,https://www.youtube.com/watch?v=gq6piKyyAQo
14,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 4: Miller Indices and Crystallographic Directions,Inter-planar spacing,https://www.youtube.com/watch?v=xIuuTSJ5Dws
15,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 5: X-ray Diffraction and Bragg's Law,Bragg’s Law,https://www.youtube.com/watch?v=migIuUWtSHc
16,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 5: X-ray Diffraction and Bragg's Law,16: Close-packing of Hard Spheres,https://www.youtube.com/watch?v=eSdadhSfObc
17,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 6: Close-Packed Structures,17 ABAB stacking: Hexagonal Close-Packed (HCP) structure,https://www.youtube.com/watch?v=mdDu2iQtRSU
18,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 6: Close-Packed Structures,Lattice and motif of HCP crystals,https://www.youtube.com/watch?v=cEiqAqcBjrg
19,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 6: Close-Packed Structures,c/a ratio of an ideal HCP crystal,https://www.youtube.com/watch?v=MZD8BsvZhkY
20,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 6: Close-Packed Structures,ABCABC stacking: Cubic Close-packing (CCP),https://www.youtube.com/watch?v=VTjNDaxmhHk
21,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 6: Close-Packed Structures,Voids in close-packed structures,https://www.youtube.com/watch?v=JRoedz74UeQ
22,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 7: Solid Solutions and Alloys,Solid solutions I,https://www.youtube.com/watch?v=yZXhq-7mmvA
23,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 7: Solid Solutions and Alloys,Solid solutions II,https://www.youtube.com/watch?v=OVtMWt67WGo
24,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 7: Solid Solutions and Alloys,Hume-Rothery rules,https://www.youtube.com/watch?v=jqjVC9R4FFk
25,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 7: Solid Solutions and Alloys,Ordered and Disordered Solid Solutions,https://www.youtube.com/watch?v=hPEa6DwcnRs
26,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 8: Carbon-Based Materials,Graphene,https://www.youtube.com/watch?v=6Ersmuhd7ds
27,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 8: Carbon-Based Materials,Structure of graphite,https://www.youtube.com/watch?v=hv9TkTxGROk
28,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 8: Carbon-Based Materials,Structure of diamond,https://www.youtube.com/watch?v=gl_aIivm3sM
29,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 8: Carbon-Based Materials,Carbon Nanotubes (CNT),https://www.youtube.com/watch?v=XoBeu2LGL5E
30,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 8: Carbon-Based Materials,Buckminsterfullerene (C60),https://www.youtube.com/watch?v=utTzOrOpZpw
31,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 9: Ionic Solids,Ionic solids,https://www.youtube.com/watch?v=Ix9gohFbA40
32,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 9: Ionic Solids,NaCl,https://www.youtube.com/watch?v=sPIKN-4RHWI
33,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 9: Ionic Solids,CsCl,https://www.youtube.com/watch?v=seFkoNvHf-c
34,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 9: Ionic Solids,ZnS,https://www.youtube.com/watch?v=ALrVZgg8UTg
35,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 9: Ionic Solids,BCC vs CsCl,https://www.youtube.com/watch?v=zmyHtkK6CSk
36,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 10: Amorphous Solids and Polymers,Amorphous Solids,https://www.youtube.com/watch?v=5O2uyMut_Fw
37,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 10: Amorphous Solids and Polymers,Polymers,https://www.youtube.com/watch?v=7AWQyFr_GLA
38,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 10: Amorphous Solids and Polymers,Vinyl Polymers,https://www.youtube.com/watch?v=V5D0L6R3tR4
39,Chemical Engineering,Introduction to Materials Science and Engineering,,12th,English/Hindi,Module 10: Amorphous Solids and Polymers,Thermoplasts and Thermosets,https://www.youtube.com/watch?v=-6zssQ095Fk
