S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemical Engineering,Petroleum Reservoir Engineering,24hrs 8min,12th,English/Hindi,Module 1: Introduction to Petroleum Reservoir Engineering,Petroleum Reservoir Engineering [Introduction Video],https://www.youtube.com/watch?v=m8qCtIwquDc
2,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 1: Introduction to Petroleum Reservoir Engineering,Lec 1: Introduction to Petroleum Reservoir Engineering,https://www.youtube.com/watch?v=Js4cxZRtk5Q
3,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 1: Introduction to Petroleum Reservoir Engineering,Lec 2: Petroleum Reserves,https://www.youtube.com/watch?v=vsEgqdQYMRo
4,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 1: Introduction to Petroleum Reservoir Engineering,Lec 3: Petroleum Geology,https://www.youtube.com/watch?v=eXsF-saRkQ0
5,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 2: Petroleum Fundamentals,Lec 4: Well Drilling Methods,https://www.youtube.com/watch?v=8vdGuUU_X88
6,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 2: Petroleum Fundamentals,Lec 5: Thermodynamics of Hydrocarbons,https://www.youtube.com/watch?v=qoz9n70CbGU
7,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 2: Petroleum Fundamentals,Lec 6: Natural Gas Properties,https://www.youtube.com/watch?v=bZ50QSwxVgo
8,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 2: Petroleum Fundamentals,Lec 7: Properties of Crude Oil,https://www.youtube.com/watch?v=HlvMPx_0Q58
9,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 3: Reservoir Rock and Fluid Properties,Lec 8: Reservoir Rock Properties,https://www.youtube.com/watch?v=GgKErYxBxeU
10,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 3: Reservoir Rock and Fluid Properties,Lec 9: Relative Permeability,https://www.youtube.com/watch?v=I3uZSM7wdSg
11,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 3: Reservoir Rock and Fluid Properties,Lec 10: Primary Drive Mechanisms,https://www.youtube.com/watch?v=gobZnk47wkI
12,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 4: Reservoir Drive Mechanisms and Material Balance,Lec 11: General Material (Volumetric) Balance,https://www.youtube.com/watch?v=kEmZy06ucnQ
13,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 4: Reservoir Drive Mechanisms and Material Balance,Lec 12: Volumetric Balance in Oil and Gas Reservoir,https://www.youtube.com/watch?v=reqg4GmJITQ
14,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 4: Reservoir Drive Mechanisms and Material Balance,Lec 13: Fundamentals of Reservoir Fluid Flow,https://www.youtube.com/watch?v=u7PZJ1p7BfM
15,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 5: Reservoir Fluid Flow and Inflow Performance,Lec 14: General Equations for radial Flow in Reservoir,https://www.youtube.com/watch?v=BKZZgQVx7zM
16,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 5: Reservoir Fluid Flow and Inflow Performance,Lec 15: Inflow Performance Relationship for Reservoir Fluids,https://www.youtube.com/watch?v=tpvzE7mDKLg
17,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 5: Reservoir Fluid Flow and Inflow Performance,Lec 16: Well Testing and Performance-I,https://www.youtube.com/watch?v=cgC2GYuNVc8
18,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 6: Well Testing and Oil Recovery Methods,Lec 17: Well Testing and Performance-II,https://www.youtube.com/watch?v=_lvRg9HO7k0
19,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 6: Well Testing and Oil Recovery Methods,Lec 18: Secondary Oil  Recovery Methods,https://www.youtube.com/watch?v=ImXHlAG7Pj8
20,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 6: Well Testing and Oil Recovery Methods,Lec 19: Enhanced Oil Recovery Methods,https://www.youtube.com/watch?v=YIGuVm244V4
21,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 7: Reservoir Simulation and Unconventional Gas,Lec 20: Introduction to Reservoir Simulation,https://www.youtube.com/watch?v=svxeUaxZGNU
22,Chemical Engineering,Petroleum Reservoir Engineering,,12th,English/Hindi,Module 7: Reservoir Simulation and Unconventional Gas,Lec 21: Unconventional Natural Gas Production,https://www.youtube.com/watch?v=J6yQMUl7lgs
