S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,127hrs 23min,12th,English/Hindi,Module 1: Introduction to Chemical Kinetics & Factors Affecting Rate,Class 12 chap 3 : Chemical Kinetics 01 : Introduction -  Rate of Reaction JEE MAINS/NEET,https://www.youtube.com/watch?v=Ez2EaGNt-u8
2,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 1: Introduction to Chemical Kinetics & Factors Affecting Rate,Chemical Kinetics 02 : Factors Affecting Rate of Reaction - 7 Factors JEE MAINS/NEET,https://www.youtube.com/watch?v=Wg8gUHWlfG8
3,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,"Module 2: Rate Law, Order of Reaction & Initial Rate Method",Chemical Kinetics 03 : Rate Law and Order Of Reaction JEE MAINS/NEET,https://www.youtube.com/watch?v=4YLbhZtia1Q
4,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,"Module 2: Rate Law, Order of Reaction & Initial Rate Method",Chemical Kinetics 04 : Initial Rate Method to Determine Order of Reaction n Rate Law JEE MAINS/NEET,https://www.youtube.com/watch?v=5XgyuftggTo
5,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 3: Zero & First Order Kinetics,Chemical Kinetics 05 : ZERO Order Kinetics I Rate Law and Half Life Of Zero Order- JEE MAINS/NEET,https://www.youtube.com/watch?v=A0QsbNj9x24
6,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 3: Zero & First Order Kinetics,Chemical Kinetics 06 : FIRST Order Kinetics IComplete First Order Reaction with Best Tricks -JEE/NEE,https://www.youtube.com/watch?v=djvupjkQJ1U
7,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 4: Higher Order Kinetics & Determining Order,"Chemical Kinetic 07 : Second , Third & nth Order  Reaction & Kinetics - All Formulae -JEE MAINS/NEET",https://www.youtube.com/watch?v=rqSvq-3mnC8
8,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 4: Higher Order Kinetics & Determining Order,Chemical Kinetics 08 : How to Determine Order of Reaction? Half Life Method & other methods JEE/NEET,https://www.youtube.com/watch?v=rGZfrCEC6NM
9,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,"Module 5: Molecularity, Pseudo Order & Arrhenius Equation",Chemical Kinetics 09 : Molecularity of Reaction I Pseudo Order Reaction I Molecularity JEE/NEET,https://www.youtube.com/watch?v=GmFnROiHYE4
10,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,"Module 5: Molecularity, Pseudo Order & Arrhenius Equation",Chemical Kinetics 10 : Arrhenius Equation I Effect of Temperature on Rate of Reaction JEE/NEET I,https://www.youtube.com/watch?v=uexnw54Cluk
11,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 6: Complex Reactions & Parallel First Order Reactions,Chemical Kinetics 11 : Complex Reaction - Mechanism of Reaction -Steady State Approximation JEE/NEET,https://www.youtube.com/watch?v=Tko6iBir6GM
12,Chemistry,12 Chapter 3 I Chemical Kinetics JEE MAINS/NEET,,12th,English/Hindi,Module 6: Complex Reactions & Parallel First Order Reactions,Chemical Kinetics 12 : Parallel First Order Reaction Kinetics JEE/NEET,https://www.youtube.com/watch?v=DrE6ApKqgwU
