S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,Chemistry - Polymer Chemistry,143hrs 20min,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-01 Introduction to Polymers,https://www.youtube.com/watch?v=jSNlmOwpxYg
2,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-02 Introduction to Polymers (Contd.),https://www.youtube.com/watch?v=Gbltx4IXLzQ
3,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-03 Introduction to Polymers (Contd.),https://www.youtube.com/watch?v=d8GMePE18SA
4,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-04 Step - growth Polymerization,https://www.youtube.com/watch?v=sx1pO40c4CU
5,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-05 Step - growth Polymerization (Contd.),https://www.youtube.com/watch?v=XZt0r5tgxLg
6,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-06 Step - growth Polymerization (Contd. ),https://www.youtube.com/watch?v=uIM9d-1YXwA
7,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-07 Step - growth Polymerization ( Contd. ),https://www.youtube.com/watch?v=2KDPGQ4Gg_0
8,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 1: Introduction to Polymers,Mod-01 Lec-08 Step - growth Polymerization (Contd. ),https://www.youtube.com/watch?v=sbslAHs3TS4
9,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-09 Radical Chain Polymerization,https://www.youtube.com/watch?v=RwmXApb_KXk
10,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-10 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=Cqd_XbmUt9s
11,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-11 Radical Chain Polymerization (Contd. ),https://www.youtube.com/watch?v=4fWQbDxmHeM
12,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-12 Radical Chain Polymerization (Contd. ),https://www.youtube.com/watch?v=rGl215gEVg4
13,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-13 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=nSewsNL8ldo
14,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-14 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=59QKt5E04hs
15,Chemistry,Chemistry - Polymer Chemistry,,12th,English/Hindi,Module 2: Radical Chain Polymerization,Mod-01 Lec-15 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=GUI6d6npS94
