S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,Environmental Chemistry,7hrs 19min,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,Environmental Chemistry_Introduction,https://www.youtube.com/watch?v=Ym3HyZGsOg4
2,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec01,https://www.youtube.com/watch?v=bnLE4YxHsyA
3,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec02,https://www.youtube.com/watch?v=cAooAgQVvec
4,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 1: Introduction to Environmental Chemistry,mod01lec03,https://www.youtube.com/watch?v=Oue3nA6GrCM
5,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 2: mod01lec01,mod01lec04,https://www.youtube.com/watch?v=iXg9NBi3b5Y
6,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 2: mod01lec01,mod01lec05,https://www.youtube.com/watch?v=EeiV0et_n3M
7,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 2: mod01lec01,mod02lec06,https://www.youtube.com/watch?v=ydHLTHUE-rA
8,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 3: mod01lec02,mod02lec07,https://www.youtube.com/watch?v=14qdwRHspiI
9,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 3: mod01lec02,mod02lec08,https://www.youtube.com/watch?v=eD0_f30zXnk
10,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 3: mod01lec02,mod02lec09,https://www.youtube.com/watch?v=8D0mcCsXTAk
11,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 4: mod01lec03,mod02lec10,https://www.youtube.com/watch?v=fOowWiFd6Gc
12,Chemistry,Environmental Chemistry,,12th,English/Hindi,Module 4: mod01lec03,mod03lec11,https://www.youtube.com/watch?v=R2n4ClLeQIw
