S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,Medicinal Chemistry,87hrs 8min,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Introduction to Medicinal Chemistry Part-I,https://www.youtube.com/watch?v=UHEXXGiegd0
2,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Intermolecular Binding Forces,https://www.youtube.com/watch?v=bo_c58SS35o
3,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Protein Structure and Function,https://www.youtube.com/watch?v=Khq58yAub7Q
4,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 1: Introduction to Medicinal Chemistry,Enzyme Catalysis Part-I,https://www.youtube.com/watch?v=aZE740JWZuQ
5,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 2: Introduction to Receptors,Introduction to Receptors,https://www.youtube.com/watch?v=upVat4LCX9Y
6,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 2: Introduction to Receptors,Receptor Types and Functions,https://www.youtube.com/watch?v=ysBUHvE3NYU
7,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 2: Introduction to Receptors,Enzymes as Drug Targets,https://www.youtube.com/watch?v=K3ig3WKmVAM
8,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 2: Introduction to Receptors,Enzyme Kinetics and Inhibition,https://www.youtube.com/watch?v=xJnk5tviv28
9,Chemistry,Medicinal Chemistry,,12th,English/Hindi,"Module 3: Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.","Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.",https://www.youtube.com/watch?v=Iznyuesd3-k
10,Chemistry,Medicinal Chemistry,,12th,English/Hindi,"Module 3: Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.",Receptors as Drug Targets Part-I,https://www.youtube.com/watch?v=n5C-peu54Wk
11,Chemistry,Medicinal Chemistry,,12th,English/Hindi,"Module 3: Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.","Tutorial 07-Receptor-Drug Interactions, Stereochemistry, Chirality, Nomenclature",https://www.youtube.com/watch?v=7xJDqghtOAI
12,Chemistry,Medicinal Chemistry,,12th,English/Hindi,"Module 3: Tutorial 06-Enzyme Kinetics, Various Modes of Inhibition etc.",Pharmacokinetics Part-I,https://www.youtube.com/watch?v=gQx1MMTJK_I
13,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 4: Pharmacokinetics Part-II,Pharmacokinetics Part-II,https://www.youtube.com/watch?v=YJmLaGD36FU
14,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 4: Pharmacokinetics Part-II,Finding a Lead Part-I,https://www.youtube.com/watch?v=aAx6azoiFMw
15,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 4: Pharmacokinetics Part-II,Finding a Lead Part-II,https://www.youtube.com/watch?v=y7vgzZ9_BpE
16,Chemistry,Medicinal Chemistry,,12th,English/Hindi,Module 4: Pharmacokinetics Part-II,Tutorial 11-Drug administration routes and finding a lead,https://www.youtube.com/watch?v=A2q29ExYHfE
