S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,New Organic Chemistry Playlist,104hrs 20min,12th,English/Hindi,Module 1: Introduction to Organic Chemistry,Organic Chemistry - Basic Introduction,https://www.youtube.com/watch?v=B_ketdzJtY8
2,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 1: Introduction to Organic Chemistry,Organic Chemistry - Basic Introduction - Membership,https://www.youtube.com/watch?v=jxvU_GH3mWo
3,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 1: Introduction to Organic Chemistry,Organic Chemistry Tutor - Youtube Channel Membership,https://www.youtube.com/watch?v=Tf1jk27bkqg
4,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 1: Introduction to Organic Chemistry,"Ionic Bonds, Polar Covalent Bonds, and Nonpolar Covalent Bonds",https://www.youtube.com/watch?v=8NQzcpWvq4g
5,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 2: Chemical Bonding,Which Bond Is More Polar?,https://www.youtube.com/watch?v=o0-a5HzSzdE
6,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 2: Chemical Bonding,Electrostatic Potential Maps and Bond Polarity - Organic Chemistry,https://www.youtube.com/watch?v=Sd_2RwNE4iU
7,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 2: Chemical Bonding,Organic Chemistry - How To Draw Lewis Structures,https://www.youtube.com/watch?v=6unef5Hz6SU
8,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 3: Molecular Structure and Representation,Kekule Structures and Condensed Structures,https://www.youtube.com/watch?v=XyH3r9dzH2A
9,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 3: Molecular Structure and Representation,Condensed Structures to Skeletal Structures,https://www.youtube.com/watch?v=HRkvjKHFNDA
10,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 3: Molecular Structure and Representation,List of Organic Chemistry Videos on Patreon,https://www.youtube.com/watch?v=7kDoqNo3sNA
11,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 3: Molecular Structure and Representation,Functional Groups,https://www.youtube.com/watch?v=m9jM8lWxrAE
12,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 4: Functional Groups and Isomers,Unusual Functional Groups - Organic Chemistry,https://www.youtube.com/watch?v=6RpvsHA4yHg
13,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 4: Functional Groups and Isomers,"Organic Chemistry Drawing Structures - Bond Line, Skeletal, and Condensed Structural Formulas",https://www.youtube.com/watch?v=bFn-OjeWNAw
14,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 4: Functional Groups and Isomers,Formal Charge,https://www.youtube.com/watch?v=C2l-76VP8s0
15,Chemistry,New Organic Chemistry Playlist,,12th,English/Hindi,Module 5: Formal Charge and Valence Shell Electron Pair Repulsion (VSEPR) Theory,How To Identify The Number of Lone Pairs on an Atom Using Formal Charge,https://www.youtube.com/watch?v=jlCPY6iXQ1c
