S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Chemistry,Jan 2023 - Nuclear and Radiochemistry,7hrs 16min,12th,English/Hindi,Module 1: Course Introduction,Course Introduction - Nuclear and Radiochemistry,https://www.youtube.com/watch?v=eWpdPqUAYD4
2,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 1: Course Introduction,Week 01: Lecture 01,https://www.youtube.com/watch?v=Ysj7bDGLp_Y
3,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 2: Week 1 Fundamentals,Week 01: Lecture 02,https://www.youtube.com/watch?v=zym56hmX6hg
4,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 2: Week 1 Fundamentals,Week 01: Lecture 03,https://www.youtube.com/watch?v=C9b3BtN1asY
5,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 2: Week 1 Fundamentals,Week 01: Lecture 04,https://www.youtube.com/watch?v=lTfkweYDMJo
6,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 2: Week 1 Fundamentals,Week 01: Lecture 05,https://www.youtube.com/watch?v=pOJwI-tvSrc
7,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 2: Week 1 Fundamentals,Week 02: Lecture 06,https://www.youtube.com/watch?v=0ehziNSf1c8
8,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 3: Week 2 Concepts,Week 02: Lecture 07,https://www.youtube.com/watch?v=Js7UVCKQ_mE
9,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 3: Week 2 Concepts,Week 02: Lecture 08,https://www.youtube.com/watch?v=Tm5-aUY69B4
10,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 3: Week 2 Concepts,Week 02: Lecture 09,https://www.youtube.com/watch?v=Y21oU-Qq0pU
11,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 3: Week 2 Concepts,Week 02: Lecture 10,https://www.youtube.com/watch?v=MI2WoBHE2PI
12,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 3: Week 2 Concepts,Week 03: Lecture 11,https://www.youtube.com/watch?v=kHmLyU7tRHM
13,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 4: Week 3 Applications,Week 03: Lecture 12,https://www.youtube.com/watch?v=vWIfqZLO9v8
14,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 4: Week 3 Applications,Week 3: Lecture 14,https://www.youtube.com/watch?v=DHyTac-f3-4
15,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 4: Week 3 Applications,Week 03: Lecture 15,https://www.youtube.com/watch?v=fEaqYr3_Iwo
16,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 4: Week 3 Applications,Week 04: Lecture 16,https://www.youtube.com/watch?v=4UKwTVk736M
17,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 5: Week 4 Reactions,Week 04: Lecture 17,https://www.youtube.com/watch?v=Hzgu5GolwO0
18,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 5: Week 4 Reactions,Week 04: Lecture 18,https://www.youtube.com/watch?v=-AFzqFiBK1s
19,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 5: Week 4 Reactions,Week 04: Lecture 19,https://www.youtube.com/watch?v=bmqumQ21Rkk
20,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 5: Week 4 Reactions,Week 04: Lecture 20,https://www.youtube.com/watch?v=4_QZ-Mi6bcc
21,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 5: Week 4 Reactions,Week 05: Lecture 21,https://www.youtube.com/watch?v=R_3X8tT4QzQ
22,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 6: Week 5 Interactions,Week 5: Lecture 22,https://www.youtube.com/watch?v=hm-otP9WeHs
23,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 6: Week 5 Interactions,Week 05: Lecture 23,https://www.youtube.com/watch?v=Ho8JMT9kIL4
24,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 6: Week 5 Interactions,Week 05: Lecture 24,https://www.youtube.com/watch?v=m-NgCvkoQII
25,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 6: Week 5 Interactions,Week 6: Lecture 26,https://www.youtube.com/watch?v=ZvIPCD2b5h4
26,Chemistry,Jan 2023 - Nuclear and Radiochemistry,,12th,English/Hindi,Module 6: Week 5 Interactions,Week 6: Lecture 27,https://www.youtube.com/watch?v=pnr7783-ElU
