S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Bridge engineering,72hrs 4min,12th,English/Hindi,Module 1: Introduction to Bridge Engineering,Introdudction,https://www.youtube.com/watch?v=RB2k5hSYO3U
2,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 1: Introduction to Bridge Engineering,Introdudction,https://www.youtube.com/watch?v=RB2k5hSYO3U
3,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 1: Introduction to Bridge Engineering,Classification of Bridges,https://www.youtube.com/watch?v=5k8vdDSK6jU
4,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 2: Design Philosophies and Codes,Limit State Method of Design as per IS456 2000,https://www.youtube.com/watch?v=zIfrR2J154w
5,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 2: Design Philosophies and Codes,General Features of Design,https://www.youtube.com/watch?v=pWecDpoJd9E
6,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 2: Design Philosophies and Codes,IRC Loading,https://www.youtube.com/watch?v=U4a0q4hYUWw
7,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 2: Design Philosophies and Codes,Design Codes,https://www.youtube.com/watch?v=rAH6eP1G4N0
8,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 2: Design Philosophies and Codes,Limit State Method of Design as per IS456 2000,https://www.youtube.com/watch?v=zIfrR2J154w
9,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 3: Working Stress Method,Limit State Method of Design as per IS456 2000,https://www.youtube.com/watch?v=zIfrR2J154w
10,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 3: Working Stress Method,Working Stress Method,https://www.youtube.com/watch?v=TsjtbH7lSOE
11,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 4: Design of Slab Bridges,Limit State Method of Design as per IRC 112 2011,https://www.youtube.com/watch?v=SCWNDk2Sfk0
12,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 4: Design of Slab Bridges,Design of Slab Bridges (Part I),https://www.youtube.com/watch?v=RX-WImcb73Y
13,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 4: Design of Slab Bridges,Design of Slab Bridges (Part II),https://www.youtube.com/watch?v=Llg1rYoZMfU
14,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 4: Design of Slab Bridges,Design of Slab Bridges (Part III),https://www.youtube.com/watch?v=3UBrBrpW-uY
15,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 4: Design of Slab Bridges,Design of Slab Bridges (Part V),https://www.youtube.com/watch?v=7HXF3oGWRlA
16,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of Slab Bridges (Part IV),https://www.youtube.com/watch?v=1t_tUmLUWcE
17,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of RCC T Beam Bridge (Part I),https://www.youtube.com/watch?v=TDuvNevZwp0
18,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of RCC T Beam Bridge (Part II),https://www.youtube.com/watch?v=xh876dxfLnE
19,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of RCC T Beam Bridge (Part III),https://www.youtube.com/watch?v=BllNVVo2HnM
20,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of RCC T Beam Bridge (Part III),https://www.youtube.com/watch?v=BllNVVo2HnM
21,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Summary and Closure,https://www.youtube.com/watch?v=xuy42b3ohCs
22,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,Design of RCC T Beam Bridge (Part IV),https://www.youtube.com/watch?v=KDXVQ3TMTlo
23,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,"Aa Gattununtaava Lyrical Video Song || Rangasthalam Songs || Ram Charan, Samantha, Devi Sri Prasad",https://www.youtube.com/watch?v=8DbcMOydxBk
24,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,"Aa Gattununtaava Lyrical Video Song || Rangasthalam Songs || Ram Charan, Samantha, Devi Sri Prasad",https://www.youtube.com/watch?v=8DbcMOydxBk
25,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,"Aa Gattununtaava Lyrical Video Song || Rangasthalam Songs || Ram Charan, Samantha, Devi Sri Prasad",https://www.youtube.com/watch?v=8DbcMOydxBk
26,Civil Engineering,Bridge engineering,,12th,English/Hindi,Module 5: Design of RCC T Beam Bridges,"Aa Gattununtaava Lyrical Video Song || Rangasthalam Songs || Ram Charan, Samantha, Devi Sri Prasad",https://www.youtube.com/watch?v=8DbcMOydxBk
