S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,68hrs 21min,12th,English/Hindi,Module 1: Introduction to Earthquake Engineering & Seismic Design Principles,Engineering Seismology - Part -1 / Earthquake  Resistant Building Construction,https://www.youtube.com/watch?v=vEwQaK2Lvf8
2,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 1: Introduction to Earthquake Engineering & Seismic Design Principles,Engineering Seismology - Part -2 / Earthquake Resistant Building Construction,https://www.youtube.com/watch?v=aP9ck6uoAYg
3,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 1: Introduction to Earthquake Engineering & Seismic Design Principles,Engineering Earthquake - Part -3 / Earthquake Resistant Building Construction,https://www.youtube.com/watch?v=KrJZ-K1j_00
4,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 1: Introduction to Earthquake Engineering & Seismic Design Principles,Seismic Performance of Traditionally-Built Constructions - (ERBC - Chapter - 2nd ),https://www.youtube.com/watch?v=RjOK7-tuk9E
5,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 2: Seismic Performance & Special Construction Methods,Special methods of Earthquake Resistant Building Construction (ERBC - Chapter - 3rd),https://www.youtube.com/watch?v=r_wROB6Acm0
6,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 2: Seismic Performance & Special Construction Methods,STRENGTHENING AND RETROFITTING TECHNIQUES OF TRADITIONALLY BUILT STRUCTURE (ERBC- chapter - 5),https://www.youtube.com/watch?v=ZHVXWxEFqWI
7,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 2: Seismic Performance & Special Construction Methods,Disaster Management /Disaster Rescue / Psychology of Rescue / ERBC - lecture - 7,https://www.youtube.com/watch?v=ZZTxzsiGeJY
8,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 3: Disaster Management and Rescue Operations,Disaster Management / Rescue Workers / Rescue Plan (ERBC - lecture - 8),https://www.youtube.com/watch?v=7YJxYj8Ip_4
9,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 3: Disaster Management and Rescue Operations,Disaster Management /  Rescue Steps / Safety in rescue operation / Debris clearance  (ERBC - L - 9),https://www.youtube.com/watch?v=fcOMlQt5Z-E
10,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 3: Disaster Management and Rescue Operations,Introduction to Indian Standard 1893 (Part 1) : 2002 / General provisions and building / ERBC,https://www.youtube.com/watch?v=Qr0BJmly0tc
11,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 4: Indian Standards and Building Codes for ERBC,Earthquake Resistant Brick Masonry - (ERBC unit -6 part 1),https://www.youtube.com/watch?v=fsFA0rrP6_U
12,Civil Engineering,Earthquake Resistant Building Construction - ERBC as per HSBTE under NITTTR,,12th,English/Hindi,Module 4: Indian Standards and Building Codes for ERBC,Earthquake Resistant RCC members as per IS code 13920 : 1993 / ERBC - unit - 6 - 2nd and last part,https://www.youtube.com/watch?v=PkPhOKUzfTo
