S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,56hrs 3min,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 01 | Chapter 01 | Hydrologic cycle | Engineering Hydrology,https://www.youtube.com/watch?v=y7Qv3lGr4B4
2,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 02 | Chapter 01 | Forms of Precipitation | Engineering Hydrology,https://www.youtube.com/watch?v=vHWAECYPxQU
3,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 03 | Chapter 01 | Type of Precipitation | Engineering Hydrology,https://www.youtube.com/watch?v=5rBlOpEutCQ
4,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 04 | Chapter 01 | Measurement of Precipitation | | Engineering Hydrology,https://www.youtube.com/watch?v=xlU908V_Cqs
5,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 05 | Chapter 01 | Rain Gauge Network | Engineering Hydrology,https://www.youtube.com/watch?v=OWe3ktz6-Ds
6,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 06 | Chapter 01 | Optimal number of Rain Gauge and its Questions | Engineering Hydrology,https://www.youtube.com/watch?v=ySF-TNcuVVU
7,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 07 | Chapter 01 | Estimation of Missing Data | Engineering Hydrology,https://www.youtube.com/watch?v=opBMyWQWpdE
8,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 08 | Chapter 01 | Presentation of Rainfall Data | Engineering Hydrology,https://www.youtube.com/watch?v=MRtOr7AF6E0
9,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 09 | Chapter 01 | Mean Precipitation and its Questions | Engineering Hydrology,https://www.youtube.com/watch?v=0cblFtV9xi4
10,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 10 | Chapter 01 | More Questions on Thiessen Polygon Method | Engineering Hydrology,https://www.youtube.com/watch?v=o5gjzuvymGA
11,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 1: Introduction to Hydrology,Lecture 11 | Chapter 01 |  Depth Area Duration Analysis and its Questions | Engineering Hydrology,https://www.youtube.com/watch?v=9ps8CChBCjc
12,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 2: Evaporation,Lecture 12 | Chapter 02 | Introduction of Evaporation | Engineering Hydrology,https://www.youtube.com/watch?v=2R0GsqwIgFE
13,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 2: Evaporation,Lecture 13 | Chapter 02 | Measurement by Evaporimeter & Questions | Engineering Hydrology,https://www.youtube.com/watch?v=Y1wiHJNn-OQ
14,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 2: Evaporation,Lecture 14 | Chapter 02 | Measurement By Empirical Method and its Questions | Engineering Hydrology,https://www.youtube.com/watch?v=2qNGi8Bd22I
15,Civil Engineering,Engineering Hydrology || Mukul Trivedi Sir,,12th,English/Hindi,Module 2: Evaporation,Lecture 15 | Chapter 02 | Measurement by Analytical Method | Engineering Hydrology,https://www.youtube.com/watch?v=18XXdNRpUnc
