S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,13hrs 23min,12th,English/Hindi,Module 1: Introduction to Fluid Properties,Fluid Mechanics Lesson 1: Introduction | Lecture | Tutorial Video,https://www.youtube.com/watch?v=KGmpJLlnMak
2,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 1: Introduction to Fluid Properties,Fluid Mechanics Lesson 3: Viscosity | Lecture| Tutorial Video,https://www.youtube.com/watch?v=QR-z6z8bkbg
3,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 1: Introduction to Fluid Properties,Fluid Mechanics Lesson 2: Fluid Properties associated with Mass and Weight | Lecture| Tutorial Video,https://www.youtube.com/watch?v=b434_MFYDaI
4,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 1: Introduction to Fluid Properties,Fluid Mechanics Lesson 4: Bulk Modulus of Elasticity | Lecture| Tutorial Video,https://www.youtube.com/watch?v=nPKYjohvpl8
5,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 2: Hydrostatic Pressure,Fluid Mechanics Lesson 5: Surface Tension | Lecture| Tutorial Video,https://www.youtube.com/watch?v=ln9g9cQseGk
6,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 2: Hydrostatic Pressure,hydrostatic pressure intro and sample problem | Fluid Mechanics Lesson 6,https://www.youtube.com/watch?v=TX5z6C-j2hI
7,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 2: Hydrostatic Pressure,hydrostatic pressure sample problem | Fluid Mechanics Lesson 6,https://www.youtube.com/watch?v=rrPmhqbzS_E
8,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 2: Hydrostatic Pressure,hydrostatic pressure sample problem | Fluid Mechanics Lesson 6,https://www.youtube.com/watch?v=6Cv9ptGckGY
9,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 3: Hydrostatic Pressure on Surfaces,how to use a piezometer sample problem | Fluid Mechanics Lesson 6,https://www.youtube.com/watch?v=j8hk4weRGfA
10,Civil Engineering,Fluid Mechanics/Hydraulics | Tutorial for Engineering Students and Engineers,,12th,English/Hindi,Module 3: Hydrostatic Pressure on Surfaces,how to convert pressure head to heights of other liquids | Fluid Mechanics Lesson 6,https://www.youtube.com/watch?v=_ffdEmI729s
