S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Foundation Engineering,14hrs 6min,12th,English/Hindi,Module 1: Introduction,Foundation Engineering by Prof. Kousik Deb,https://www.youtube.com/watch?v=lsYFtwwlHIw
2,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 1: Introduction,Lecture 1 : Introduction,https://www.youtube.com/watch?v=Kt0YtumlyDk
3,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 1: Introduction,Lecture 2 : Introduction (Contd.),https://www.youtube.com/watch?v=vUjc2C8GSwg
4,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 1: Introduction,Lecture 3 : Shear Strength,https://www.youtube.com/watch?v=Aa4oGovhVA8
5,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 2: Soil Exploration,Lecture 4 : Soil Exploration - Boring,https://www.youtube.com/watch?v=J-Bdzgg7pqA
6,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 2: Soil Exploration,Lecture 5 : Standard Penetration Test,https://www.youtube.com/watch?v=A_7r-QF1nCs
7,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 2: Soil Exploration,Lecture 6 : Standard Penetration Test and Cone Penetration Test,https://www.youtube.com/watch?v=IV7Sb9ZwpPk
8,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 3: Shallow Foundations - Bearing Capacity,Lecture 7 : Cone Penetration Test and Other In-Situ Tests,https://www.youtube.com/watch?v=f1K-918AxrY
9,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 3: Shallow Foundations - Bearing Capacity,Lecture 8 : Types of Samples,https://www.youtube.com/watch?v=hGuZ4L6ofp8
10,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 3: Shallow Foundations - Bearing Capacity,Lecture 9 : Geophysical Exploration,https://www.youtube.com/watch?v=7jSYz42APmA
11,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 3: Shallow Foundations - Bearing Capacity,Lecture 10 : Geophysical Exploration (Contd.),https://www.youtube.com/watch?v=rsbE0a-gWmg
12,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 4: Shallow Foundations - Bearing Capacity,Lecture 11 : Shallow Foundation - Bearing Capacity I,https://www.youtube.com/watch?v=rTJp4KRIgWM
13,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 4: Shallow Foundations - Bearing Capacity,Lecture 12 : Shallow Foundation - Bearing Capacity II,https://www.youtube.com/watch?v=i_107DxLHvE
14,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 4: Shallow Foundations - Bearing Capacity,Lecture 13 : Shallow Foundation - Bearing Capacity III,https://www.youtube.com/watch?v=6oxc1uldg40
15,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 4: Shallow Foundations - Bearing Capacity,Lecture 14 : Shallow Foundation - Bearing Capacity IV,https://www.youtube.com/watch?v=s2TOC2Bb4eA
16,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 5: Shallow Foundations - Settlement,Lecture 15 : Shallow Foundation - Bearing Capacity V,https://www.youtube.com/watch?v=9_5JnmtJMys
17,Civil Engineering,Foundation Engineering,,12th,English/Hindi,Module 5: Shallow Foundations - Settlement,Lecture 16: Shallow Foundation - Settlement I,https://www.youtube.com/watch?v=ApjLBC-mcCA
