S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,315hrs 17min,12th,English/Hindi,Module 1: Soil Water and Index Properties,Geotechnical Engineering 01 | Soil Water Relationship Part 1 | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=KSHENgD-WhA
2,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 1: Soil Water and Index Properties,Geotechnical Engineering 02 | Soil Water Relationship Part 2 | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=LpLuAW9eOk4
3,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 1: Soil Water and Index Properties,Geotechnical Engineering 03 | Numericals on Soil Water Relationship | CE | GATE Crash Course,https://www.youtube.com/watch?v=mZ4GIzR1Dpo
4,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 2: Soil Classification and Stresses,Geotechnical Engineering 04 | Index Properties Of Soil -1 | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=EuPKIHcb_0o
5,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 2: Soil Classification and Stresses,Geotechnical Engineering 05 | Index Properties Of Soil - 2 | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=L7zIfCl90K0
6,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 2: Soil Classification and Stresses,Geotechnical Engineering 06 | Index Properties of Soil (Part 3) | CE | GATE Crash Course,https://www.youtube.com/watch?v=WaH03fjTysE
7,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,"Module 3: Permeability, Seepage, and Compaction",Geotechnical Engineering 07 | Soil Classification and Soil Structure | CE | GATE Crash Course,https://www.youtube.com/watch?v=dkXLSwtZdhc
8,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,"Module 3: Permeability, Seepage, and Compaction",Geotechnical Engineering 08 | Stresses in Soil | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=m5wWNxi1Y2g
9,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,"Module 3: Permeability, Seepage, and Compaction",Geotechnical Engineering 09 | Permeability in Soil | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=hMkdJHGL824
10,Civil Engineering,Geotechnical Engineering: Civil Engineering | GATE Free Crash Course,,12th,English/Hindi,Module 4: Consolidation and Shear Strength,Geotechnical Engineering 10 | Seepage in Soil (Part 1) | Civil Engineering | GATE Crash Course,https://www.youtube.com/watch?v=xgpp2pmTGRY
