S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Civil Engineering,Ocean - Coastal Engineering,115hrs 5min,12th,English/Hindi,Module 1: Wave Deformation,Mod-01 Lec-01 Wave deformation - I,https://www.youtube.com/watch?v=C-JVJTwQgLI
2,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 1: Wave Deformation,Mod-01 Lec-02 Wave deformation - II,https://www.youtube.com/watch?v=4g9UoJoZi6g
3,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 1: Wave Deformation,Mod-01 Lec-03 wave deformation (problems - I),https://www.youtube.com/watch?v=3N8YoiFKv44
4,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 1: Wave Deformation,Mod-01 Lec-04 wave deformation (problems - II),https://www.youtube.com/watch?v=0BrXhDA9wpM
5,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 1: Wave Deformation,Mod-01 Lec-05 wave deformation (problems - III),https://www.youtube.com/watch?v=wvGIsYKhRAM
6,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-06 Sediment charecteristics - I,https://www.youtube.com/watch?v=Q9afEbrDZQc
7,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-07 Sediment charecteristics - II,https://www.youtube.com/watch?v=312wyhnoUH4
8,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-08 Radiation stresses - I,https://www.youtube.com/watch?v=oGd1T8CE8WM
9,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-09 Radiation stresses - II,https://www.youtube.com/watch?v=Z2rYZlEdQKQ
10,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-10 Longshore sediment transport - I,https://www.youtube.com/watch?v=kgVRlG42VNE
11,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-11 Longshore sediment transport - II,https://www.youtube.com/watch?v=Ee4lde9Qe-A
12,Civil Engineering,Ocean - Coastal Engineering,,12th,English/Hindi,Module 2: Sediment Characteristics & Longshore Sediment Transport,Mod-02 Lec-12 Longshore sediment transport (problems - I),https://www.youtube.com/watch?v=Z84LcsFqEek
